# source_file=Ens1.csv
# note=stationary-guard: a->0 and v->0 when stationary
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,ax_lin_mps2_int,ay_lin_mps2_int,az_lin_mps2_int,gx_rads,gy_rads,gz_rads,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.251,202086.0,0.028999999999999998,0.5683249412752711,0.0010029998963605278,-0.014207998531894694,-0.8226809149927969,1.4050296436784642,-0.8307733438547025,-110.735154356676,0.19644,-0.009326,0.000499,0.008850298111443231,0.00024317475915069595,-0.0003345666108497346,0.010823216864365685,-0.0173546016952835,0.0023452473490807933,0.010823216864365685,-0.0173546016952835,0.0023452473490807933,-0.002131,-0.004261,-0.014914,1.994489764492075,0,0,0.0024422739917756777,-0.00295141627086523,0.00015700692005718415,0.0038340854747615847,7.080495588563236e-05,-0.00043598789869259396,2.4932872066490626e-05,0.0004033138755993496
0.276,202111.0,0.025000000000000022,0.5689261887603535,0.0011810003918365085,-0.014250004727917228,-0.8222642728137637,1.4199844885605886,-0.8177653278278811,-110.65126960766752,-0.013884,0.01735,0.046505,0.0571482798149717,0.010171335839145798,-0.004515515446424711,0.05866048023350013,-0.007368568017410962,-0.0018213962736130364,0.05866048023350013,-0.007368568017410962,-0.0018213962736130364,0.012783,0.006392,-0.005326,1.961829984210484,0,0,0.002705234219914147,-0.0033760725336131657,0.00021514822299642218,0.00433156400098974,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0004991660124683893
0.299,202134.0,0.022999999999999965,0.5688485923328115,0.0032689976572622273,-0.015567988843150306,-0.8222884107043437,1.6803888681242678,-0.7067922656632604,-110.66038797120238,-0.03279,-0.001043,0.044967,0.010827023350195163,0.0054624709792676545,0.002816749756883087,0.0122507043066263,-0.011990791457873108,0.005471334906932183,0.0,0.0,0.0,0.008522,-0.001065,-0.004261,2.052439269500215,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.321,202156.0,0.02200000000000002,0.5688183712516608,0.0015070009835769134,-0.014122009217035944,-0.8223405367184067,1.429272472004262,-0.7785120569876288,-110.66598034450303,0.015393,0.0002,0.03419,0.012003622927555416,0.0037846024963357297,0.0010814125894042538,0.013335138026338622,-0.013574837400015988,0.0037103536161950607,0.0,0.0,0.0,0.010653,-0.007457,-0.006392,0.11841108134424244,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.347,202182.0,0.025999999999999968,0.5687561443036897,0.003896000988485704,-0.014094003575902852,-0.8223762086516734,1.5823767934990698,-0.551431415375967,-110.67207538520826,-0.02732,-0.017635,0.041053,-0.010134285209106784,-0.006655123075770852,0.003785939150177031,-0.008731450393255923,-0.02381999787327186,0.0063629070556082655,0.0,0.0,0.0,0.017044,-0.009587,-0.003196,0.9412739049444785,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.379,202214.0,0.03200000000000003,0.5692709629504238,0.0038839997472195948,-0.014211999075047601,-0.8220179465010188,1.592366823617231,-0.5612510333466126,-110.60037967540532,-0.042134,-0.005275,0.032161,-0.03011256331801885,-0.004766395872959287,-2.984668644739853e-05,-0.028423979493646306,-0.02171298790790364,0.002521769625608294,0.0,0.0,0.0,0.009587,-0.004261,-0.010653,0.6304369223069355,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.4,202235.0,0.02100000000000002,0.5692921342823674,0.001506000355229382,-0.01437800339142633,-0.8220081938920276,1.4528803976575848,-0.7961320950279409,-110.60004361568934,0.009791,0.006778,0.030493,-0.01199645822367881,0.001665183861199045,-0.0021324989949502303,-0.010240315509359513,-0.01518125222179551,0.0004163703782503465,0.0,0.0,0.0,-0.004261,0.002131,-0.001065,0.925503984731425,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.427,202262.0,0.02699999999999997,0.5692808142690335,0.0032449989413014203,-0.01275899583730811,-0.8220377318057125,1.413769315173059,-0.5266633428971079,-110.5994408006133,-0.005963,-0.022524,0.045599,-0.009900976156874526,-0.010461595250549412,0.004832138347569162,-0.008076327607559516,-0.027078344685954693,0.007318926390244397,0.0,0.0,0.0,0.008522,0.001065,0.0,0.5156919416219145,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.449,202284.0,0.02200000000000002,0.5692820264496975,0.0016860000783340944,-0.014594000678059178,-0.8220110381918668,1.4849841971915165,-0.7932500692672282,-110.601367249227,-0.000104,0.02421,0.042036,-0.006151931399071003,0.007498885700419053,0.005964117110565204,-0.004297580108343505,-0.00905527814533154,0.008392897609203349,0.0,0.0,0.0,0.021305,0.002131,-0.001065,0.8384648437187447,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.478,202313.0,0.02899999999999997,0.5700481412037923,0.001910000473116726,-0.01483100367371422,-0.8214752034835404,1.5211928717106387,-0.7890299982633782,-110.49441864973596,-0.022999,0.007572,0.033711,-0.016813538144658566,0.008577175098852679,0.0019534267395754984,-0.014824129859291811,-0.007904969583226321,0.004342643073044866,0.0,0.0,0.0,0.028762,0.0,-0.005326,0.39094388851268186,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
