# source_file=20251214_022806_glider_ble.csv
# total_time_s=16.337000
# distance_path_m=0.384847
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
89.429,89429.0,0.02600000000001046,0.742286,-0.038881,0.032406,-0.668168,-5.798352918338893,-0.22053427934326572,-83.97262403763031,-0.012409815789473684,-0.011416986842105264,-0.015373697368421042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.456,89456.0,0.027000000000001023,0.742162,-0.041129,0.033222,-0.668132,-6.052736692814174,-0.32355042089144176,-83.97320659108566,0.025200184210526316,0.018865013157894735,0.0005293026315789581,-0.00033506502631580214,-0.0003082586447368538,-0.0004150898289473839,0.0006161099983043446,0.0,0.0,0.0,0.0
89.477,89477.0,0.021000000000000796,0.742274,-0.0389,0.032469,-0.668178,-5.804808058288968,-0.21671947588168655,-83.97464242128633,-0.03314481578947369,-0.013031986842105263,-0.005930697368421042,0.00019413884210527056,8.790663157895066e-05,-0.00040397447368422534,0.00045674154757146786,-7.0363655526321115e-06,-6.473431539474175e-06,-8.716886407895392e-06,1.2938309964391726e-05
89.502,89502.0,0.024999999999991473,0.742681,-0.039829,0.03187,-0.6677,-5.838306183798113,-0.33513407320653726,-83.89655791855691,-0.022535815789473685,0.006175013157894736,0.0018383026315789558,-0.000634481552631289,-0.0002378930394735698,-0.0005522419078947008,0.0008741459052667145,-2.182894500002003e-06,-4.275765750001157e-06,-1.8816248249997582e-05,2.4356848653674528e-05
89.526,89526.0,0.02400000000000091,0.742709,-0.039351,0.034227,-0.66758,-5.978274729512304,-0.09731574078060659,-83.89613802308781,0.022770184210526317,-0.028943986842105262,-0.00603969736842104,-0.001175341131578678,-8.969272368409051e-05,-0.0005081226447368042,0.0012836121619698227,-1.7410451763153515e-05,-9.985198697367049e-06,-3.2070054039470906e-05,4.533635038007647e-05
89.548,89548.0,0.02200000000000557,0.742656,-0.04028,0.032066,-0.667692,-5.891832345560455,-0.3530160227867992,-83.8967640703653,-0.003517815789473684,0.008840013157894736,-0.00638669736842104,-0.0006743970789469721,-0.0007264604342105674,-0.0006409959868421007,0.0011804372231140855,-4.326795665789098e-05,-1.195843861841754e-05,-4.3248752223683424e-05,7.357581794341971e-05
89.577,89577.0,0.028999999999996362,0.742697,-0.03953,0.034356,-0.667576,-6.003445369293548,-0.10005923992141964,-83.89654054681952,0.013350184210526316,-0.022242986842105263,-0.0034906973684210446,-0.0007764137368416962,-0.0004701000526316522,-0.0008262102105262876,0.0012273694073988732,-6.282547194735072e-05,-3.302579121052135e-05,-6.1837635842102e-05,0.00010780849741372391
89.599,89599.0,0.02200000000000557,0.74265,-0.040649,0.032291,-0.667665,-5.9405887708588025,-0.3619975369348962,-83.89426828381194,-0.007018815789473684,0.018444013157894734,-0.006520697368421043,-0.00048270968421004285,-0.000959445763158092,-0.00090300555263157,0.0014031977194093566,-7.990657415787236e-05,-4.336799236842032e-05,-8.001426047368494e-05,0.00013481062437650595
89.627,89627.0,0.027999999999991587,0.742518,-0.040381,0.03256,-0.667814,-5.938269136925346,-0.319782131532538,-83.91923039613494,0.005896184210526316,-0.0019129868421052642,-0.003974697368421043,-0.000679236526315247,-0.00044301339473719467,-0.0010855850789473042,0.0013550343502031236,-9.34224453157495e-05,-7.023247373683883e-05,-0.0001052984159473613,0.00017410016051995614
89.648,89648.0,0.021000000000000796,0.74262,-0.038159,0.0318,-0.667869,-5.690365990684022,-0.21427493152255378,-83.92212009019414,-0.029097815789473683,-0.010607986842105264,0.004827302631578954,-0.0005554166578941896,-0.0004831861184214067,-0.0011690537236841493,0.0013815364988885644,-0.00010768641236837023,-7.953575502632028e-05,-0.00012809570260525555,0.0002025558818742228
