# source_file=20251214_034423_glider_ble.csv
# total_time_s=8.211000
# distance_path_m=1.093678
# lpf_cutoff_hz=7.0
# zupt_alin_tol=0.35
# zupt_w_tol=0.15
# zupt_win_s=0.25
# dt_clamp=[0.0001,0.1]
# dv_max=0.005
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_bias,ay_lin_mps2_bias,az_lin_mps2_bias,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
285.945,285945.0,0.02400000000000091,0.783504725308776,0.0031739988872184037,-0.00977799657190345,-0.6213007821763331,0.9812352462438249,-0.6519367371527367,-76.83275800280775,-6.6e-05,0.001825,19.649611,-0.006202265060240964,-0.0006073855421686745,-0.0048502771084315555,-0.006202265060240964,-0.0006073855421686745,-0.0048502771084315555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285.969,285969.0,0.02400000000000091,0.7834956780597332,0.003601998519930107,-0.010636995629232801,-0.6212957447080776,1.0808425776776656,-0.6985827787424558,-76.83395661233102,-0.008993,0.00179,19.648623,-0.015129265060240964,-0.0006423855421686746,-0.0058382771084311,-0.010786441554186718,-0.0006253586772967245,-0.0053576330371888446,0,-0.0001488543614457888,-1.4577253012048742e-05,-0.00011640665060236175,0.00018952737409480233,-3.5725046746990664e-06,-3.4985407228918306e-07,-2.793759614456788e-06,0.0
285.993,285993.0,0.02400000000000091,0.7835041008393349,0.002603000335013974,-0.010755001384201034,-0.6212880799616449,0.9995440020212578,-0.7803209747450748,-76.83288599076644,0.002545,0.002982,19.652372,-0.0035912650602409643,0.0005496144578313253,-0.002089277108431986,-0.007091587857162281,-2.1988650740013978e-05,-0.0036792729584999868,0,-0.00040772895874627985,-2.9585861267170696e-05,-0.00024498984349489886,0.00047659023322231526,-1.3357999684610155e-05,-1.0599147427013066e-06,-8.673515858334583e-06,4.548656978275429e-06
286.019,286019.0,0.02600000000001046,0.7836437985420537,0.001823999531088997,-0.01033099734412304,-0.6211218403229495,0.899229420455122,-0.7979149054407296,-76.807466838111,0.002877,0.018618,19.662752,-0.0032592650602409645,0.016185614457831326,0.008290722891569402,-0.005047112866653547,0.00862447485650563,0.0027065036184679,0,-0.0005921102430325733,-3.015756618641129e-05,-0.000340650940415937,0.0006837741453935232,-2.8752866003463254e-05,-1.8440114635483156e-06,-1.7530440309152508e-05,1.694000304206061e-05
286.038,286038.0,0.019000000000005457,0.7836318917173609,0.002787999614752846,-0.010412998561126752,-0.6211319141716876,0.9916476611722236,-0.7366425923138838,-76.80933243042487,0.002113,0.000113,19.654663,-0.004023265060240965,-0.0023193855421686747,0.0002017228915676128,-0.004581018551042181,0.00364241493439751,0.0015662325241225796,0,-0.0006880053874990182,0.00013370745608724276,-0.0002892273716650321,0.0007582094496649714,-4.182496836594835e-05,6.964302021100265e-07,-2.3025760370789695e-05,2.9931711804541282e-05
286.058,286058.0,0.01999999999998181,0.7836220697415838,0.003354000298502686,-0.011131000990648001,-0.6211290552798673,1.0936019731887694,-0.760822189604088,-76.81066110071271,-0.003698,-0.000485,19.668093,-0.009834265060240963,-0.0029173855421686747,0.013631722891567222,-0.007039458661328289,0.0005725272794350005,0.007212699983370105,0,-0.0007796257585197785,0.0002065557547751267,-0.00025790272118260903,0.000846755818859048,-5.7417483536329747e-05,4.827545297608803e-06,-2.8183814794437186e-05,4.5095900797826916e-05
286.081,286081.0,0.023000000000024556,0.7836268506948066,0.0031549993988748666,-0.010087998077923821,-0.6211418816532274,1.0014710060331393,-0.6813229097872073,-76.81016608943344,0.007396,-0.0035,19.653507,0.0012597349397590355,-0.005932385542168675,-0.0009542771084305457,-0.002865947682951041,-0.002698673078006113,0.0031056782423277184,0,-0.000941533307730502,0.00021972388220214576,-9.20106215649195e-05,0.0009712000352433506,-7.907274961415442e-05,9.881194588263552e-06,-3.0300059090432594e-05,6.457128463160582e-05
286.105,286105.0,0.02400000000000091,0.7836170138139926,0.0036420000642029982,-0.010837000191040058,-0.6211390109497491,1.0985375093911147,-0.7139089209172556,-76.81149811679587,-0.004537,0.000673,19.652411,-0.010673265060240964,-0.0017593855421686746,-0.0020502771084309757,-0.006875146831796866,-0.002216331883557562,0.00045800160708835006,0,-0.0010103160521213296,0.0001549557283299966,-1.747434374905143e-05,0.0010222793921456936,-0.00010332033486506724,1.360013206818361e-05,-3.071944334040984e-05,8.788008547744712e-05
286.131,286131.0,0.025999999999953616,0.7837181102589575,0.00277400039026582,-0.010299001448935719,-0.6210250873701626,0.9821738015799921,-0.7275373084522043,-76.79346214475198,0.023268,-0.003975,19.650272,0.017131734939759037,-0.006407385542168674,-0.004189277108430645,0.0059320909670194134,-0.004452183309169541,-0.0020212376457807565,0,-0.0011890698697477292,9.733109935760279e-05,-5.5663019647755725e-06,0.0011930597142480355,-0.00013423615147845305,1.6130740651476767e-05,-3.086416719149375e-05,0.00011445934967318774
286.156,286156.0,0.025000000000034106,0.7837068103225985,0.0035349991444384,-0.010806997384425967,-0.6210268496953738,1.0866893536286588,-0.7189878619060209,-76.79500722981288,0.002434,0.00075,19.65373,-0.0037022650602409643,-0.0016823855421686745,-0.0007312771084322378,0.0008864905962118067,-0.003001614885011392,-0.0013456735139221526,0,-0.0010407675955720415,-1.397348337178758e-05,-5.609724310936342e-05,0.0010423719810676135,-0.00016025534136778958,1.5781403567181602e-05,-3.226659826922975e-05,0.00014428584252942933
