# source_file=Ens1.csv
# total_time_full_s=19.109000
# cut_tail_seconds=5.000000
# cut_time_s=14.109000
# note=BOOST: LPF+Hampel + online bias + adaptive leak + soft-ZUPT damping (no z=0)
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_clean,ay_clean,az_clean,bias_x,bias_y,bias_z,ax_used,ay_used,az_used,p_stationary,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.251,202086.0,0.028999999999999998,0.5683249412752711,0.0010029998963605278,-0.014207998531894694,-0.8226809149927969,1.4050296436784642,-0.8307733438547025,-110.735154356676,0.19644,-0.009326,0.000499,0.008850298111443231,0.00024317475915069595,-0.0003345666108497346,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.00879559240724739,0.00018608548119397397,-0.0003163982686487229,0.9941423514331625,1.9921618761987117,0,0.0018649068457179134,0.0013330614426929099,-0.0004297167124729425,0.002332292178561381,-6.1544165584967035e-06,0.00011724462147067019,-5.179513467792516e-05,0.0001317165497692075
0.276,202111.0,0.025000000000000022,0.5689261887603535,0.0011810003918365085,-0.014250004727917228,-0.8222642728137637,1.4199844885605886,-0.8177653278278811,-110.65126960766752,-0.013884,0.01735,0.046505,0.0571482798149717,0.010171335839145798,-0.004515515446424711,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.05704113607870947,0.010104957053678584,-0.0044932164812010915,0.9184576878063568,1.979391321484619,0,0.001996022552507124,0.001274256611556653,-0.0004171711081245825,0.002404551449993697,4.21072009193163e-05,0.00014983609714878975,-6.238123243539423e-05,0.00019002385423324208
0.299,202134.0,0.022999999999999965,0.5688485923328115,0.0032689976572622273,-0.015567988843150306,-0.8222884107043437,1.6803888681242678,-0.7067922656632604,-110.66038797120238,-0.03279,-0.001043,0.044967,0.010827023350195163,0.0054624709792676545,0.002816749756883087,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.010710069819482792,0.005391154213416181,0.002836450699983248,0.9946772201290759,2.0492952921054224,0,0.003211616208837198,0.0014451594067873147,-0.0005003773046396963,0.0035571536136200484,0.0001019950466747759,0.00018110938135974531,-7.293303918218342e-05,0.000245328537583097
0.321,202156.0,0.02200000000000002,0.5688183712516608,0.0015070009835769134,-0.014122009217035944,-0.8223405367184067,1.429272472004262,-0.7785120569876288,-110.66598034450303,0.015393,0.0002,0.03419,0.012003622927555416,0.0037846024963357297,0.0010814125894042538,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.011876285574585642,0.0037100419203193544,0.001100151634194213,0.9926916973825957,0.12206068379922001,0,0.0032991734916865555,0.0014971390153361063,-0.00041490663285645126,0.003646658535354949,0.00017361373338053727,0.00021347466400310297,-8.300116249464105e-05,0.00032358591708273813
0.347,202182.0,0.025999999999999968,0.5687561443036897,0.003896000988485704,-0.014094003575902852,-0.8223762086516734,1.5823767934990698,-0.551431415375967,-110.67207538520826,-0.02732,-0.017635,0.041053,-0.010134285209106784,-0.006655123075770852,0.003785939150177031,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.010251059699851866,-0.006722756411889289,0.0038007618268351847,0.9897653350172466,0.9471143581455722,0,0.0034296427563042524,0.0015126825399781453,-0.00036387776241618625,0.003766041015258062,0.0002610883446044177,0.0002526023442221882,-9.312535963318532e-05,0.00041839903900196666
0.379,202214.0,0.03200000000000003,0.5692709629504238,0.0038839997472195948,-0.014211999075047601,-0.8220179465010188,1.592366823617231,-0.5612510333466126,-110.60037967540532,-0.042134,-0.005275,0.032161,-0.03011256331801885,-0.004766395872959287,-2.984668644739853e-05,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.030191657741384364,-0.004828003719949741,-1.5005282759736013e-05,0.9738073928880912,0.6383412863401098,0,0.002879455087987235,0.0011995709194168697,-0.00021868334530071538,0.003126988071604707,0.00036203391011308157,0.00029599839957250844,-0.00010244633735665576,0.0005389123514902247
0.4,202235.0,0.02100000000000002,0.5692921342823674,0.001506000355229382,-0.01437800339142633,-0.8220081938920276,1.4528803976575848,-0.7961320950279409,-110.60004361568934,0.009791,0.006778,0.030493,-0.01199645822367881,0.001665183861199045,-0.0021324989949502303,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.012065451241344281,0.0016022345955287308,-0.002115886134577448,0.9958536331822394,0.920883471589073,0,0.0021180512714423587,0.0010451171937206714,-0.000209324519379327,0.0023711237613170994,0.00041450772688709234,0.00031956762476045267,-0.00010694041993579621,0.0006045791009939237
0.427,202262.0,0.02699999999999997,0.5692808142690335,0.0032449989413014203,-0.01275899583730811,-0.8220377318057125,1.413769315173059,-0.5266633428971079,-110.5994408006133,-0.005963,-0.022524,0.045599,-0.009900976156874526,-0.010461595250549412,0.004832138347569162,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.009959276006044031,-0.010513256544724023,0.004843550739138696,0.9930905268989771,0.5237251685452015,0,0.0016730170627395572,0.001029527196673897,-0.00025466642499995755,0.0019808501530734646,0.00046568714939854817,0.0003475753240307793,-0.00011320429768491655,0.0006685994425494853
0.449,202284.0,0.02200000000000002,0.5692820264496975,0.0016860000783340944,-0.014594000678059178,-0.8220110381918668,1.4849841971915165,-0.7932500692672282,-110.601367249227,-0.000104,0.02421,0.042036,-0.006151931399071003,0.007498885700419053,0.005964117110565204,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.006204823664330099,0.0074407397055518834,0.005970326285716496,0.9894932202589379,0.8355672944322138,0,0.001377103092024965,0.0007509689220472088,-0.0001364163166414912,0.001574476630309735,0.000499238471100958,0.0003671607813367115,-0.00011750620784297248,0.0007121781459171016
0.478,202313.0,0.02899999999999997,0.5700481412037923,0.001910000473116726,-0.01483100367371422,-0.8214752034835404,1.5211928717106387,-0.7890299982633782,-110.49441864973596,-0.022999,0.007572,0.033711,-0.016813538144658566,0.008577175098852679,0.0019534267395754984,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.016847301772619276,0.008509367461663805,0.0019574134430040448,0.9776938075692334,0.3945499757000998,0,0.0011156743461920964,0.0009223124506086839,4.4795460733740555e-05,0.0014482389777247765,0.0005353837439551054,0.0003914233612402219,-0.00011883471025363487,0.0007578379681960839
