# source_file=20251214_154520_glider_ble.csv
# total_time_s=12.920000
# distance_path_m=0.000203
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
87.72,87720.0,0.02400000000000091,0.9996449755696767,0.00999199975580552,-0.011257999724865748,0.021984999462708606,1.1165947873073565,-1.3149019492929976,2.506970345302121,0.021173,-0.003893,0.0264,0.01750221686746988,-0.0010755783132530127,-0.0017566867469879614,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.744,87744.0,0.02400000000000091,0.999633797065863,0.010113997946772656,-0.012052997553139294,0.022015995530566226,1.1285593879777442,-1.4063232669533134,2.509512150945754,0.011484,0.001032,0.015935,0.012526739545879153,0.0014534985583368656,0.0013381944739943026,0.2659165692966371,0,0,0.0004200532048192931,-2.5813879518073282e-05,-4.216048192771267e-05,0.00042295219291441154,1.0081276915663416e-05,-6.195331084337823e-07,-1.0118515662651426e-06,0.0
87.763,87763.0,0.019000000000005457,0.9996243103564068,0.009921003080204067,-0.012906004006966405,0.022051006846243313,1.104273014502032,-1.5036050635507334,2.51290810217462,0.009905,-0.001284,0.037777,0.009662144795670456,0.0014898825947185616,0.0004950209146742856,0.15717527781466176,0,0,0.0006580612561910654,1.8025930903350943e-06,-1.673478692181362e-05,0.0006582764763645521,2.258444078329725e-05,-5.852838397174056e-07,-1.3298125177796927e-06,8.036091665376126e-06
87.784,87784.0,0.021000000000000796,0.9996103835020966,0.010830004154948135,-0.013216005070341142,0.02207100846757713,1.2076446460609422,-1.541429225915706,2.513479795560145,-0.00423,-0.014759,0.031653,0.0012293219270532452,-0.004959220377560471,0.0019360885299152099,0.5101689430556772,0,0,0.0008609662969001526,3.309012757942608e-05,-6.339347713653228e-06,0.000861625271374174,4.066473301820114e-05,1.0960883945056833e-07,-1.4629388197664156e-06,2.1859897669032245e-05
87.809,87809.0,0.024999999999991473,0.9996320345857695,0.011127000384977529,-0.012711000439781557,0.021223000734284004,1.2441929278608723,-1.4832636647464659,2.4164002533280753,0.006141,-0.026656,0.035101,0.0018791899570262624,-0.014846512805962652,0.004558941624447391,0.4099955870527171,0,0,0.0008916993450764732,-9.089038185954341e-05,4.206286553421051e-05,0.000897306005876108,6.295721664510537e-05,-2.162650707037242e-06,-4.1136718141151153e-07,4.340052945337925e-05
87.834,87834.0,0.025000000000005684,0.9996296392327286,0.010446996229669294,-0.013392995166455524,0.02126199232652709,1.16457459734047,-1.5598019865535226,2.4211265602585876,0.021592,-0.018156,0.028607,0.010280546176245475,-0.01510421201274093,0.002407215367315439,0.3470541654300881,0,0,0.0009386790940021404,-0.0004620532020086941,0.0001560364061454212,0.0010578085663511829,8.642419399516421e-05,-1.371398075725722e-05,3.489542972224905e-06,6.583317960028705e-05
87.859,87859.0,0.024999999999991473,0.9996268504848235,0.00972599854527278,-0.014090997892395509,0.02128399681653155,1.0802393935019496,-1.6380514074465653,2.424065011092703,0.00774,-0.007827,0.027381,0.007027616206160839,-0.009817560015124724,0.0007403004180733953,0.25708783925252954,0,0,0.0011956927484081895,-0.0008396585023270886,0.00021621679032828663,0.001476975710547051,0.00011631651270535875,-3.4705443315427276e-05,8.894962730430227e-06,9.227839375905761e-05
87.879,87879.0,0.020000000000010232,0.9996328525811552,0.01029199848220822,-0.013262998044066034,0.021267996863544927,1.1471128382332632,-1.5445396524404476,2.4221972809795367,0.001846,-0.001692,0.031903,0.0028848268722858894,-0.0046964096760115015,0.0021470690729448252,0.3367784223675482,0,0,0.0013362450725314782,-0.0010360097026296837,0.0002310227986897621,0.0017065282099402725,0.00014304141415600198,-5.542563736803155e-05,1.3515418704227833e-05,0.00012181790797001374
87.9,87900.0,0.021000000000000796,0.999652096262003,0.010630001023621313,-0.01292200124433063,0.020389001963369232,1.1879885813395759,-1.5052462689135768,2.321290055726561,0.013865,-0.004334,0.017735,0.006394423413307773,-0.0031696167207685678,-0.003887806885192421,0.34029496488642774,0,0,0.0013968264368494842,-0.0011346343058259289,0.00027611124922160516,0.00182064728176147,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.0001576550003787608
87.925,87925.0,0.024999999999991473,0.9996568269244303,0.009729998315396888,-0.013235997708385735,0.020404996467181243,1.084099901782501,-1.5391492953431603,2.3241557621992164,0.002225,-0.01226,0.023082,0.0022884355358694704,-0.006454824081542829,-0.004509386724450001,0.21180400505956934,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
87.947,87947.0,0.02200000000000557,0.9996679226631933,0.00875899932238194,-0.013057998989800592,0.02041599842056738,0.9732125335862588,-1.516508311917248,2.3270723669992903,-0.002566,-0.014036,0.036882,-0.0019040056307016735,-0.008797492360830321,0.001999032962003177,0.3676600804353107,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
