# source_file=Excelente.csv
# total_time_s=12.789000
# distance_path_m=0.084619
# lpf_cutoff_hz=10.0
# zupt_alin_tol=0.35
# zupt_w_tol=0.15
# zupt_win_s=0.5
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_bias,ay_lin_mps2_bias,az_lin_mps2_bias,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
947.3,947300.0,0.020999999999958163,0.077998,0.005072,-0.056591,0.995333,-6.423850887447362,-1.0843660223026965,171.09934401238652,0.014535,0.000407,19.677752,0.015045216867469879,-0.0007794939759036142,0.012967168674702378,0.009459486720302796,0.001262524773088856,0.006972400244248139,0,-8.902742209923004e-05,0.0010204043652126218,-0.0010483684481263531,0.0014656832377623297,7.817502883868054e-05,0.0002446411354417321,-0.0002547883911823166,0.00035346528093221674
947.323,947323.0,0.023000000000024556,0.077948,0.004098,-0.056296,0.995358,-6.398704790203315,-0.9703088882461549,171.09867234888964,-0.001933,0.000568,19.662487,-0.0014227831325301205,-0.0006184939759036142,-0.002297831325300592,0.003027801576420088,0.00015079711820899862,0.0014934687830238337,0,0.00012854077246796656,0.0010494424349936965,-0.0008880032425084747,0.001380725140372886,8.113146660544693e-05,0.00026877831144661286,-0.00027521246576003335,0.00038717599540078634
947.349,947349.0,0.026000000000067303,0.077925,0.004093,-0.056297,0.99536,-6.398887005229548,-0.9695999820680489,171.10128804432046,0.002346,0.013914,19.656775,0.0028562168674698793,0.012727506024096384,-0.008009831325299643,0.0029213683228885476,0.007952075307637467,-0.004401387209703474,0,0.00020726361345509262,0.0010533631600671406,-0.0008491730541497545,0.0013688049635879893,8.652032055529328e-05,0.00029616575360842944,-0.00029729096516798413,0.0004230748490505743
947.369,947369.0,0.01999999999998181,0.077895,0.00343,-0.055545,0.995407,-6.318693309083662,-0.8870799642446372,171.09990405914695,-0.0096,0.012735,19.666885,-0.00908978313253012,0.011548506024096385,0.002100168674701308,-0.003767194196681503,0.00995479351359977,-0.0007809130887396765,0,0.0002656909799128104,0.0012124046662197454,-0.0009372007983437439,0.0015552691432336053,9.183414015354466e-05,0.0003204138469328023,-0.00031603498113484197,0.0004504509483223092
947.394,947394.0,0.024999999999977263,0.077942,0.004232,-0.056118,0.995368,-6.377161531950488,-0.983971201894381,171.10002735735628,0.001379,-0.001441,19.665504,0.0018892168674698793,-0.0026274939759036143,0.0007191686746992332,-0.00031103952981795073,0.002266821205103807,0.00013566007551356807,0,0.0001715111249958585,0.0014612745040595133,-0.0009567236255622181,0.0017550097828561062,9.612191827843721e-05,0.0003569457095342569,-0.0003399530717738757,0.000489332676903114
947.418,947418.0,0.02400000000000091,0.077937,0.004256,-0.057114,0.995312,-6.490943555466475,-0.9955461215162499,171.10174060677107,-0.000414,-0.002475,19.664007,9.621686746987945e-05,-0.0036614939759036145,-0.0007778313252977398,-6.616836627437863e-05,-0.0012976984584150285,-0.00041359514476875525,0,0.00016404617628022742,0.0015156782129820067,-0.0009534677837498923,0.0017981358146451074,0.00010005902650916282,0.0003933219866458264,-0.00036283629858387394,0.0005314529116916621
947.441,947441.0,0.023000000000024556,0.077964,0.004234,-0.057121,0.995309,-6.491907596136181,-0.9932743752861133,171.09849361308036,0.000222,-0.012826,19.677292,0.0007322168674698794,-0.014012493975903616,0.01250716867470203,0.0004056966505292172,-0.008812450669420817,0.007222889323007416,0,0.00016252430385591508,0.0014858311484384293,-0.0009629804720795839,0.0017780437960354997,0.00010379708549785287,0.0004274961030599468,-0.000384984849441728,0.0005728100354285438
947.465,947465.0,0.02400000000000091,0.077944,0.003794,-0.056227,0.995364,-6.393491830371091,-0.9349903952345321,171.0971769347577,-0.004947,0.012105,19.669613,-0.00443678313253012,0.010918506024096386,0.004828168674698929,-0.0025059424711907224,0.0030511869690437714,0.005783014994652355,0,0.00017226102346861667,0.0012743323323723217,-0.0007896311283273993,0.0015090109583298387,0.00010793135006109983,0.0004580800790368837,-0.0004039359965215863,0.0006154830865333974
947.488,947488.0,0.023000000000024556,0.077992,0.004692,-0.056636,0.995333,-6.4323486635004805,-1.041380322386033,171.0976995126561,-0.003635,0.001913,19.676765,-0.003124783132530121,0.0007265060240963857,0.011980168674700309,-0.0028716922956109484,0.0016772442070938781,0.009445682967175243,0,0.00011462434663116852,0.0013445096326604035,-0.0006566217834502532,0.0015006655389055304,0.00011056771003361952,0.000489003800588106,-0.00041903829754095823,0.0006501903385750208
947.51,947510.0,0.021999999999934516,0.077944,0.00382,-0.056117,0.99537,-6.380673911915804,-0.9369763650939033,171.0972345979213,-0.009308,0.006464,19.659086,-0.00879778313253012,0.005277506024096386,-0.005698831325300802,-0.006310233735922866,0.003766251917980011,0.0006582645118841449,0,5.14471161279157e-05,0.001381409005216359,-0.00044881675817301633,0.0014534008833999193,0.0001116995465884303,0.0005193947987027754,-0.0004289122662207352,0.0006832049804308442
