# source_file=20251214_180907_glider_ble.csv
# note=ZUPT + bias tracking; rotate accel to world if ACCEL_IN_BODY_FRAME
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_body,ay_lin_mps2_body,az_lin_mps2_body,ax_lin_mps2_world_raw,ay_lin_mps2_world_raw,az_lin_mps2_world_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
2813.544,2813544.0,0.02500000000009095,-0.8240099438115878,0.18308198751582275,-0.05447699628526822,0.5334049636276501,-21.214475993155514,-6.057962745551366,-64.69672041811695,3.179329,2.449114,-0.820696,3.2213820460296523,-2.1668913712373756,-1.3065656119873255,1.1984482765710904,-1.073453235989561,-0.8161254230270227,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2813.568,2813568.0,0.02400000000034197,-0.8243729697479858,0.18093999336004518,-0.05367699803021525,0.5336559804164269,-20.95143207159613,-6.005255525137461,-64.7224609612196,3.157192,2.429261,-0.78243,3.210616041635871,-2.1412720518492963,-1.2602641266990515,1.1929197379493777,-1.0602972505823094,-0.7923487701206995,1.155432454764595,0,0,0.028762758638116004,-0.025762877664116553,0.0,0.038613755968705664,0.00034515310366231,-0.00030915453197380373,0.0,0.0
2813.595,2813595.0,0.02699999999958891,-0.8247352381909939,0.17874605162347587,-0.052829015257497274,0.5339201542009681,-20.680378258182703,-5.954136044415482,-64.74941274258644,3.144562,2.394866,-0.806461,3.173853030323229,-2.1446165371169768,-1.2654285933838567,1.170119285660927,-1.05534697645589,-0.7829244917014452,0.9319675944043919,0,0,0.0609715915622588,-0.05439090342940303,0.0,0.0817062136774282,0.0015565668313489254,-0.0013912305767198427,0.0,0.001042571411139179
2813.615,2813615.0,0.01999999999998181,-0.8250980827961214,0.17658701771997834,-0.05201300521934929,0.5341580536011609,-20.41505178879477,-5.901529697280368,-64.7734541749559,3.122986,2.382246,-0.778136,3.166479741354845,-2.1194388371498256,-1.2308607794459725,1.1576833757321194,-1.0416133627135324,-0.7630333071911569,1.3591571132556428,0,0,0.08437397727545606,-0.07549784295850163,0.0,0.11322054730774689,0.003010022519724752,-0.002690118040597708,0.0,0.0026766956846862567
2813.643,2813643.0,0.028000000000247383,-0.8255798229985944,0.1748679625089249,-0.05088498909043761,0.5340878854934389,-20.17662722213721,-5.898729516416909,-64.74926140740929,3.051752,2.364589,-0.754823,3.1336775732391797,-2.0514782993954768,-1.2023854722347775,1.131778749366972,-0.9954916706532391,-0.7348392671461661,2.140821664097986,0,0,0.1167891117962418,-0.10466301711473822,0.0,0.156824882546473,0.005826305766753404,-0.005212370081645349,0.0,0.005846871009331178
2813.664,2813664.0,0.021000000000185537,-0.8259090532422289,0.17284801114264742,-0.05019100323556313,0.5343020344437819,-19.932867468982916,-5.842813497719456,-64.77217629998589,3.004692,2.31506,-0.718317,3.0848057885041227,-2.015618938890703,-1.15104720639493,1.0982131003739715,-0.9602915287194329,-0.6991967241989796,2.8714300134874366,0,0,0.1405564655331582,-0.12556834219864094,0.0,0.18847686480225864,0.008528434328735977,-0.007629799354457189,0.0,0.009140193542836208
2813.688,2813688.0,0.023999999999887223,-0.8262408182485221,0.170792962429993,-0.04947298911722989,0.5345168824201962,-19.684294188118407,-5.786981243443482,-64.79497929718437,2.996134,2.304077,-0.737105,3.070789269561847,-2.0130380752757393,-1.1605363063445941,1.0723535588200492,-0.939395659515838,-0.6842530345250529,1.5187869224112052,0,0,0.16691357994200967,-0.14861533888779904,0.0,0.2234874988042799,0.012218074874420655,-0.010920003527479008,0.0,0.013663638298069158
2813.715,2813715.0,0.027000000000043656,-0.8265590580996648,0.16872001185949878,-0.048756003427108355,0.5347490375880459,-19.434025346051172,-5.730319554261684,-64.82029834785169,2.951827,2.30073,-0.688928,3.0657642202161615,-1.9602917118165801,-1.1133773442272914,1.0563265928541106,-0.90001533776815,-0.6509669893037335,1.9998745452734663,0,0,0.19586712603019782,-0.17397902169476767,0.0,0.2619783026305763,0.017115614405053374,-0.0152750273953507,0.0,0.01969780076579447
2813.736,2813736.0,0.02099999999973079,-0.8269268556127952,0.16674397088533804,-0.04781799165064467,0.5348849066053594,-19.180669146549825,-5.6985002543638315,-64.82876107185129,2.903169,2.281272,-0.685608,3.033853772821952,-1.9194351439138464,-1.101884986580472,1.034524662799733,-0.8644755085952043,-0.6319904471686573,2.181406047220156,0,0,0.21804998447984977,-0.19287934378765653,0.0,0.2911155045538106,0.021461744065353158,-0.019127040232866772,0.0,0.025199345120966048
2813.761,2813761.0,0.02500000000009095,-0.8272549129599653,0.16462598267879586,-0.046990995055819225,0.5351069436984585,-18.919567007203455,-5.649227775066137,-64.85131125192763,2.890379,2.238466,-0.67271,2.9987020729702922,-1.9178743209415918,-1.071029181457491,1.0037534200334977,-0.8435065489774651,-0.6050710352207428,1.8379211684662133,0,0,0.2439131010499372,-0.21449123150261526,0.0,0.3248077727753838,0.027236282634496504,-0.024219172424013696,0.0,0.03247723273483779
