mass_kg,chord_m,span_m,wing_area_m2,AR,K,Vmin_theo_m_s,sink_rate_m_s,CL_at_Vmin,CD_at_Vmin,glide_at_Vmin,CL_ms,CD_ms,sink_min_m_s,Vstall_m_s,Re_root_at_Vmin
0.1,0.01,0.2,0.0015707963267948967,25.464790894703253,0.016666666666666666,20.94706009710033,1.0817015321076735,2.32379000772445,0.12000000000000001,19.364916731037084,2.32379000772445,0.12000000000000001,1.0817015321076733,24.356870112281733,14176.87769002647
0.1,0.01,0.2325,0.0018260507298990675,29.602819415092533,0.014336917562724014,18.710196884148672,0.8961201499621186,2.50549396327351,0.12,20.87911636061258,2.50549396327351,0.12,0.8961201499621186,22.590456100086755,12662.97855418902
0.1,0.01,0.265,0.002081305133003238,33.74084793548181,0.01257861635220126,16.961379448251233,0.7609175431654702,2.6748831750190525,0.1200000000000001,22.29069312515875,2.6748831750190507,0.11999999999999998,0.7609175431654698,21.15989659472118,11479.38664315346
0.1,0.01,0.2975,0.0023365595361074087,37.87887645587109,0.011204481792717089,15.551788734990902,0.6584703542029096,2.834166544153677,0.11999999999999997,23.618054534613982,2.8341665441536774,0.12,0.6584703542029096,19.970686445056543,10525.381878654063
0.1,0.01,0.33,0.0025918139392115797,42.01690497626037,0.010101010101010102,14.38832107553295,0.5784322711600685,2.984962311319859,0.11999999999999995,24.8746859276655,2.9849623113198596,0.12,0.5784322711600686,18.961797665490685,9737.952109131418
0.1,0.01,0.36250000000000004,0.0028470683423157507,46.15493349664965,0.009195402298850575,13.409561217541786,0.5143513994266362,3.1284980421921316,0.12,26.070817018267764,3.1284980421921316,0.12,0.5143513994266361,18.091828929738735,9075.53176325342
0.1,0.01,0.395,0.003102322745419921,50.292962017038924,0.008438818565400843,12.57325587134068,0.4620070150616558,3.2657311585615862,0.12,27.21442632134655,3.2657311585615862,0.12,0.4620070150616558,17.331570983109515,8509.524001321732
0.1,0.01,0.4275,0.0033575771485240915,54.4309905374282,0.007797270955165693,11.849321584100956,0.41852826259762504,3.397425495871837,0.12000000000000001,28.311879132265307,3.397425495871837,0.12000000000000001,0.41852826259762504,16.65974763983397,8019.568475427443
0.1,0.01,0.46,0.003612831551628262,58.569019057817485,0.007246376811594203,11.215721112394661,0.3818982337637893,3.524202037341219,0.11999999999999998,29.368350311176826,3.5242020373412193,0.12,0.38189823376378923,16.060444545076024,7590.750476620698
0.1,0.01,0.4925,0.0038680859547324327,62.70704757820676,0.00676818950930626,10.655918723597747,0.3506607407356117,3.646573734342967,0.12000000000000008,30.388114452858037,3.646573734342965,0.11999999999999998,0.35066074073561154,15.521488254387581,7211.878694147647
0.1,0.01,0.525,0.004123340357836604,66.84507609859604,0.00634920634920635,10.157248971810894,0.3237395883530863,3.7649701194033405,0.12000000000000004,31.374750995027828,3.7649701194033396,0.12,0.32373958835308625,15.033386611666502,6874.381210203506
0.1,0.01,0.5575000000000001,0.004378594760940775,70.98310461898534,0.005979073243647232,9.709836602797054,0.3003231771630391,3.879755146913269,0.11999999999999997,32.331292890943914,3.8797551469132694,0.11999999999999998,0.300323177163039,14.588614292165765,6571.574496368174
0.1,0.01,0.5900000000000001,0.004633849164044946,75.1211331393746,0.005649717514124293,9.305861116810576,0.2797885418238656,3.991240408695023,0.12000000000000006,33.26033673912517,3.9912404086950213,0.11999999999999998,0.2797885418238655,14.181118046173683,6298.165672979535
0.1,0.01,0.6225,0.004889103567149116,79.25916165976388,0.00535475234270415,8.939043663351073,0.2616500033928697,4.099695110614935,0.12,34.16412592179112,4.099695110614935,0.12,0.26165000339286965,13.8059660192323,6049.905241770755
0.1,0.01,0.655,0.005144357970253286,83.39719018015316,0.005089058524173028,8.60428130210633,0.24552364019328593,4.205353730662857,0.12000000000000005,35.04461442219046,4.205353730662856,0.12000000000000002,0.24552364019328593,13.459094052818516,5823.339555292959
0.1,0.01,0.6875,0.005399612373357457,87.53521870054243,0.0048484848484848485,8.297381306526292,0.23110219014571565,4.308421984903522,0.12000000000000004,35.90351654086267,4.3084219849035215,0.12,0.2311021901457156,13.137118783788317,5615.630994748459
