mass_kg,chord_m,span_m,wing_area_m2,Vmin_theo_m_s,sink_rate_m_s,CL_at_Vmin,CD_at_Vmin,glide_at_Vmin,Vstall_m_s
0.1,0.02,0.45,0.009000000000000001,11.054695667245166,0.607309332974128,1.4562194344167747,0.08000000000000002,18.20274293020968,12.177820811947068
0.1,0.02,0.46,0.0092,10.873961790988973,0.5908514530684043,1.4723107453852797,0.08000000000000002,18.403884317315995,12.044725877866089
0.1,0.02,0.47000000000000003,0.0094,10.69997549209094,0.5751793359854644,1.488228080900507,0.08000000000000004,18.602851011256327,11.915901576371304
0.1,0.02,0.48,0.0096,10.532349167644124,0.5602399193232105,1.5039769647786008,0.08000000000000003,18.799712059732503,11.79112429944227
0.1,0.02,0.49,0.0098,10.370724955376986,0.5459847311023429,1.5195626345723618,0.07999999999999999,18.994532932154527,11.670186494282285
0.1,0.02,0.5,0.01,10.214771901068582,0.5323694090002639,1.534990061919733,0.08000000000000002,19.187375773996656,11.552895210946131
0.1,0.02,0.51,0.0102,10.06418344612693,0.5193532783547201,1.5502639710695056,0.08000000000000003,19.378299638368812,11.439070807385297
0.1,0.02,0.52,0.010400000000000001,9.91867519366807,0.5068989807635327,1.5653888557799436,0.08000000000000004,19.56736069724928,11.328545792135952
0.1,0.02,0.53,0.0106,9.777982917540383,0.4949721463759905,1.5803689947616306,0.08000000000000002,19.75461243452038,11.221163787686919
0.1,0.02,0.54,0.0108,9.64186078385371,0.48354110402381045,1.5952084658149643,0.08,19.940105822687055,11.116778599932145
0.1,0.02,0.55,0.011000000000000001,9.51007975887225,0.4725766242153346,1.6099111587946655,0.08000000000000004,20.123889484933308,11.0152533811117
0.1,0.02,0.56,0.011200000000000002,9.382426180756257,0.4620516907480739,1.6244807875181007,0.08000000000000004,20.30600984397625,10.916459875340198
0.1,0.02,0.57,0.011399999999999999,9.258700475705671,0.4519412973077119,1.6389209007207377,0.08000000000000002,20.486511259009216,10.820277737262249
0.1,0.02,0.58,0.0116,9.13871600166317,0.44222226593715047,1.6532348921502718,0.08000000000000002,20.665436151878392,10.726593915603424
0.1,0.02,0.59,0.0118,9.02229800495127,0.432873084693998,1.6674260098807887,0.08000000000000002,20.842825123509858,10.635302094436105
0.1,0.02,0.6,0.012,8.909282677111232,0.42387376218283396,1.6814973649193792,0.08000000000000004,21.01871706149223,10.546302185881002
0.1,0.02,0.61,0.0122,8.799516300832597,0.41520569696084003,1.695451939169808,0.08000000000000002,21.193149239622596,10.459499868740474
0.1,0.02,0.62,0.0124,8.692854475253961,0.4068515600811575,1.7092925928109877,0.08000000000000002,21.36615741013734,10.374806168228305
0.1,0.02,0.63,0.0126,8.589161412113638,0.3987951892651496,1.7230220711419677,0.08000000000000002,21.53777588927459,10.292137072538544
0.1,0.02,0.64,0.0128,8.488309295262814,0.39102149338886094,1.736643010939842,0.07999999999999999,21.708037636748028,10.211413182496997
0.1,0.02,0.6499999999999999,0.012999999999999998,8.390177696948315,0.3835163661354988,1.750157946372283,0.07999999999999999,21.876974329653542,10.132559390974077
0.1,0.02,0.6599999999999999,0.013199999999999998,8.294653045047754,0.37626660780901117,1.7635693145022373,0.07999999999999996,22.044616431277976,10.055504589116548
0.1,0.02,0.6699999999999999,0.013399999999999999,8.201628136113996,0.3692598544273351,1.7768794604186697,0.08000000000000002,22.21099325523337,9.98018139678647
0.1,0.02,0.6799999999999999,0.0136,8.111001689673179,0.36248451332063103,1.7900906420239135,0.07999999999999999,22.376133025298923,9.906525914884638
0.1,0.02,0.69,0.0138,8.022677939733082,0.35592970455226564,1.8032050345053494,0.08000000000000004,22.540062931316857,9.834477497489365
0.1,0.02,0.7,0.013999999999999999,7.9365662599072575,0.34958520756057704,1.8162247345164326,0.08000000000000004,22.702809181455393,9.763978541963827
0.1,0.02,0.71,0.014199999999999999,7.852580818953207,0.3434414124892631,1.829151764089883,0.08000000000000002,22.86439705112353,9.694974295381089
0.1,0.02,0.72,0.0144,7.770640263868324,0.33748927573511395,1.8419880743036787,0.07999999999999999,23.02485092879599,9.627412675788444
0.1,0.02,0.73,0.0146,7.690667427990937,0.3317202792949708,1.8547355487186907,0.08,23.184194358983632,9.561244106985114
0.1,0.02,0.74,0.0148,7.6125890618217005,0.32612639354033046,1.867396006605099,0.08,23.342450082563737,9.496421365622279
0.1,0.02,0.75,0.015,7.536335584516989,0.32070004308881833,1.8799712059732505,0.08000000000000002,23.499640074665628,9.432899439553816
0.1,0.02,0.76,0.0152,7.461840854215227,0.31543407547759744,1.8924628464232438,0.08000000000000003,23.65578558029054,9.370635396472311
0.1,0.02,0.77,0.0154,7.389041955542508,0.31032173237533384,1.9048725718263184,0.08000000000000002,23.810907147828978,9.309588261959233
0.1,0.02,0.78,0.015600000000000001,7.31787900280836,0.3053566230971442,1.9172019728500334,0.08000000000000002,23.965024660625414,9.249718906162183
0.1,0.02,0.79,0.0158,7.24829495754893,0.30053270021151723,1.9294525893382062,0.08000000000000004,24.118157366727562,9.190989938387101
0.1,0.02,0.7999999999999999,0.016,7.180235459205062,0.2958442370499249,1.9416259125556987,0.07999999999999999,24.27032390694624,9.133365608960302
0.1,0.02,0.8099999999999999,0.0162,7.113648667838981,0.2912858069490877,1.953723387307323,0.08000000000000002,24.421542341341535,9.07681171777511
0.1,0.02,0.82,0.016399999999999998,7.048485117897097,0.2868522640729402,1.9657464139393586,0.08000000000000004,24.57183017424197,9.021295528991592
0.1,0.02,0.83,0.0166,6.984697582119161,0.2825387256765195,1.977696350231576,0.08000000000000004,24.721204377894686,8.966785691406015
