y_m,z_m
0.0,0.0
0.0054451693560086485,0.005818624028620684
0.017929679291163188,0.019409500229959235
0.03913950900470687,0.042967401558231394
0.06553731604059312,0.07256622002886748
0.09090511047645256,0.10114038310266915
0.12920152594908943,0.14673523782242848
0.17319206572920254,0.205480692629268
0.21657148051735922,0.2694624774591179
0.25261064632537916,0.3255969468277296
0.29974263066093965,0.4017158534312933
0.35316178759224326,0.4884592119323398
0.40839639578862097,0.5750591802752385
0.45373785521659826,0.6429025359926113
0.5841877202772523,0.8195741680562992
0.6701102224414306,0.9282302823774582
0.7263705057725179,0.9993760663501227
0.8013650674977901,1.0888298013568731
0.8835689418270655,1.181572126849435
0.9737890293417922,1.2772615137246164
1.0457938466659666,1.3461694873200003
1.1442388394514216,1.4317405583028566
1.2557907896046028,1.5192650604059177
1.380388757435503,1.6124260740748748
1.4761831335052782,1.6836108663967675
1.603003052676409,1.7749465554794734
2.0696151862383836,2.065002634134118
2.707131632391853,2.26490108334954
2.876986689255135,2.2693714567453864
2.995290519017131,2.260645362882043
3.153675162414687,2.233918665959383
3.7175950595986325,2.001492308078573
3.923065398943968,1.8640327352399273
4.093820606404427,1.7279783199292658
4.223918411422647,1.6106350465250792
4.384674760688893,1.448719841744426
4.517863226247018,1.2998435320628068
5.089267882407972,0.49328762427074035
5.639670380144568,-0.6022234165872259
5.745765452176802,-0.8610349508259959
5.866631732992651,-1.180366558679693
5.976875559767141,-1.4979717089006388
6.068504571843381,-1.7843820341701213
6.307995872419717,-2.658995885225613
6.394351604072289,-3.034915940973942
6.455113699450815,-3.326635148334431
6.508712733505802,-3.6075283422999154
6.596760268702738,-4.133237235959182
6.773650030728264,-5.701148449655382
6.818164694227262,-6.466820277534399
6.832228674388302,-6.90834596295185
6.838081705196743,-7.353590356064146
6.835703535896505,-7.80196778412688
6.795384086348539,-8.9062909265609
6.722628550337777,-9.855132231069812
6.67526043091405,-10.311897481772917
6.620012387396871,-10.76799388370007
6.554310281302503,-11.241066045272358
6.433932994245589,-11.983162079681133
6.347198853276,-12.450467573843419
6.079542503936642,-13.67307877235166
5.600599922710192,-15.386133545938549
5.343734037165415,-16.1575544670102
4.948201548244349,-17.217424061953984
4.3968769410884,-18.49443829103012
4.1596235647302455,-18.985668557483415
4.0305192258192175,-19.240604283915335
3.881736971125462,-19.524281788408775
3.726442950832221,-19.809258445183783
3.5585483109070615,-20.105029599717263
3.4363091318523438,-20.31251821333659
3.3402253417457537,-20.471082719760766
3.124366951231987,-20.81309352633825
2.967743369078226,-21.048987159008632
2.8072895642369913,-21.280067635691662
2.691830044780723,-21.439657375059408
2.5425436403670516,-21.63759062598211
2.402363533275379,-21.81461333493116
2.013650975607046,-22.257421200648132
1.8879166251691264,-22.383875931340807
1.7668653957321174,-22.497183116979127
