x_m,z_m
0.0,0.0
0.006865385921629869,0.04218628326098739
0.009518566402455696,0.059352586276535266
0.013023293404390953,0.08417095483255616
0.016884524947581685,0.1123523396758223
0.0215857749765408,0.14413061264984067
0.02658068392069937,0.17384556937109183
0.03488207838768834,0.21766569213354575
0.0444527906808269,0.26367695500778576
0.056227550358551634,0.314513560745947
0.06804569071436695,0.3598239857290643
0.0846281972788758,0.41804853048084334
0.10092153596371303,0.47447422396486905
0.11643909614951461,0.5320784994352097
0.138433366026161,0.6302589569277833
0.15163638744160493,0.7103709098687965
0.16106511851885078,0.811109360615821
0.16108686247562481,0.9205210583349265
0.15292025731589215,1.0103654112425453
0.14065112252890016,1.0928360136295026
0.12299713296614066,1.194093036975068
0.10435572523374954,1.3014701910261393
0.08882635364734731,1.4025908094248711
0.07924597222890757,1.4777407131338332
0.07319858441660138,1.5358099554541038
0.06646889714688944,1.6222407447036842
0.05717422471043243,1.7732604216447245
0.0536272464964773,1.8416130048074817
0.05072037082639253,1.9872220259246374
0.05152052177477152,2.047373029581664
0.053615492636690076,2.114331488762313
0.05651696150232967,2.1754691981937464
0.06263231914457279,2.2760988992013855
0.0659482511300111,2.325174046173517
0.06984212255210721,2.3876997066549697
0.07223167846830307,2.4416207192683816
0.07252704324516605,2.4608102251031987
0.07209207974336325,2.4793915234954755
0.06689348857170281,2.490453846613702
