t_imu_s,roll_deg,pitch_deg,yaw_deg_unwrap
0.0,-24.42969732891412,21.30049760272496,-2.507678163365798
0.029,-23.92748249538372,23.12244723618425,0.9781441731974568
0.053,-23.55110207894421,25.215100192326965,4.280175838835273
0.079,-23.489806951530582,27.183053505976616,7.168055559145257
0.103,-23.086714375659348,29.743173971682626,9.994151213117227
0.122,-20.765970678420672,32.14740838611561,17.590155911077332
0.147,-10.096542178026121,33.27198649957177,31.378590259634574
0.173,-6.708148719804004,26.940433952634127,47.79695352568366
0.197,-10.867569580900456,21.46427222779498,64.3294971752581
0.216,-14.902768368348411,17.51353543668161,75.42920759061057
0.24,-8.868570000621103,16.383857448623996,81.7412115154135
0.266,-3.7563740318581624,13.261408549001509,87.59495971839036
0.291,-1.126587489461122,8.796841017536392,92.96537418365833
0.31,0.8635052886477064,4.2022863035987905,97.29164447123736
0.358,2.6637857492290995,-4.440979172194173,104.06346616261712
0.387,4.952542818614381,-9.425579118397525,107.6588373509415
0.406,7.818972555991781,-15.604180583802416,111.82955760608084
0.43,9.974940966100496,-20.339115803712776,114.97089635285889
0.455,12.325495078003053,-25.7846476697851,118.7351913177611
0.481,14.688399500102625,-31.836842131108366,123.7130021295488
0.5,16.649783815118905,-38.51458671098225,130.3376760643885
0.524,17.283189448965697,-43.772049221035914,137.192571627412
0.549,9.158307431013371,-40.73600523577103,138.68186873506076
0.575,13.307229545012433,-33.962914683660536,139.64185152385718
0.594,13.785488759611205,-24.560971257705187,142.8832057833213
0.618,13.522199513096165,-16.380944239521984,145.46985009060054
0.698,12.51205495896808,12.61219759917443,154.77620110717604
0.868,18.50242247228979,17.82554161226582,163.7092210142282
0.894,19.84571917079018,18.719465638212746,165.19482263357395
0.912,21.551996629015463,19.6522191494896,166.21555629032628
0.936,22.842816731704726,20.307801803820634,166.97843159758776
1.021,29.38354969364631,23.002417907146253,171.36839439184345
1.052,30.905352391939484,23.54952036773377,172.26583807687032
1.078,32.59724926868846,23.996288223601695,173.75037555281207
1.098,34.588255221012794,24.608988670636514,174.92726508941118
1.123,36.29657982615134,25.089535506885444,175.9356818954746
1.144,38.142351315854796,25.565697449790356,177.02694284776445
1.238,46.329061170803534,26.797830407639914,181.7559853108494
1.355,55.94833419373981,26.449567889759575,188.9801126561059
1.376,58.12073913773187,26.30228118505457,190.5549739132837
1.401,60.33176513033654,26.311779648931417,191.78255380837177
1.425,62.10867583383507,26.284686669677814,192.7594033347301
1.446,64.07774622039553,26.22053228912784,193.83161801927798
1.507,69.28255116990925,25.717833090533325,196.83539004077073
1.532,71.03656330872957,25.544495298577832,197.74440982306803
1.551,73.07306152100945,25.30933847431859,198.78665047072622
1.569,74.77371871233798,25.086159249131327,199.64200647128888
1.602,76.4701851624475,24.618496297411,200.63225196527603
1.696,84.45960360426275,22.90936404986022,204.55570669571568
1.74,88.18929627940358,22.02863566669622,206.16771430675888
1.765,90.43385728170425,21.447862203055255,207.09324461781637
1.79,92.03751145351713,20.819065447759165,207.8098891831614
1.815,94.04562795512639,20.24085643684192,208.5796916831294
1.876,99.2891157733088,18.600759452531147,210.438069430241
1.928,103.0365954921449,17.149684710454306,211.69536360209645
1.953,104.56106522667338,16.60696053823421,212.13643076406228
1.978,106.38532776850258,15.941538770096217,212.63629619054805
2.004,108.05438595619862,15.186996013239403,213.107585611361
2.045,111.70743106174729,13.783235759870633,213.94838839546492
2.071,113.18495575533784,13.202352798080328,214.2478387496097
2.14,118.33360806011189,10.975088685450238,215.14736666298987
2.365,131.4708889209276,4.848139367004696,216.23232779130183
2.412,134.71200665549802,3.518753923588212,216.07884178950684
2.48,139.2959570994799,1.8521609364907217,215.7287269824909
2.569,145.53409111048364,-0.4722853209714883,214.60239908162896
2.606,147.7679566052023,-1.1803316228668745,214.065818268789
2.626,149.28384899924703,-1.5923160029935974,213.7657707524212
2.649,150.69046762756105,-1.9538301730706082,213.4689237999272
2.673,152.1091108767146,-2.2974487758302744,213.15103433292032
2.699,153.5310129046801,-2.657000631174179,212.6126610877819
2.718,155.28891209116006,-3.024733944768555,212.17129684291234
2.733,156.7090629940192,-3.2929144981321548,211.79427126144975
2.767,158.3948849000148,-3.5801095371518548,211.32640874361678
2.792,159.9419127248758,-3.8081039186685515,210.87433911811513
2.818,160.85840822218032,-4.318845595387606,209.77161454426434
2.837,162.58419507767456,-4.500029290948002,209.22468462887792
2.862,163.96228261966823,-4.607661851203343,208.76708067925776
2.886,165.48474837925914,-4.692177532732026,208.24334644822883
2.956,169.10268443350427,-5.067474701369229,205.96248686978194
2.98,170.5458972470494,-4.997517443850933,205.39101607098684
3.004,171.22097169269915,-5.37597895848167,204.2132721069637
