x_m,y_m
0.0,0.0
-0.002993120349588098,0.0054451693560086485
-0.009936268559798041,0.017929679291163188
-0.021986164588364606,0.03913950900470687
-0.037303325661404804,0.06553731604059312
-0.05223249135573612,0.09090511047645256
-0.07566815002404777,0.12920152594908943
-0.10571175245876199,0.17319206572920254
-0.13858676980768703,0.21657148051735922
-0.16762791756389828,0.25261064632537916
-0.20847522660457057,0.29974263066093965
-0.2569512156029626,0.35316178759224326
-0.30614695026334904,0.40839639578862097
-0.34478813205129216,0.45373785521659826
-0.4455509845350162,0.5841877202772523
-0.5075381696229286,0.6701102224414306
-0.5481261007015517,0.7263705057725179
-0.6003288135111878,0.8013650674977901
-0.6556746809259579,0.8835689418270655
-0.7154651761611246,0.9737890293417922
-0.762295874832056,1.0457938466659666
-0.8261374082231033,1.1442388394514216
-0.8990482069397531,1.2557907896046028
-0.9852415259697413,1.380388757435503
-1.056582632061768,1.4761831335052782
-1.1554853160834704,1.603003052676409
-1.5393511838846021,2.0696151862383836
-2.07672973948665,2.707131632391853
-2.218125345940922,2.876986689255135
-2.3153339335665275,2.995290519017131
-2.443785972515587,3.153675162414687
-2.8859617453696838,3.7175950595986325
-3.0415515780088747,3.923065398943968
-3.1689542505313186,4.093820606404427
-3.2649042702290174,4.223918411422647
-3.382172852273796,4.384674760688893
-3.4782801272891977,4.517863226247018
-3.8799254699436503,5.089267882407972
-4.252187487330947,5.639670380144568
-4.322576052020943,5.745765452176802
-4.402456008734292,5.866631732992651
-4.475057196782242,5.976875559767141
-4.535242984910158,6.068504571843381
-4.692070871605027,6.307995872419717
-4.7485199139316965,6.394351604072289
-4.788306677898532,6.455113699450815
-4.823498922230048,6.508712733505802
-4.881661707811297,6.596760268702738
-5.002045894832599,6.773650030728264
-5.035339443861873,6.818164694227262
-5.047726342161889,6.832228674388302
-5.05541880670277,6.838081705196743
-5.058450271985241,6.835703535896505
-5.046504274940569,6.795384086348539
-5.015062196595317,6.722628550337777
-4.993188462542315,6.67526043091405
-4.967066244372509,6.620012387396871
-4.935478342919272,6.554310281302503
-4.87671799246351,6.433932994245589
-4.833928642938291,6.347198853276
-4.70057560315152,6.079542503936642
-4.459351523868046,5.600599922710192
-4.32901881007906,5.343734037165415
-4.126858964225973,4.948201548244349
-3.8420245238892368,4.3968769410884
-3.718248405360555,4.1596235647302455
-3.6505159111140872,4.0305192258192175
-3.572092397252593,3.881736971125462
-3.489781969147757,3.726442950832221
-3.400221314035682,3.5585483109070615
-3.3346121417284267,3.4363091318523438
-3.282783129087304,3.3402253417457537
-3.165423945127449,3.124366951231987
-3.07939077655493,2.967743369078226
-2.990369513352723,2.8072895642369913
-2.9257000872014696,2.691830044780723
-2.8412372365903917,2.5425436403670516
-2.760949552995962,2.402363533275379
-2.5322396740018887,2.013650975607046
-2.455938137140813,1.8879166251691264
-2.3810329101393743,1.7668653957321174
