t_imu_s,az_raw_mps2,az_clean_mps2,az_used_mps2
0.0,-1.416782,8.43725741025641,8.437256652197476
0.104,-4.006306,6.31229210776953,6.312288437427299
0.123,-4.385584,5.928145669644937,5.928141321628465
0.147,-4.173129,5.801185877490412,5.801180643122443
0.171,-2.210935,6.747044468469329,6.747038703138891
0.195,-0.391223,8.14164264237518,8.141636416940765
0.215,0.465238,9.160742859648613,9.160736142913894
0.241,-0.102593,9.475872534265873,9.475865242875816
0.265,-4.469818,7.374735432875645,7.374728002012578
0.289,-5.157673,5.999344336695144,5.9993368627388195
0.309,1.445485,8.47974864701483,8.479741157475022
0.333,11.882801,15.287505837463229,15.287498335011833
0.354,14.302511,19.54596901638131,19.545961506231524
0.373,12.376919,20.76827792413463,20.76827040916875
0.401,11.41953,21.04713404934487,21.04712652893019
0.421,-2.931832,14.436881485793108,14.436873962267935
0.444,-21.567101,1.2865587248761994,1.2865512010995586
0.468,-26.561201,-7.953543180009293,-7.953550701446412
0.488,-16.542137,-7.361333735611856,-7.361341243430656
0.507,-10.060929,-4.104359674758197,-4.104367155589965
0.531,-11.547585,-2.8663628942275476,-2.866370334643047
0.557,-14.121026,-3.6135703369033965,-3.613577758616677
0.582,-15.043411,-4.438831865867808,-4.4388392757592
0.601,-16.293861,-5.349758206729921,-5.3497656079581
0.616,-17.378792,-6.214305383259521,-6.214312777424413
0.639,-18.329702,-7.351500101316498,0.0
0.68,-19.38204,-8.751586886973637,-8.751594248659991
0.699,-19.576881,-9.193738829026426,-9.193746180041497
0.743,-19.781584,-9.677544422102269,-9.67755174439843
0.763,-20.076326,-9.932475538003496,-9.932482845530119
0.787,-20.188629,-10.138968400540987,-10.138975689255192
0.811,-20.225294,-10.258251573881504,-10.258258841078874
0.857,-19.395674,-9.778674938110898,-9.778682156995915
0.884,-18.754194,-9.30175984861985,-9.30176703638237
0.926,-17.966671,-8.530271611673212,-8.530278752064994
0.976,-17.206209,-7.720428334553252,-7.720435423843919
1.001,-16.761656,-7.294751389524271,-7.294758456647141
1.035,-15.984633,-6.5971154638807805,-6.597122508948306
1.126,-14.20861,-4.802865365680351,-4.802872379475193
