x_m,y_m,z_m
0.0,0.0,0.0
-0.002993120349588098,0.0054451693560086485,0.005818624028620684
-0.009936268559798041,0.017929679291163188,0.019409500229959235
-0.021986164588364606,0.03913950900470687,0.042967401558231394
-0.037303325661404804,0.06553731604059312,0.07256622002886748
-0.05223249135573612,0.09090511047645256,0.10114038310266915
-0.07566815002404777,0.12920152594908943,0.14673523782242848
-0.10571175245876199,0.17319206572920254,0.205480692629268
-0.13858676980768703,0.21657148051735922,0.2694624774591179
-0.16762791756389828,0.25261064632537916,0.3255969468277296
-0.20847522660457057,0.29974263066093965,0.4017158534312933
-0.2569512156029626,0.35316178759224326,0.4884592119323398
-0.30614695026334904,0.40839639578862097,0.5750591802752385
-0.34478813205129216,0.45373785521659826,0.6429025359926113
-0.4455509845350162,0.5841877202772523,0.8195741680562992
-0.5075381696229286,0.6701102224414306,0.9282302823774582
-0.5481261007015517,0.7263705057725179,0.9993760663501227
-0.6003288135111878,0.8013650674977901,1.0888298013568731
-0.6556746809259579,0.8835689418270655,1.181572126849435
-0.7154651761611246,0.9737890293417922,1.2772615137246164
-0.762295874832056,1.0457938466659666,1.3461694873200003
-0.8261374082231033,1.1442388394514216,1.4317405583028566
-0.8990482069397531,1.2557907896046028,1.5192650604059177
-0.9852415259697413,1.380388757435503,1.6124260740748748
-1.056582632061768,1.4761831335052782,1.6836108663967675
-1.1554853160834704,1.603003052676409,1.7749465554794734
-1.5393511838846021,2.0696151862383836,2.065002634134118
-2.07672973948665,2.707131632391853,2.26490108334954
-2.218125345940922,2.876986689255135,2.2693714567453864
-2.3153339335665275,2.995290519017131,2.260645362882043
-2.443785972515587,3.153675162414687,2.233918665959383
-2.8859617453696838,3.7175950595986325,2.001492308078573
-3.0415515780088747,3.923065398943968,1.8640327352399273
-3.1689542505313186,4.093820606404427,1.7279783199292658
-3.2649042702290174,4.223918411422647,1.6106350465250792
-3.382172852273796,4.384674760688893,1.448719841744426
-3.4782801272891977,4.517863226247018,1.2998435320628068
-3.8799254699436503,5.089267882407972,0.49328762427074035
-4.252187487330947,5.639670380144568,-0.6022234165872259
-4.322576052020943,5.745765452176802,-0.8610349508259959
-4.402456008734292,5.866631732992651,-1.180366558679693
-4.475057196782242,5.976875559767141,-1.4979717089006388
-4.535242984910158,6.068504571843381,-1.7843820341701213
-4.692070871605027,6.307995872419717,-2.658995885225613
-4.7485199139316965,6.394351604072289,-3.034915940973942
-4.788306677898532,6.455113699450815,-3.326635148334431
-4.823498922230048,6.508712733505802,-3.6075283422999154
-4.881661707811297,6.596760268702738,-4.133237235959182
-5.002045894832599,6.773650030728264,-5.701148449655382
-5.035339443861873,6.818164694227262,-6.466820277534399
-5.047726342161889,6.832228674388302,-6.90834596295185
-5.05541880670277,6.838081705196743,-7.353590356064146
-5.058450271985241,6.835703535896505,-7.80196778412688
-5.046504274940569,6.795384086348539,-8.9062909265609
-5.015062196595317,6.722628550337777,-9.855132231069812
-4.993188462542315,6.67526043091405,-10.311897481772917
-4.967066244372509,6.620012387396871,-10.76799388370007
-4.935478342919272,6.554310281302503,-11.241066045272358
-4.87671799246351,6.433932994245589,-11.983162079681133
-4.833928642938291,6.347198853276,-12.450467573843419
-4.70057560315152,6.079542503936642,-13.67307877235166
-4.459351523868046,5.600599922710192,-15.386133545938549
-4.32901881007906,5.343734037165415,-16.1575544670102
-4.126858964225973,4.948201548244349,-17.217424061953984
-3.8420245238892368,4.3968769410884,-18.49443829103012
-3.718248405360555,4.1596235647302455,-18.985668557483415
-3.6505159111140872,4.0305192258192175,-19.240604283915335
-3.572092397252593,3.881736971125462,-19.524281788408775
-3.489781969147757,3.726442950832221,-19.809258445183783
-3.400221314035682,3.5585483109070615,-20.105029599717263
-3.3346121417284267,3.4363091318523438,-20.31251821333659
-3.282783129087304,3.3402253417457537,-20.471082719760766
-3.165423945127449,3.124366951231987,-20.81309352633825
-3.07939077655493,2.967743369078226,-21.048987159008632
-2.990369513352723,2.8072895642369913,-21.280067635691662
-2.9257000872014696,2.691830044780723,-21.439657375059408
-2.8412372365903917,2.5425436403670516,-21.63759062598211
-2.760949552995962,2.402363533275379,-21.81461333493116
-2.5322396740018887,2.013650975607046,-22.257421200648132
-2.455938137140813,1.8879166251691264,-22.383875931340807
-2.3810329101393743,1.7668653957321174,-22.497183116979127
