x_m,y_m
0.0,0.0
0.006865385921629869,0.007679913284344773
0.009518566402455696,0.011015480751713654
0.013023293404390953,0.016428347590001755
0.016884524947581685,0.023061179537433186
0.0215857749765408,0.03063902092980146
0.02658068392069937,0.03763070133642927
0.03488207838768834,0.04806364399581946
0.0444527906808269,0.05957643861367514
0.056227550358551634,0.07345545356607164
0.06804569071436695,0.08739216636654211
0.0846281972788758,0.10856303545646516
0.10092153596371303,0.132921230891248
0.11643909614951461,0.16133505519613775
0.138433366026161,0.21703819589312318
0.15163638744160493,0.26852509503927957
0.16106511851885078,0.3410369245357193
0.16108686247562481,0.43070496179041046
0.15292025731589215,0.5144413517404043
0.14065112252890016,0.5991406954561166
0.12299713296614066,0.7096748667270955
0.10435572523374954,0.8308812426291895
0.08882635364734731,0.9468139955112727
0.07924597222890757,1.033703424032049
0.07319858441660138,1.101211874755743
0.06646889714688944,1.202321750932482
0.05717422471043243,1.3797002454774752
0.0536272464964773,1.4602624847789614
0.05072037082639253,1.6338249077703908
0.05152052177477152,1.7062727571362473
0.053615492636690076,1.7871331959498498
0.05651696150232967,1.8608833032555436
0.06263231914457279,1.9806192331869852
0.0659482511300111,2.037160559588457
0.06984212255210721,2.104478373652583
0.07223167846830307,2.1520448691786713
0.07252704324516605,2.1626743678423277
0.07209207974336325,2.163216959286864
0.06689348857170281,2.0856952045407713
