t_imu_s,vx_mps,vy_mps,vz_mps
0.0,0.0,0.0,0.0
0.104,0.13730771843259737,0.15359826568689544,0.8437256652197477
0.123,0.1419744374438055,0.19751409929930255,0.9632535995747656
0.147,0.1500861460507993,0.253558137224706,1.1049437800936426
0.171,0.1716831492150947,0.29917785839457933,1.2435049568452003
0.195,0.22008768653149846,0.33230892430277714,1.4046844576563327
0.215,0.27940320788435863,0.36685911636000423,1.5668112144687836
0.241,0.3591655972686391,0.43567493436231813,1.803967459566135
0.265,0.43839376049290685,0.5237246171256545,2.030304446620528
0.289,0.5428362126508224,0.6328599622407214,2.2060793648929145
0.309,0.6389778229307077,0.7608113178063249,2.324963133418813
0.333,0.7428977241116952,1.0034277730205947,2.5270822625627662
0.354,0.8088488173013777,1.316400363625394,2.846793307344453
0.373,0.8245785706777347,1.6745285105735255,3.21681463690192
0.401,0.746440706225576,2.304267253496859,3.7960751839961877
0.421,0.5738614353188194,2.8444226611187897,4.21512011010514
0.444,0.24602822357212278,3.4609538168324883,4.544745172244806
0.468,-0.24421622717428657,4.011382621058433,4.572896304347312
0.488,-0.572444288798981,4.3622563739409586,4.411538986414578
0.507,-0.7190435835159645,4.553464017186647,4.269577054317752
0.531,-0.7521222133806593,4.657716922061582,4.168508224479352
0.557,-0.6818322275725022,4.665850455022567,4.09127285637228
0.582,-0.5605174993396804,4.608769775544121,3.998376615526297
0.601,-0.44794370260134436,4.537485858221796,3.9121395643644328
0.616,-0.3583746723728152,4.463640904937369,3.830426078338326
0.639,-0.22681552499343915,4.328522240866021,3.6852947259730033
0.68,-0.22658313044348777,4.324087249133644,3.681518783346036
0.699,-0.14678299734126476,4.156148466812306,3.5134899706284393
0.743,0.014652285064684356,3.7330525782526567,3.1051018983331797
0.763,0.06536280977321395,3.511732358332989,2.909998467369476
0.787,0.10921809538666555,3.2266375428005487,2.6698731310179276
0.811,0.1325709767499672,2.9192047326739377,2.4249359882682175
0.857,0.13331413813016899,2.2867052643452634,1.9502684033682798
0.884,0.11231045338378004,1.9015411357637668,1.6849276686414665
0.926,0.07311199528746358,1.3040690577660285,1.2924847352372302
0.976,0.022470241360370874,0.5985907632775144,0.8643557692992587
1.001,0.0011589407886681627,0.25176912981498334,0.6708046974861035
1.035,-0.026745029130009174,-0.21985198601874212,0.42221285500076855
1.126,-0.08750972189549489,-1.4839228435657095,-0.17908487438040577
