raw_line
=== RAM LOG DUMP BEGIN ===
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"121068,0.895548,-0.192083,0.109138,0.386247,-0.515625,-0.760986,0.375732,-0.779773,0.215183,-0.026632,0.000000,0.000000,0.000000"
"121093,0.894511,-0.196967,0.109022,0.386224,-0.538574,-0.758911,0.422729,-0.828776,0.229032,-0.084156,-56.000000,3.000000,21.000000"
"121117,0.893804,-0.200817,0.108805,0.385938,-0.519165,-0.753906,0.415161,-0.566721,0.193878,-0.054328,0.000000,0.000000,0.000000"
"121142,0.893023,-0.205808,0.108352,0.385245,-0.508057,-0.725342,0.415771,-0.784035,0.256729,-0.156594,0.000000,0.000000,0.000000"
"121170,0.891724,-0.213808,0.108053,0.383977,-0.500732,-0.677856,0.498657,-1.319863,0.550742,-0.279099,0.000000,0.000000,0.000000"
"121196,0.890343,-0.220473,0.107687,0.383515,-0.514648,-0.712646,0.493896,-1.194161,0.334493,-0.190682,-53.000000,6.000000,29.000000"
"121218,0.889171,-0.228848,0.108909,0.380976,-0.557129,-0.713135,0.511841,-1.242098,0.898018,-0.461259,0.000000,0.000000,0.000000"
"121244,0.888074,-0.237135,0.113634,0.377065,-0.528076,-0.680542,0.530884,-0.925715,1.578722,-0.547546,0.000000,0.000000,0.000000"
"121264,0.886709,-0.245927,0.115510,0.374063,-0.478638,-0.646973,0.522217,-1.260208,1.082309,-0.506001,0.000000,0.000000,0.000000"
"121299,0.884833,-0.255318,0.117659,0.371536,-0.493896,-0.633179,0.552490,-1.491370,1.090831,-0.495348,-53.000000,5.000000,27.000000"
"121319,0.882934,-0.264932,0.120630,0.368356,-0.481567,-0.596680,0.651855,-1.348625,1.362473,-0.460194,0.000000,0.000000,0.000000"
"121344,0.880757,-0.274493,0.121772,0.366187,-0.453003,-0.572876,0.684082,-1.508414,1.002414,-0.347276,0.000000,0.000000,0.000000"
"121369,0.877571,-0.287341,0.123414,0.363417,-0.477905,-0.558228,0.700195,-2.099636,1.376322,-0.441019,0.000000,0.000000,0.000000"
"121391,0.873848,-0.301804,0.129840,0.358393,-0.452393,-0.487183,0.758179,-2.226403,2.421346,-0.721184,-47.000000,2.000000,33.000000"
"121417,0.871823,-0.311334,0.139018,0.351666,-0.351074,-0.383057,0.868652,-1.051416,2.882605,-0.702009,0.000000,0.000000,0.000000"
"121442,0.869876,-0.317999,0.147194,0.347168,-0.297241,-0.391113,0.878296,-0.658333,2.374475,-0.283360,0.000000,0.000000,0.000000"
"121465,0.867094,-0.324845,0.152058,0.345690,-0.257813,-0.399658,0.892700,-1.051416,1.645833,0.091613,0.000000,0.000000,0.000000"
"121492,0.863675,-0.332426,0.156809,0.344918,-0.245483,-0.378296,0.904053,-1.345429,1.518002,0.076699,-44.000000,-8.000000,35.000000"
"121513,0.860456,-0.340534,0.162628,0.342351,-0.202393,-0.322632,0.942993,-1.217597,1.970739,-0.060720,0.000000,0.000000,0.000000"
"121538,0.857586,-0.347201,0.169748,0.339386,-0.135742,-0.270264,0.970459,-0.845820,2.107093,-0.021305,0.000000,0.000000,0.000000"
"121563,0.855432,-0.351608,0.178275,0.335896,-0.094849,-0.262817,0.985352,-0.291882,2.207228,0.017044,0.000000,0.000000,0.000000"
"121593,0.853524,-0.354474,0.184055,0.334617,-0.043701,-0.320557,0.982788,-0.327036,1.424258,0.173638,-42.000000,-4.000000,35.000000"
"121618,0.852049,-0.355966,0.182935,0.337395,-0.036621,-0.295044,0.959351,-0.606135,-0.099070,0.477238,0.000000,0.000000,0.000000"
"121640,0.850299,-0.357642,0.183523,0.339709,-0.034302,-0.270386,0.988892,-0.529436,0.245011,0.526241,0.000000,0.000000,0.000000"
"121660,0.849100,-0.358871,0.183374,0.341489,0.007080,-0.208984,1.035400,-0.449542,0.103331,0.354733,0.000000,0.000000,0.000000"
"121691,0.848260,-0.359371,0.183450,0.343006,-0.016602,-0.277222,1.030273,-0.306796,0.090547,0.292948,-39.000000,-19.000000,31.000000"
"121720,0.846184,-0.362219,0.182295,0.345744,-0.007324,-0.268921,1.035400,-0.885235,0.010653,0.452737,0.000000,0.000000,0.000000"
"121744,0.845330,-0.363197,0.180822,0.347576,0.052490,-0.179443,1.083496,-0.476173,-0.156594,0.251402,0.000000,0.000000,0.000000"
"121773,0.844112,-0.363965,0.179671,0.350318,0.041138,-0.191772,1.078125,-0.477238,-0.169377,0.462325,0.000000,0.000000,0.000000"
"121799,0.843212,-0.363998,0.178512,0.353033,0.020752,-0.199341,1.064453,-0.376038,-0.262055,0.405866,-37.000000,-8.000000,34.000000"
"121821,0.842556,-0.364147,0.176736,0.355331,-0.004517,-0.235474,1.034790,-0.357929,-0.303600,0.328101,0.000000,0.000000,0.000000"
"121847,0.841316,-0.365382,0.174855,0.357924,-0.003052,-0.200073,1.031616,-0.605070,-0.247141,0.368581,0.000000,0.000000,0.000000"
"121867,0.841916,-0.364582,0.172341,0.358546,-0.002075,-0.189819,1.040405,-0.106526,-0.420779,-0.071373,0.000000,0.000000,0.000000"
"121893,0.843729,-0.362325,0.169759,0.357804,-0.011719,-0.205200,1.006592,0.222640,-0.511327,-0.395213,-36.000000,-7.000000,37.000000"
"121919,0.845215,-0.360793,0.168043,0.356652,-0.063599,-0.259888,0.935669,0.203465,-0.235423,-0.341950,0.000000,0.000000,0.000000"
"121942,0.846691,-0.357332,0.167980,0.356667,-0.016113,-0.223633,0.974609,0.605070,-0.178964,0.037284,0.000000,0.000000,0.000000"
"121967,0.848036,-0.353394,0.168146,0.357317,-0.047607,-0.256714,0.983521,0.673247,-0.213053,0.188552,0.000000,0.000000,0.000000"
"121991,0.849256,-0.351323,0.167981,0.356538,-0.048828,-0.251221,0.926758,0.339819,-0.036219,-0.165116,-38.000000,-22.000000,34.000000"
"122017,0.849699,-0.351906,0.167006,0.355364,-0.050171,-0.234253,0.871094,-0.175769,0.076699,-0.287621,0.000000,0.000000,0.000000"
"122042,0.849626,-0.353228,0.166480,0.354471,-0.051880,-0.205811,0.916504,-0.321710,0.199204,-0.203465,0.000000,0.000000,0.000000"
"122070,0.850227,-0.352864,0.166123,0.353559,-0.061157,-0.250000,0.950562,0.028762,0.089482,-0.181095,0.000000,0.000000,0.000000"
"122096,0.851172,-0.351839,0.166097,0.352318,-0.094971,-0.287964,0.879883,0.158724,0.098004,-0.255663,-39.000000,-19.000000,40.000000"
"122113,0.851841,-0.352356,0.166084,0.350182,-0.145386,-0.331299,0.821167,-0.039415,0.301470,-0.384560,0.000000,0.000000,0.000000"
"122139,0.850999,-0.355648,0.166837,0.348541,-0.128052,-0.305298,0.858643,-0.588026,0.638093,-0.239684,0.000000,0.000000,0.000000"
"122163,0.849732,-0.358846,0.167565,0.348004,-0.045776,-0.142578,1.058716,-0.660464,0.547546,-0.045806,0.000000,0.000000,0.000000"
"122192,0.848781,-0.361167,0.168612,0.347418,-0.059448,-0.199951,0.973999,-0.493217,0.523045,-0.053263,-38.000000,-20.000000,38.000000"
"122217,0.846932,-0.365821,0.169321,0.346716,-0.028564,-0.185059,0.982544,-0.938498,0.680704,-0.075634,0.000000,0.000000,0.000000"
"122240,0.846542,-0.370123,0.167352,0.344048,0.042236,-0.121582,1.117920,-0.893757,0.292948,-0.697748,0.000000,0.000000,0.000000"
"122265,0.845093,-0.375054,0.166581,0.342642,0.120483,0.013550,1.046265,-1.042894,0.474043,-0.350472,0.000000,0.000000,0.000000"
"122290,0.843777,-0.377857,0.166386,0.342900,0.066162,-0.040771,1.031128,-0.727576,0.260990,-0.011718,-36.000000,-5.000000,37.000000"
"122316,0.841667,-0.382434,0.165833,0.343279,0.067383,-0.077393,0.995361,-1.074852,0.377104,0.029827,0.000000,0.000000,0.000000"
"122341,0.838496,-0.387859,0.165616,0.345052,0.108032,0.036255,1.015747,-1.326254,0.413323,0.325971,0.000000,0.000000,0.000000"
"122363,0.835643,-0.390093,0.166398,0.349056,0.102539,0.025513,0.970215,-0.771251,0.176834,0.861799,0.000000,0.000000,0.000000"
"122390,0.832697,-0.391462,0.166415,0.354513,0.075195,-0.031860,0.954224,-0.760599,-0.134223,1.053546,-30.000000,-14.000000,36.000000"
"122415,0.828832,-0.393457,0.166507,0.361255,0.082397,-0.005493,0.962158,-0.947020,-0.133158,1.345429,0.000000,0.000000,0.000000"
"122440,0.826121,-0.393941,0.169650,0.365449,0.060425,0.067139,0.979736,-0.305731,0.419714,1.120658,0.000000,0.000000,0.000000"
"122465,0.824047,-0.393966,0.171675,0.369141,0.072266,0.059448,0.980835,-0.241815,0.221575,0.920388,0.000000,0.000000,0.000000"
"122491,0.823895,-0.392148,0.170662,0.371876,0.069824,0.058716,1.008667,0.001065,-0.414388,0.422910,-29.000000,-16.000000,38.000000"
"122516,0.822785,-0.389558,0.164985,0.379537,0.040161,0.004639,0.976074,-0.438889,-1.580852,0.990696,0.000000,0.000000,0.000000"
"122541,0.821211,-0.387538,0.158969,0.387499,-0.054199,0.051147,0.923584,-0.614658,-1.609614,1.015197,0.000000,0.000000,0.000000"
"122561,0.818915,-0.386407,0.155458,0.394843,-0.081299,0.066895,0.969604,-0.606135,-1.061003,1.131311,0.000000,0.000000,0.000000"
"122588,0.816214,-0.386868,0.152920,0.400929,-0.128174,0.055664,0.993164,-0.803209,-0.675378,0.968325,-22.000000,-20.000000,45.000000"
"122613,0.812296,-0.385570,0.154497,0.409440,-0.057739,0.020996,0.889526,-0.330232,-0.281230,1.854625,0.000000,0.000000,0.000000"
"122638,0.810042,-0.385870,0.159489,0.411702,-0.269409,0.018188,0.949951,-0.003196,0.819188,0.891626,0.000000,0.000000,0.000000"
"122663,0.807783,-0.386614,0.164331,0.413535,-0.187988,0.066406,1.016846,-0.067112,0.871386,0.805340,0.000000,0.000000,0.000000"
"122689,0.806541,-0.386196,0.167248,0.415178,-0.235352,0.048096,1.012207,0.027697,0.439954,0.569916,-19.000000,-20.000000,43.000000"
"122710,0.806435,-0.386621,0.167217,0.415000,-0.245483,-0.026245,0.969238,-0.183225,0.148072,-0.061785,0.000000,0.000000,0.000000"
"122735,0.805952,-0.387338,0.165736,0.415863,-0.219727,0.031860,0.980225,-0.415453,-0.132093,0.012783,0.000000,0.000000,0.000000"
"122755,0.805624,-0.387787,0.167566,0.415346,-0.227173,0.125366,1.047852,-0.042611,0.474043,0.035154,0.000000,0.000000,0.000000"
"122776,0.805564,-0.387388,0.169144,0.415196,-0.212891,0.124634,0.999756,0.082025,0.325971,0.080960,0.000000,0.000000,0.000000"
"122802,0.806222,-0.385272,0.169166,0.415879,-0.278687,-0.001099,0.927368,0.231162,-0.175769,0.076699,-21.000000,-8.000000,43.000000"
"122831,0.807761,-0.382463,0.170679,0.414864,-0.317749,0.041870,0.826050,0.609331,0.118244,-0.131028,0.000000,0.000000,0.000000"
"122860,0.809029,-0.380163,0.170968,0.414389,-0.295044,0.103271,0.850586,0.386691,-0.070307,-0.133158,0.000000,0.000000,0.000000"
"122888,0.809982,-0.377178,0.173082,0.414377,-0.301147,0.119141,0.914917,0.609331,0.144876,0.131028,0.000000,0.000000,0.000000"
"122914,0.810654,-0.374977,0.174594,0.414426,-0.329590,0.075317,0.846924,0.393083,0.117179,0.087352,-20.000000,-25.000000,44.000000"
"122940,0.810232,-0.375200,0.175795,0.414543,-0.335083,0.057617,0.850830,-0.095874,0.300405,0.082025,0.000000,0.000000,0.000000"
"122963,0.808458,-0.377337,0.176285,0.415856,-0.299194,0.142334,0.944092,-0.605070,0.303600,0.270577,0.000000,0.000000,0.000000"
"122995,0.806631,-0.379379,0.175858,0.417723,-0.331421,0.123779,0.971558,-0.708401,0.094809,0.285491,-21.000000,-11.000000,38.000000"
"123015,0.805546,-0.377565,0.177238,0.420865,-0.314087,0.184204,0.867920,0.091613,-0.054328,0.705205,0.000000,0.000000,0.000000"
"123040,0.801676,-0.376261,0.182664,0.427056,-0.274902,0.100952,0.761963,0.034088,0.515588,1.723598,0.000000,0.000000,0.000000"
