t_ms,qw,qx,qy,qz,ax_mps2,ay_mps2,az_mps2,gx_deg,gy_deg,gz_deg,roll_deg,pitch_deg,yaw_deg,ax_lin_mps2,ay_lin_mps2,az_lin_mps2
99820,0.871526,-0.057797,0.035079,0.485665,-0.870590,-0.783171,9.800421,0.061035,0.000000,0.000000,-3.849363,6.735460,58.031616,0.279980,-0.129137,0.080105
99908,0.871187,-0.057878,0.035779,0.486213,-0.863405,-0.784369,9.786050,0.061035,0.183105,-0.061035,-3.814298,6.812622,58.104954,0.300284,-0.136387,0.066891
100009,0.870803,-0.057952,0.036357,0.486850,-0.866997,-0.799937,9.787248,0.061035,0.061035,0.061035,-3.784467,6.877495,58.190037,0.307720,-0.157102,0.069073
100105,0.870405,-0.058021,0.036900,0.487510,-0.864602,-0.792751,9.786050,0.122070,0.122070,0.061035,-3.755838,6.938688,58.278236,0.320516,-0.154856,0.068814
100185,0.870046,-0.058094,0.037552,0.488092,-0.858615,-0.758024,9.782457,0.122070,0.244141,-0.122070,-3.722028,7.010687,58.356392,0.338740,-0.125959,0.066341
100273,0.870112,-0.057988,0.036574,0.488063,-0.856220,-0.778381,9.796828,-0.122070,0.183105,-0.061035,-3.766289,6.906584,58.350456,0.323442,-0.138670,0.079047
100353,0.869734,-0.058102,0.037136,0.488680,-0.853824,-0.775986,9.799223,-0.183105,0.122070,-0.061035,-3.741400,6.971902,58.432926,0.336939,-0.140584,0.082512
100443,0.869379,-0.058208,0.037792,0.489248,-0.849034,-0.768801,9.795630,-0.183105,0.305176,-0.122070,-3.710746,7.046109,58.509258,0.354339,-0.138698,0.080130
100543,0.868994,-0.058300,0.038348,0.489878,-0.839454,-0.775986,9.795630,-0.061035,0.122070,-0.061035,-3.683660,7.109624,58.593597,0.374711,-0.150562,0.081170
100631,0.868618,-0.058397,0.038953,0.490485,-0.846639,-0.789159,9.783655,-0.061035,0.183105,0.000000,-3.654336,7.178226,58.675186,0.379181,-0.168800,0.070333
100707,0.868233,-0.058490,0.039531,0.491108,-0.865800,-0.789159,9.777668,-0.122070,0.122070,0.000000,-3.625990,7.243966,58.758942,0.371187,-0.173695,0.065451
100794,0.867856,-0.058589,0.040123,0.491715,-0.865800,-0.789159,9.780063,-0.122070,0.061035,0.000000,-3.597375,7.311318,58.840599,0.382626,-0.178637,0.068995
100871,0.867917,-0.058492,0.039135,0.491699,-0.880170,-0.780776,9.782457,0.000000,0.000000,0.122070,-3.643581,7.206942,58.835960,0.350528,-0.162280,0.069633
100958,0.867550,-0.058574,0.039760,0.492286,-0.878972,-0.786764,9.790840,0.061035,0.000000,0.000000,-3.611546,7.276496,58.915237,0.363540,-0.173793,0.079170
101039,0.867138,-0.058666,0.040212,0.492964,-0.851429,-0.774789,9.790840,-0.122070,0.183105,-0.122070,-3.589551,7.329734,59.006046,0.400124,-0.165618,0.080092
101132,0.866775,-0.058762,0.040848,0.493538,-0.856220,-0.774789,9.792038,-0.061035,0.122070,-0.061035,-3.558353,7.401075,59.083748,0.407448,-0.171003,0.082522
101244,0.866369,-0.058865,0.041333,0.494198,-0.868195,-0.777184,9.794433,0.000000,0.122070,0.061035,-3.535460,7.458107,59.172512,0.405155,-0.177356,0.085938
101337,0.865975,-0.058947,0.041882,0.494832,-0.849034,-0.771196,9.793235,0.000000,0.061035,0.000000,-3.506954,7.520163,59.258114,0.434850,-0.176283,0.085825
101423,0.865577,-0.059043,0.042403,0.495471,-0.866997,-0.768801,9.794433,-0.061035,0.122070,-0.061035,-3.481369,7.580253,59.344448,0.427087,-0.178305,0.088106
101522,0.865176,-0.059133,0.042940,0.496115,-0.869392,-0.764011,9.799223,-0.061035,0.122070,0.061035,-3.454175,7.641560,59.431499,0.435096,-0.178206,0.094005
101582,0.864795,-0.059229,0.043540,0.496715,-0.851429,-0.789159,9.789642,-0.061035,0.122070,0.000000,-3.424156,7.709246,59.513039,0.464544,-0.208531,0.085663
101676,0.864866,-0.059109,0.042561,0.496690,-0.864602,-0.769999,9.783655,-0.122070,0.122070,-0.061035,-3.468282,7.604610,59.506645,0.433616,-0.181753,0.077743
101755,0.864484,-0.059218,0.043136,0.497293,-0.858615,-0.786764,9.792038,-0.122070,0.122070,-0.061035,-3.441008,7.670589,59.588444,0.450800,-0.203228,0.087347
101843,0.864082,-0.059324,0.043653,0.497934,-0.861010,-0.787961,9.782457,-0.122070,0.122070,0.000000,-3.416331,7.730780,59.675144,0.458617,-0.208688,0.078894
101944,0.863694,-0.059428,0.044253,0.498541,-0.862207,-0.786764,9.793235,-0.122070,0.244141,0.061035,-3.386872,7.798902,59.757866,0.468977,-0.212573,0.090950
102029,0.863304,-0.059523,0.044834,0.499153,-0.862207,-0.783171,9.798025,0.000000,0.122070,0.061035,-3.357492,7.864662,59.841213,0.480131,-0.214045,0.096979
102108,0.862910,-0.059621,0.045399,0.499770,-0.872985,-0.779579,9.787248,0.183105,0.183105,0.061035,-3.329149,7.928956,59.925335,0.480257,-0.215340,0.087429
102194,0.862498,-0.059696,0.045923,0.500424,-0.865800,-0.795147,9.777668,0.244141,0.122070,0.122070,-3.300490,7.987870,60.014385,0.497432,-0.235839,0.078960
102275,0.862573,-0.059551,0.044954,0.500400,-0.849034,-0.771196,9.795630,0.061035,0.122070,-0.061035,-3.342026,7.883000,60.007885,0.496414,-0.204714,0.094858
102373,0.862175,-0.059626,0.045519,0.501027,-0.868195,-0.777184,9.784853,0.244141,0.122070,0.061035,-3.311089,7.945962,60.093391,0.487931,-0.216025,0.085256
102460,0.861777,-0.059714,0.046071,0.501650,-0.852627,-0.755629,9.798025,0.122070,0.183105,0.000000,-3.282332,8.008297,60.178524,0.514068,-0.199423,0.099630
102516,0.861359,-0.059817,0.046537,0.502311,-0.856220,-0.768801,9.793235,-0.244141,0.122070,-0.061035,-3.259398,8.063124,60.268326,0.519770,-0.216552,0.095927
102599,0.860959,-0.059934,0.047080,0.502934,-0.862207,-0.802332,9.786050,-0.183105,0.122070,0.061035,-3.233879,8.126147,60.353371,0.524466,-0.254488,0.090012
102691,0.860578,-0.060026,0.047689,0.503515,-0.863405,-0.789159,9.786050,-0.122070,0.000000,0.000000,-3.202181,8.194166,60.433445,0.534797,-0.246772,0.091365
102770,0.860648,-0.059919,0.046707,0.503500,-0.866997,-0.783171,9.788445,-0.061035,0.061035,0.061035,-3.248584,8.090318,60.427532,0.513603,-0.232790,0.091688
102855,0.860234,-0.059984,0.047234,0.504151,-0.859812,-0.767604,9.786050,0.244141,0.244141,0.000000,-3.218324,8.148972,60.516651,0.530730,-0.222423,0.090418
102937,0.859838,-0.060067,0.047815,0.504761,-0.886157,-0.772394,9.780063,0.183105,0.122070,0.061035,-3.187061,8.213654,60.600548,0.515346,-0.232591,0.085708
103027,0.859451,-0.060151,0.048419,0.505353,-0.875380,-0.759221,9.798025,0.183105,0.122070,0.061035,-3.154598,8.280750,60.682201,0.537493,-0.225002,0.105012
103108,0.859068,-0.060262,0.048998,0.505935,-0.864602,-0.732876,9.789642,-0.122070,0.061035,-0.061035,-3.126202,8.346712,60.762417,0.559446,-0.203550,0.097994
103214,0.858666,-0.060361,0.049511,0.506554,-0.908910,-0.741259,9.780063,0.000000,0.000000,-0.061035,-3.100125,8.405578,60.847527,0.525109,-0.216423,0.089642
103307,0.858269,-0.060448,0.050098,0.507159,-0.911305,-0.725691,9.783655,0.244141,0.122070,0.183105,-3.068513,8.471003,60.931149,0.533795,-0.206290,0.094586
103388,0.857852,-0.060561,0.050551,0.507806,-0.887355,-0.737666,9.789642,-0.305176,0.000000,-0.061035,-3.046854,8.524803,61.019695,0.566855,-0.222000,0.101739
103470,0.857932,-0.060421,0.049552,0.507785,-0.871787,-0.744851,9.804013,-0.427246,-0.061035,-0.122070,-3.091623,8.417562,61.012558,0.564262,-0.221470,0.113813
103546,0.857518,-0.060537,0.050061,0.508421,-0.838257,-0.820294,9.792038,-0.183105,0.183105,0.000000,-3.066959,8.477028,61.099876,0.607863,-0.301164,0.103110
103630,0.857116,-0.060637,0.050633,0.509030,-0.855022,-0.814307,9.783655,0.183105,0.244141,0.061035,-3.037265,8.541641,61.184181,0.602039,-0.300285,0.096091
103700,0.856680,-0.060693,0.051116,0.509709,-0.894540,-0.736469,9.795630,0.305176,0.183105,0.183105,-3.007710,8.595120,61.277691,0.571576,-0.227516,0.109165
103753,0.856761,-0.060636,0.050112,0.509678,-0.851429,-0.804727,9.786050,-0.488281,0.061035,-0.183105,-3.061353,8.492346,61.268608,0.597285,-0.286565,0.097456
103833,0.856372,-0.060788,0.050666,0.510259,-0.840652,-0.843047,9.782457,-0.305176,0.183105,-0.122070,-3.038038,8.558179,61.348862,0.619210,-0.328917,0.095323
103906,0.855969,-0.060875,0.051249,0.510866,-0.855022,-0.826282,9.787248,0.183105,0.122070,0.122070,-3.006227,8.623062,61.433174,0.615824,-0.317617,0.101484
103983,0.855574,-0.060960,0.051833,0.511458,-0.878972,-0.746049,9.780063,0.183105,0.061035,0.061035,-2.974227,8.687837,61.515587,0.602838,-0.242880,0.095686
104065,0.855654,-0.060805,0.050856,0.511441,-0.869392,-0.747246,9.793235,-0.122070,0.061035,-0.061035,-3.016572,8.582142,61.508778,0.594526,-0.236777,0.106519
104149,0.855239,-0.060913,0.051349,0.512074,-0.866997,-0.781974,9.795630,-0.244141,0.061035,-0.061035,-2.991870,8.639424,61.596054,0.606619,-0.275758,0.110160
104218,0.854836,-0.061019,0.051893,0.512679,-0.858615,-0.789159,9.780063,-0.183105,0.061035,-0.061035,-2.964042,8.701496,61.679970,0.625507,-0.287730,0.095946
104285,0.854429,-0.061122,0.052438,0.513289,-0.857417,-0.792751,9.799223,-0.061035,0.122070,0.000000,-2.935694,8.763461,61.764778,0.637191,-0.296197,0.116470
104379,0.854005,-0.061231,0.052894,0.513934,-0.862207,-0.779579,9.794433,0.061035,0.183105,0.000000,-2.912755,8.817142,61.853851,0.641484,-0.286972,0.112885
104449,0.854085,-0.061105,0.051916,0.513916,-0.862207,-0.766406,9.783655,-0.183105,0.122070,-0.061035,-2.958496,8.713139,61.846504,0.623885,-0.265931,0.099793
104533,0.853656,-0.061220,0.052355,0.514570,-0.868195,-0.787961,9.780063,-0.122070,0.061035,0.061035,-2.937159,8.765452,61.936607,0.626751,-0.291162,0.097375
104625,0.853246,-0.061316,0.052896,0.515183,-0.865800,-0.781974,9.788445,0.000000,0.122070,0.000000,-2.908032,8.826571,62.022034,0.639487,-0.290178,0.107102
104707,0.852859,-0.061413,0.053504,0.515750,-0.865800,-0.784369,9.799223,0.000000,0.061035,0.000000,-2.875610,8.894198,62.101624,0.650928,-0.298141,0.119385
104801,0.852465,-0.061511,0.054103,0.516327,-0.859812,-0.792751,9.790840,0.000000,0.122070,0.000000,-2.843518,8.960938,62.182602,0.668204,-0.312033,0.112504
104883,0.852039,-0.061601,0.054583,0.516968,-0.866997,-0.791554,9.795630,-0.061035,0.061035,-0.061035,-2.816920,9.015668,62.271786,0.670275,-0.315400,0.118532
104973,0.852118,-0.061498,0.053606,0.516952,-0.864602,-0.793949,9.793235,-0.061035,0.122070,0.000000,-2.865230,8.913344,62.264278,0.655364,-0.309500,0.113818
105048,0.851708,-0.061583,0.054157,0.517559,-0.870590,-0.790356,9.795630,0.061035,0.122070,-0.061035,-2.834323,8.974663,62.349266,0.659748,-0.311209,0.117582
105136,0.851280,-0.061679,0.054624,0.518203,-0.863405,-0.780776,9.786050,-0.061035,0.122070,-0.061035,-2.808930,9.028481,62.438839,0.676034,-0.305989,0.109231
105212,0.850870,-0.061780,0.055167,0.518807,-0.858615,-0.799937,9.781260,-0.061035,0.061035,0.000000,-2.779989,9.089863,62.523411,0.691202,-0.330118,0.105855
105308,0.850460,-0.061875,0.055712,0.519409,-0.865800,-0.783171,9.789642,0.000000,0.061035,0.000000,-2.750090,9.151122,62.608009,0.694373,-0.318481,0.115653
105383,0.850027,-0.061962,0.056182,0.520057,-0.868195,-0.780776,9.789642,0.061035,0.122070,0.000000,-2.723459,9.204542,62.698330,0.701008,-0.320652,0.116898
105459,0.850105,-0.061858,0.055213,0.520045,-0.871787,-0.802332,9.781260,0.122070,0.122070,0.061035,-2.771590,9.103069,62.691021,0.680262,-0.333948,0.106146
105540,0.849693,-0.061947,0.055772,0.520647,-0.852627,-0.784369,9.790840,0.061035,0.183105,0.000000,-2.740211,9.165350,62.775902,0.709951,-0.321365,0.117159
