t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_raw,ay_raw,az_raw,gx_rad_s,gy_rad_s,gz_rad_s,mx_uT,my_uT,mz_uT
23369.0,2025-12-11T10:10:39.100694,0.068022,0.977026,-0.016126,0.166891,0.131561,-0.187012,0.089355,0.991089,1.112136,0.324906,-0.527306,0.000000,0.000000,0.000000
23386.0,2025-12-11T10:10:39.115629,0.082958,0.978193,-0.013177,0.167106,0.122638,-0.179443,-0.117920,0.918945,1.010936,0.093743,-1.631985,0.000000,0.000000,0.000000
23413.0,2025-12-11T10:10:39.159761,0.127090,0.979618,-0.019341,0.171030,0.103549,-0.195312,-0.219971,0.791260,-0.372843,0.773382,-3.882889,-27.000000,18.000000,50.000000
23430.0,2025-12-11T10:10:39.189571,0.156900,0.980895,-0.028765,0.176365,0.076891,-0.059937,0.106201,1.094238,-0.877778,1.479652,-5.572398,0.000000,0.000000,0.000000
23455.0,2025-12-11T10:10:39.189571,0.156900,0.981926,-0.038950,0.180153,0.042993,0.110229,-0.033203,1.150269,-0.739293,1.246359,-6.999852,0.000000,0.000000,0.000000
23478.0,2025-12-11T10:10:39.204543,0.171871,0.982784,-0.041911,0.179940,-0.000678,0.467529,-0.044067,1.080322,0.991761,0.479369,-8.687231,0.000000,0.000000,0.000000
23503.0,2025-12-11T10:10:39.232901,0.200230,0.983683,-0.023730,0.169390,-0.055782,0.359009,0.302612,0.783691,5.411543,-1.542503,-10.301107,-32.000000,25.000000,52.000000
23528.0,2025-12-11T10:10:39.264530,0.231859,0.981039,-0.015650,0.181233,-0.066871,0.065186,-0.101929,1.212646,1.826928,2.750513,-1.865278,0.000000,0.000000,0.000000
23551.0,2025-12-11T10:10:39.280113,0.247442,0.979861,-0.004953,0.182155,-0.081658,0.340820,-0.325073,0.947388,2.685532,0.586961,-2.490588,0.000000,0.000000,0.000000
23572.0,2025-12-11T10:10:39.305959,0.273288,0.980153,0.002188,0.177845,-0.087557,0.091064,-0.424805,0.746094,1.819471,-0.604005,-0.838363,0.000000,0.000000,0.000000
23593.0,2025-12-11T10:10:39.324878,0.292206,0.980378,0.001548,0.178032,-0.084622,0.099243,-0.064453,0.814697,-0.214118,0.205596,0.568851,0.000000,0.000000,0.000000
23620.0,2025-12-11T10:10:39.355944,0.323273,0.980152,-0.001674,0.181851,-0.078927,0.282837,-0.072876,0.936035,-0.972586,0.874582,1.043959,-39.000000,25.000000,50.000000
23640.0,2025-12-11T10:10:39.370333,0.337662,0.979318,-0.016995,0.189630,-0.068471,0.113281,-0.206543,0.928467,-3.440804,1.484978,1.512675,0.000000,0.000000,0.000000
23665.0,2025-12-11T10:10:39.399583,0.366912,0.978046,-0.035439,0.198010,-0.054428,0.030396,-0.206421,1.048828,-4.208859,1.567004,2.095375,0.000000,0.000000,0.000000
23688.0,2025-12-11T10:10:39.415737,0.383066,0.976795,-0.048835,0.204715,-0.039731,0.102783,-0.128784,1.034546,-3.274623,1.295362,2.400041,0.000000,0.000000,0.000000
23712.0,2025-12-11T10:10:39.446113,0.413442,0.976170,-0.063437,0.205244,-0.030690,0.151245,-0.047363,0.657593,-3.298059,0.098004,1.177117,-29.000000,10.000000,57.000000
23735.0,2025-12-11T10:10:39.461017,0.428346,0.974941,-0.068168,0.209744,-0.029179,0.036011,0.363770,0.702637,-1.174987,0.987500,0.102265,0.000000,0.000000,0.000000
23760.0,2025-12-11T10:10:39.489418,0.456747,0.973936,-0.069765,0.214029,-0.027823,0.381348,0.303589,0.959595,-0.495348,1.006675,0.235423,0.000000,0.000000,0.000000
23784.0,2025-12-11T10:10:39.520357,0.487686,0.973277,-0.071557,0.215593,-0.033621,0.516357,0.113403,0.884766,-0.167247,0.576308,-1.181378,0.000000,0.000000,0.000000
23809.0,2025-12-11T10:10:39.549437,0.516766,0.972160,-0.076840,0.218779,-0.033700,0.166382,0.368042,0.872070,-1.226119,0.717988,-0.250337,-32.000000,11.000000,54.000000
23832.0,2025-12-11T10:10:39.565078,0.532406,0.971274,-0.082283,0.220954,-0.032179,0.512451,0.692627,1.055298,-1.269795,0.534763,0.054328,0.000000,0.000000,0.000000
23854.0,2025-12-11T10:10:39.580380,0.547709,0.971901,-0.082055,0.217464,-0.037204,0.369751,0.751343,0.990723,0.167247,-0.503870,-1.058873,0.000000,0.000000,0.000000
23877.0,2025-12-11T10:10:39.604676,0.572005,0.973112,-0.076597,0.212406,-0.045498,0.354736,0.622925,0.874512,1.350755,-0.736098,-1.483913,0.000000,0.000000,0.000000
23901.0,2025-12-11T10:10:39.623075,0.590404,0.973478,-0.072789,0.211236,-0.049203,0.232544,0.231689,0.712158,0.761664,-0.049002,-0.605070,-37.000000,10.000000,52.000000
