t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_raw,ay_raw,az_raw,gx_rad_s,gy_rad_s,gz_rad_s,mx_uT,my_uT,mz_uT
466985.0,2025-12-08T03:45:41.382766,0.066218,0.473963,-0.013379,0.015825,-0.880301,0.008545,-0.040649,1.004272,-0.001065,0.003196,-0.001065,0.000000,0.000000,0.000000
467003.0,2025-12-08T03:45:41.394305,0.077757,0.473950,-0.014114,0.016496,-0.880284,0.009277,-0.042603,1.002686,0.000000,0.002131,0.000000,0.000000,0.000000,0.000000
467033.0,2025-12-08T03:45:41.426682,0.110134,0.474113,-0.014182,0.016376,-0.880197,0.009033,-0.042358,1.003418,0.000000,0.002131,-0.001065,-10.000000,20.000000,18.000000
467055.0,2025-12-08T03:45:41.441867,0.125319,0.474125,-0.013270,0.015976,-0.880213,0.009033,-0.041870,1.003662,-0.003196,0.003196,-0.001065,0.000000,0.000000,0.000000
467076.0,2025-12-08T03:45:41.472475,0.155927,0.474100,-0.014264,0.016047,-0.880209,0.009521,-0.041626,1.002319,-0.002131,0.002131,-0.001065,0.000000,0.000000,0.000000
467105.0,2025-12-08T03:45:41.502460,0.185912,0.474080,-0.015072,0.016638,-0.880195,0.010132,-0.042358,1.004150,-0.002131,0.003196,-0.001065,0.000000,0.000000,0.000000
467129.0,2025-12-08T03:45:41.512463,0.195915,0.474032,-0.015035,0.016692,-0.880221,0.009888,-0.042603,1.003296,-0.001065,0.002131,0.000000,-12.000000,16.000000,20.000000
467153.0,2025-12-08T03:45:41.544777,0.228229,0.474052,-0.014156,0.016213,-0.880234,0.009033,-0.041260,1.004761,-0.001065,0.002131,0.001065,0.000000,0.000000,0.000000
467176.0,2025-12-08T03:45:41.577312,0.260765,0.474067,-0.013339,0.016809,-0.880227,0.009155,-0.042236,1.004150,-0.001065,0.002131,-0.001065,0.000000,0.000000,0.000000
467201.0,2025-12-08T03:45:41.591460,0.274912,0.474045,-0.014299,0.016593,-0.880228,0.010498,-0.043213,1.003052,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000
467225.0,2025-12-08T03:45:41.622979,0.306432,0.474076,-0.014301,0.016571,-0.880212,0.008911,-0.040771,1.004395,-0.001065,0.002131,-0.001065,-12.000000,19.000000,17.000000
467248.0,2025-12-08T03:45:41.636383,0.319835,0.474075,-0.014072,0.015601,-0.880234,0.010010,-0.041138,1.003784,0.000000,0.002131,0.000000,0.000000,0.000000,0.000000
467270.0,2025-12-08T03:45:41.664989,0.348441,0.474077,-0.014215,0.016599,-0.880212,0.009766,-0.041748,1.004028,-0.001065,0.002131,0.000000,0.000000,0.000000,0.000000
467288.0,2025-12-08T03:45:41.682624,0.366076,0.474058,-0.014900,0.015891,-0.880224,0.010376,-0.042603,1.004395,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000
467315.0,2025-12-08T03:45:41.712672,0.396124,0.473964,-0.014844,0.015981,-0.880274,0.010010,-0.041992,1.004639,0.000000,0.002131,0.000000,-14.000000,17.000000,20.000000
467335.0,2025-12-08T03:45:41.727444,0.410896,0.473979,-0.014018,0.016564,-0.880269,0.009277,-0.042603,1.003540,-0.001065,0.002131,-0.001065,0.000000,0.000000,0.000000
467359.0,2025-12-08T03:45:41.757350,0.440803,0.473982,-0.013631,0.015650,-0.880290,0.009155,-0.041504,1.005005,-0.001065,0.002131,0.000000,0.000000,0.000000,0.000000
467382.0,2025-12-08T03:45:41.773001,0.456454,0.473989,-0.013473,0.016651,-0.880270,0.008301,-0.041870,1.003662,-0.001065,0.003196,0.000000,0.000000,0.000000,0.000000
467406.0,2025-12-08T03:45:41.802539,0.485992,0.473969,-0.014263,0.016076,-0.880279,0.009155,-0.042114,1.003784,-0.002131,0.004261,0.000000,0.000000,0.000000,0.000000
467434.0,2025-12-08T03:45:41.832470,0.515922,0.473985,-0.014258,0.016079,-0.880271,0.008789,-0.041504,1.003784,-0.002131,0.002131,0.001065,-12.000000,18.000000,23.000000
467460.0,2025-12-08T03:45:41.862159,0.545611,0.474009,-0.013265,0.015929,-0.880276,0.009277,-0.041504,1.002808,-0.001065,0.002131,0.001065,0.000000,0.000000,0.000000
