t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2
8804.0,2025-12-11T18:01:08.615135,0.059644,0.990485,-0.135597,0.000650,0.023493,0.821176,3.603590,0.692462
8830.0,2025-12-11T18:01:08.645261,0.089771,0.990667,-0.134334,0.001319,0.023056,1.052787,3.021180,0.584010
8855.0,2025-12-11T18:01:08.661000,0.105510,0.990844,-0.133388,0.002247,0.020737,1.212836,2.197011,0.442589
8880.0,2025-12-11T18:01:08.690267,0.134777,0.990955,-0.133017,0.003258,0.017424,1.091978,2.455734,0.058754
8905.0,2025-12-11T18:01:08.719835,0.164345,0.990676,-0.135458,0.005032,0.013633,1.094445,2.772863,-0.738811
8932.0,2025-12-11T18:01:08.749627,0.194137,0.990162,-0.139277,0.008025,0.010813,1.114715,3.014192,-0.657584
8957.0,2025-12-11T18:01:08.766939,0.211449,0.989953,-0.140937,0.010341,0.004826,1.587739,3.687242,-0.121917
8977.0,2025-12-11T18:01:08.778772,0.223282,0.989835,-0.141652,0.012544,-0.002044,1.973125,3.281962,0.480594
9006.0,2025-12-11T18:01:08.800579,0.245089,0.989551,-0.143256,0.014692,-0.007056,2.153891,2.046888,0.803262
9036.0,2025-12-11T18:01:08.833249,0.277758,0.989523,-0.143348,0.015528,-0.007449,0.954724,1.495564,-0.019617
9065.0,2025-12-11T18:01:08.870366,0.314876,0.990297,-0.138294,0.011881,-0.006768,0.465149,2.226339,-0.266255
9092.0,2025-12-11T18:01:08.899513,0.344022,0.991237,-0.131842,0.005374,-0.006118,1.483786,3.358660,0.302087
9115.0,2025-12-11T18:01:08.928774,0.373284,0.991833,-0.127427,-0.001321,-0.005245,2.129868,3.050779,0.705412
9144.0,2025-12-11T18:01:08.956273,0.400782,0.991994,-0.126176,-0.004155,-0.003159,1.645309,2.462674,0.755773
9173.0,2025-12-11T18:01:08.987360,0.431870,0.992204,-0.124463,-0.006034,-0.001988,0.529130,1.392827,0.399250
9195.0,2025-12-11T18:01:09.002066,0.446576,0.992273,-0.123772,-0.008506,-0.001350,0.156837,1.693307,0.105596
9220.0,2025-12-11T18:01:09.032088,0.476598,0.992366,-0.122866,-0.010636,-0.001131,0.551799,2.087816,0.290020
9248.0,2025-12-11T18:01:09.080695,0.525205,0.992379,-0.122757,-0.010696,-0.000843,1.208769,2.637842,0.803251
9278.0,2025-12-11T18:01:09.091190,0.535700,0.992550,-0.121359,-0.010669,-0.001820,0.913569,2.752139,0.730686
9305.0,2025-12-11T18:01:09.097939,0.542449,0.992643,-0.120599,-0.010495,-0.002577,0.584662,2.018898,0.469538
9335.0,2025-12-11T18:01:09.132280,0.576790,0.992664,-0.120471,-0.009910,-0.002608,0.300186,1.482393,0.019634
9358.0,2025-12-11T18:01:09.171175,0.615685,0.992886,-0.118613,-0.009838,-0.003479,0.313997,1.471706,-0.031022
9383.0,2025-12-11T18:01:09.197729,0.642239,0.993022,-0.117524,-0.009145,-0.003406,0.339679,1.541877,-0.048301
9409.0,2025-12-11T18:01:09.216370,0.660880,0.993241,-0.115824,-0.007039,-0.002878,0.239484,1.672324,-0.332181
9437.0,2025-12-11T18:01:09.242440,0.686950,0.993211,-0.116249,-0.004176,-0.000955,1.024148,1.345549,0.227161
9466.0,2025-12-11T18:01:09.273337,0.717847,0.993382,-0.114748,-0.005067,0.000222,0.567551,1.852085,-0.480018
9490.0,2025-12-11T18:01:09.306001,0.750511,0.993509,-0.113651,-0.004712,-0.000468,1.038753,1.699188,-0.165271
9517.0,2025-12-11T18:01:09.313475,0.757985,0.993574,-0.113100,-0.004070,-0.001778,1.480663,2.274069,0.240517
9545.0,2025-12-11T18:01:09.350352,0.794862,0.993552,-0.113304,-0.003806,-0.001099,1.438220,2.039765,0.262941
9569.0,2025-12-11T18:01:09.380209,0.824719,0.993789,-0.111140,-0.005574,-0.000976,1.208855,1.152633,0.089679
9598.0,2025-12-11T18:01:09.403124,0.847634,0.994082,-0.108354,-0.007721,-0.000711,1.013071,1.417458,-0.154079
9627.0,2025-12-11T18:01:09.436478,0.880988,0.994202,-0.107153,-0.008930,-0.000858,0.993966,2.740244,0.298685
9654.0,2025-12-11T18:01:09.471841,0.916351,0.994219,-0.106962,-0.009189,-0.001996,1.390100,2.476499,1.198506
9678.0,2025-12-11T18:01:09.483729,0.928239,0.994138,-0.107743,-0.008603,-0.002648,1.086371,1.988511,1.631496
9707.0,2025-12-11T18:01:09.513857,0.958367,0.994032,-0.108730,-0.008181,-0.003435,0.510901,1.412280,1.639145
9737.0,2025-12-11T18:01:09.575922,1.020432,0.993981,-0.109141,-0.008840,-0.003444,0.137563,2.136239,1.205223
9766.0,2025-12-11T18:01:09.575922,1.020432,0.994011,-0.108695,-0.010423,-0.004395,0.760922,1.303424,0.918911
9790.0,2025-12-11T18:01:09.607028,1.051538,0.994131,-0.107449,-0.011244,-0.005618,1.104077,0.788051,1.046897
9819.0,2025-12-11T18:01:09.635125,1.079635,0.994312,-0.105559,-0.012041,-0.007432,0.407150,1.347411,0.310080
9848.0,2025-12-11T18:01:09.665124,1.109634,0.994246,-0.106015,-0.012344,-0.009075,-0.148308,3.105290,0.001963
9877.0,2025-12-11T18:01:09.729509,1.174019,0.994416,-0.104344,-0.011608,-0.010723,0.502403,2.228543,0.816211
9902.0,2025-12-11T18:01:09.729509,1.174019,0.994582,-0.102583,-0.009417,-0.013942,1.334169,1.042395,1.503914
9929.0,2025-12-11T18:01:09.729509,1.174019,0.994639,-0.101815,-0.007375,-0.016522,1.122363,1.312710,1.121748
9955.0,2025-12-11T18:01:09.799886,1.244396,0.994679,-0.101027,-0.006560,-0.019111,0.659174,1.132074,-0.031225
9983.0,2025-12-11T18:01:09.799886,1.244396,0.994709,-0.100322,-0.006235,-0.021215,1.126275,1.932553,-0.562193
10004.0,2025-12-11T18:01:09.858900,1.303410,0.994714,-0.099564,-0.007068,-0.024090,1.026870,1.532622,-0.848757
10039.0,2025-12-11T18:01:09.861153,1.305663,0.994636,-0.099601,-0.006561,-0.027142,1.283486,1.578549,-0.707441
10060.0,2025-12-11T18:01:09.916117,1.360627,0.994615,-0.098722,-0.006248,-0.030926,0.937841,0.841353,-0.423538
10087.0,2025-12-11T18:01:09.916117,1.360627,0.994463,-0.098763,-0.005090,-0.035552,0.631724,0.803774,-0.496684
10116.0,2025-12-11T18:01:09.916117,1.360627,0.994201,-0.099074,-0.003081,-0.041697,1.845518,1.569589,0.413110
10145.0,2025-12-11T18:01:09.978083,1.422593,0.993696,-0.101558,0.000807,-0.047468,1.871888,1.930460,0.165251
10173.0,2025-12-11T18:01:09.981220,1.425730,0.993192,-0.103551,0.003715,-0.053222,1.190507,1.451699,-0.222849
10202.0,2025-12-11T18:01:10.030518,1.475028,0.992648,-0.106134,0.006389,-0.057831,1.748772,1.185731,-0.004520
10228.0,2025-12-11T18:01:10.030518,1.475028,0.992269,-0.108781,0.008173,-0.059174,2.229045,1.709346,-0.140142
10252.0,2025-12-11T18:01:10.098496,1.543006,0.992076,-0.109597,0.008039,-0.060898,2.224154,1.912932,-0.412119
10276.0,2025-12-11T18:01:10.101334,1.545844,0.991834,-0.110728,0.007589,-0.062831,2.262498,2.392812,-0.434911
10301.0,2025-12-11T18:01:10.161083,1.605593,0.991473,-0.112859,0.006767,-0.064799,2.265825,2.661473,-0.531172
10329.0,2025-12-11T18:01:10.161083,1.605593,0.990999,-0.115323,0.007942,-0.067522,2.672096,2.122258,0.301689
10354.0,2025-12-11T18:01:10.161083,1.605593,0.990611,-0.116075,0.008571,-0.071718,2.552756,2.138743,0.686117
10378.0,2025-12-11T18:01:10.216091,1.660600,0.990390,-0.116143,0.007611,-0.074701,1.282965,1.656052,0.125685
10407.0,2025-12-11T18:01:10.216091,1.660600,0.990088,-0.116642,0.005672,-0.078024,1.380614,1.805084,-0.324003
10436.0,2025-12-11T18:01:10.280313,1.724823,0.989870,-0.118286,0.005622,-0.078325,2.494867,1.867613,0.755335
10457.0,2025-12-11T18:01:10.280313,1.724823,0.989490,-0.122684,0.008287,-0.076092,2.048220,-0.119433,0.861879
10483.0,2025-12-11T18:01:10.340677,1.785186,0.989531,-0.122997,0.009169,-0.074939,2.637681,3.955778,0.296067
10509.0,2025-12-11T18:01:10.340677,1.785186,0.989648,-0.123244,0.007390,-0.073168,1.275440,3.444268,-1.424132
10539.0,2025-12-11T18:01:10.397271,1.841780,0.989547,-0.125571,0.007250,-0.070537,2.015925,2.498274,-0.196147
10565.0,2025-12-11T18:01:10.397271,1.841780,0.989517,-0.126208,0.006311,-0.069907,2.140864,2.676854,0.398323
10590.0,2025-12-11T18:01:10.397271,1.841780,0.989755,-0.123660,0.003843,-0.071257,1.432160,3.313242,-0.231378
10607.0,2025-12-11T18:01:10.460675,1.905185,0.990269,-0.117973,0.000377,-0.073826,1.212380,2.599212,-0.340059
10639.0,2025-12-11T18:01:10.460675,1.905185,0.990881,-0.111152,-0.002733,-0.076108,1.343650,2.320899,-0.050844
10660.0,2025-12-11T18:01:10.519911,1.964421,0.991112,-0.108618,-0.005399,-0.076618,1.748335,0.880170,0.590100
10687.0,2025-12-11T18:01:10.519911,1.964421,0.991253,-0.108078,-0.004081,-0.075631,1.351740,2.018055,0.133704
10714.0,2025-12-11T18:01:10.521926,1.966436,0.991591,-0.107049,-0.003749,-0.072617,1.818697,2.151544,-0.152105
10743.0,2025-12-11T18:01:10.578095,2.022605,0.991562,-0.107331,-0.007282,-0.072334,3.482964,1.843016,0.113298
10768.0,2025-12-11T18:01:10.581118,2.025627,0.991379,-0.108389,-0.008683,-0.073099,2.494594,1.521005,0.239162
