t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2
137183.0,2025-12-11T18:03:17.004357,1.175545,0.863031,-0.012020,0.003822,0.504994,-0.448467,-0.324113,-1.617110
137208.0,2025-12-11T18:03:17.063656,1.234845,0.862655,-0.012626,0.004088,0.505619,-0.678531,-0.314242,-2.156852
137233.0,2025-12-11T18:03:17.064658,1.235846,0.862669,-0.014255,0.004834,0.505544,-0.365960,-0.874848,-2.104370
137255.0,2025-12-11T18:03:17.065032,1.236220,0.863026,-0.014882,0.005122,0.504914,0.577847,-0.751963,-0.363974
137283.0,2025-12-11T18:03:17.124196,1.295384,0.862965,-0.015689,0.005312,0.504992,0.539983,0.051346,0.092801
137309.0,2025-12-11T18:03:17.125195,1.296384,0.863051,-0.015928,0.004026,0.504850,0.412754,0.693262,0.228031
137333.0,2025-12-11T18:03:17.182187,1.353375,0.863133,-0.016608,0.002787,0.504696,0.580486,0.911097,0.474987
137357.0,2025-12-11T18:03:17.183171,1.354359,0.863409,-0.016989,0.001156,0.504218,0.504989,0.677518,-0.365541
137387.0,2025-12-11T18:03:17.242655,1.413843,0.863663,-0.018506,0.001394,0.503728,-0.230574,1.270989,-1.487734
137414.0,2025-12-11T18:03:17.243650,1.414839,0.863917,-0.019739,0.002728,0.503241,-0.255844,1.320732,-1.041229
137436.0,2025-12-11T18:03:17.244653,1.415842,0.864074,-0.021365,0.004626,0.502890,-0.230483,0.744076,-0.699550
137463.0,2025-12-11T18:03:17.302672,1.473861,0.864291,-0.022644,0.007574,0.502426,-0.024380,0.370392,-0.370821
137493.0,2025-12-11T18:03:17.303575,1.474764,0.863961,-0.025045,0.010465,0.502827,0.671159,0.614678,0.680270
137521.0,2025-12-11T18:03:17.362710,1.533899,0.863880,-0.025994,0.012116,0.502880,1.221047,1.142539,1.790846
137548.0,2025-12-11T18:03:17.363709,1.534898,0.863751,-0.026674,0.012737,0.503052,1.324561,1.034045,1.452957
137572.0,2025-12-11T18:03:17.423015,1.594204,0.863520,-0.027633,0.013237,0.503384,1.105525,1.060730,0.592027
137602.0,2025-12-11T18:03:17.423966,1.595155,0.862760,-0.028766,0.014269,0.504593,1.841188,1.090514,1.539869
137630.0,2025-12-11T18:03:17.482475,1.653663,0.862476,-0.028488,0.012782,0.505134,1.945227,0.514646,0.438255
137650.0,2025-12-11T18:03:17.483728,1.654916,0.862463,-0.028655,0.010790,0.505193,1.610234,0.430636,-0.215121
137680.0,2025-12-11T18:03:17.483728,1.654916,0.862109,-0.029819,0.009658,0.505752,1.556178,0.531890,0.354578
137709.0,2025-12-11T18:03:17.543330,1.714519,0.862048,-0.028967,0.007309,0.505945,1.771543,1.219710,2.382594
137735.0,2025-12-11T18:03:17.544270,1.715458,0.862330,-0.027862,0.004084,0.505564,1.837562,0.926659,2.276457
137764.0,2025-12-11T18:03:17.602976,1.774165,0.862895,-0.025785,0.002196,0.504721,0.572739,1.950006,1.743540
137794.0,2025-12-11T18:03:17.602976,1.774165,0.862953,-0.023884,0.002437,0.504714,0.349621,2.013666,1.285459
137822.0,2025-12-11T18:03:17.663081,1.834270,0.863176,-0.021488,0.003033,0.504437,0.401751,1.320640,0.901383
137847.0,2025-12-11T18:03:17.663081,1.834270,0.863381,-0.019355,0.003527,0.504169,0.454781,1.175541,1.006316
137873.0,2025-12-11T18:03:17.724564,1.895752,0.863356,-0.017600,0.003888,0.504273,0.219634,1.136234,0.909296
137903.0,2025-12-11T18:03:17.725526,1.896714,0.862702,-0.017419,0.005097,0.505386,-0.077513,0.900536,0.183696
137925.0,2025-12-11T18:03:17.782521,1.953710,0.862675,-0.015359,0.006719,0.505481,0.850431,0.226867,1.214999
137952.0,2025-12-11T18:03:17.783738,1.954927,0.862779,-0.012630,0.008278,0.505355,1.028169,0.371230,1.470226
137981.0,2025-12-11T18:03:17.783738,1.954927,0.862234,-0.011280,0.009453,0.506297,0.792891,0.557964,0.411402
138010.0,2025-12-11T18:03:17.842833,2.014021,0.861764,-0.009729,0.008407,0.507146,1.270000,0.344293,0.555297
138038.0,2025-12-11T18:03:17.843830,2.015019,0.861684,-0.008452,0.006087,0.507339,1.030081,-0.455386,-0.676860
138067.0,2025-12-11T18:03:17.903948,2.075136,0.861744,-0.007177,0.004154,0.507276,0.515283,-0.153502,-0.951869
138096.0,2025-12-11T18:03:17.963023,2.134211,0.861332,-0.006702,0.003490,0.507986,0.249123,0.534717,-0.655114
138116.0,2025-12-11T18:03:17.963023,2.134211,0.861182,-0.005196,0.003169,0.508261,0.026330,0.645372,-0.679459
138145.0,2025-12-11T18:03:17.964025,2.135213,0.861102,-0.003168,0.004127,0.508405,-0.033997,0.503327,-0.769469
138173.0,2025-12-11T18:03:18.022711,2.193900,0.861211,-0.001000,0.005312,0.508219,0.389525,-0.021706,-0.004217
138200.0,2025-12-11T18:03:18.022711,2.193900,0.861112,0.000167,0.006404,0.508375,0.629839,-0.225958,0.423524
138228.0,2025-12-11T18:03:18.082286,2.253474,0.861181,0.001625,0.004985,0.508272,0.193752,0.028212,-0.388653
138254.0,2025-12-11T18:03:18.083288,2.254476,0.861234,0.001834,0.003813,0.508191,0.004224,-0.052248,-0.903770
138283.0,2025-12-11T18:03:18.142404,2.313592,0.861073,0.002947,0.005264,0.508445,-0.081771,0.009066,-0.957292
138311.0,2025-12-11T18:03:18.143462,2.314651,0.861166,0.004926,0.005235,0.508273,0.106382,-0.004912,-0.576186
138334.0,2025-12-11T18:03:18.143462,2.314651,0.861054,0.004842,0.005236,0.508463,-0.055645,-0.044225,-1.195316
138358.0,2025-12-11T18:03:18.202572,2.373761,0.860860,0.004634,0.006199,0.508783,-0.391819,-0.106616,-2.074109
138388.0,2025-12-11T18:03:18.203592,2.374781,0.860480,0.005549,0.008238,0.509386,0.014166,-0.482587,-1.890128
138412.0,2025-12-11T18:03:18.322371,2.493559,0.860632,0.006037,0.009172,0.509109,0.288569,-0.868942,-1.676544
138441.0,2025-12-11T18:03:18.322371,2.493559,0.860736,0.005218,0.008387,0.508955,0.117076,-0.852052,-1.411147
138469.0,2025-12-11T18:03:18.382748,2.553937,0.860689,0.003493,0.006585,0.509077,0.241569,-0.931890,-1.350899
138495.0,2025-12-11T18:03:18.383757,2.554945,0.860645,0.003008,0.006475,0.509155,0.345131,-0.757346,-0.802529
138544.0,2025-12-11T18:03:18.384690,2.555879,0.861428,0.000946,0.005405,0.507850,0.108261,-0.249472,-0.346688
138569.0,2025-12-11T18:03:18.384690,2.555879,0.861654,0.000229,0.003979,0.507480,0.332024,-0.257846,0.256579
138596.0,2025-12-11T18:03:18.443805,2.614993,0.861695,-0.000478,0.003297,0.507415,0.145519,-0.367222,-0.260840
138622.0,2025-12-11T18:03:18.444698,2.615886,0.862085,-0.001776,0.002797,0.506754,-0.173329,-0.083993,-0.567404
138650.0,2025-12-11T18:03:18.502511,2.673700,0.862263,-0.002446,0.003430,0.506444,-0.194288,0.135436,-0.219994
138672.0,2025-12-11T18:03:18.503440,2.674628,0.862310,-0.004141,0.001866,0.506361,0.015228,-0.086195,-0.263048
138700.0,2025-12-11T18:03:18.504444,2.675632,0.862001,-0.005433,0.001397,0.506876,-0.066051,0.105540,-0.338278
138729.0,2025-12-11T18:03:18.563753,2.734942,0.861914,-0.004970,0.001851,0.507026,0.114268,0.479973,0.158621
138757.0,2025-12-11T18:03:18.563753,2.734942,0.861903,-0.005882,0.001481,0.507037,0.102721,-0.266127,-0.351345
138785.0,2025-12-11T18:03:18.625449,2.796638,0.861758,-0.006802,0.003058,0.507264,0.053534,-0.156117,-0.347384
138814.0,2025-12-11T18:03:18.626383,2.797572,0.861788,-0.007535,0.003261,0.507202,0.251074,0.062616,0.250404
138842.0,2025-12-11T18:03:18.688586,2.859774,0.861719,-0.008904,0.002941,0.507299,0.602973,0.000311,0.660355
138870.0,2025-12-11T18:03:18.689598,2.860786,0.861800,-0.009569,0.002682,0.507150,0.495035,0.120740,0.343228
138896.0,2025-12-11T18:03:18.743913,2.915101,0.861562,-0.010772,0.004475,0.507518,0.546939,0.357866,0.300847
138922.0,2025-12-11T18:03:18.743913,2.915101,0.861683,-0.011126,0.005057,0.507301,0.791404,-0.031079,0.595697
138942.0,2025-12-11T18:03:18.744884,2.916073,0.861701,-0.011685,0.004408,0.507263,0.950052,-0.016359,0.763479
138971.0,2025-12-11T18:03:18.803415,2.974604,0.861745,-0.012450,0.003383,0.507177,0.892402,0.223539,0.514601
138997.0,2025-12-11T18:03:18.804417,2.975606,0.861411,-0.013375,0.003484,0.507721,0.999238,0.370973,0.903077
139022.0,2025-12-11T18:03:18.863994,3.035183,0.861585,-0.012745,0.002597,0.507447,0.833023,0.407537,0.552975
139051.0,2025-12-11T18:03:18.864994,3.036182,0.861681,-0.012365,0.002307,0.507295,0.203979,0.589642,-0.497457
139080.0,2025-12-11T18:03:18.923404,3.094592,0.861310,-0.013161,0.002588,0.507902,0.685030,0.693584,0.637013
139105.0,2025-12-11T18:03:18.923404,3.094592,0.861486,-0.012443,0.001482,0.507627,0.796831,0.475779,0.743141
139130.0,2025-12-11T18:03:18.983035,3.154224,0.861716,-0.011739,0.000295,0.507255,0.387674,0.613465,0.221849
139155.0,2025-12-11T18:03:18.984038,3.155226,0.861886,-0.011052,-0.000392,0.506982,0.217066,0.751224,0.179631
139185.0,2025-12-11T18:03:19.044857,3.216046,0.861741,-0.011027,-0.000422,0.507228,0.415147,0.784597,0.653833
139210.0,2025-12-11T18:03:19.045859,3.217048,0.861819,-0.010160,-0.000145,0.507114,0.080678,0.839059,0.512165
139230.0,2025-12-11T18:03:19.045859,3.217048,0.861649,-0.009484,0.000122,0.507416,0.297662,0.693201,1.017252
139258.0,2025-12-11T18:03:19.104069,3.275257,0.861552,-0.008734,-0.000109,0.507595,0.704252,0.258892,1.528322
139284.0,2025-12-11T18:03:19.105072,3.276261,0.861256,-0.008392,0.000428,0.508102,0.801016,0.208188,1.564135
139311.0,2025-12-11T18:03:19.163857,3.335046,0.861325,-0.007155,0.000639,0.508004,0.497648,0.751631,1.453592
139336.0,2025-12-11T18:03:19.163857,3.335046,0.861120,-0.006213,0.000235,0.508364,0.486274,0.841489,1.486869
139361.0,2025-12-11T18:03:19.223216,3.394404,0.860886,-0.004879,0.000028,0.508775,0.482678,0.541966,0.994399
139388.0,2025-12-11T18:03:19.223216,3.394404,0.860422,-0.003785,0.001073,0.509568,0.477482,0.382486,0.937952
139413.0,2025-12-11T18:03:19.224119,3.395307,0.860271,-0.002008,0.001193,0.509831,0.485693,0.105776,0.780883
