t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_raw,ay_raw,az_raw,gx_rad_s,gy_rad_s,gz_rad_s,mx_uT,my_uT,mz_uT
6076.0,2025-12-08T04:19:58.187844,0.072441,0.990272,-0.115311,-0.076055,0.016762,0.006226,-0.167725,0.974731,-0.384560,-2.926281,0.184291,0.000000,0.000000,0.000000
6099.0,2025-12-08T04:19:58.202389,0.086987,0.989249,-0.119438,-0.082501,0.017762,-0.166504,-0.149536,0.935791,-0.892692,-1.488174,0.077764,0.000000,0.000000,0.000000
6116.0,2025-12-08T04:19:58.217594,0.102191,0.989206,-0.120475,-0.081347,0.018436,-0.105225,-0.041626,1.029175,-0.308927,0.063916,0.159790,0.000000,0.000000,0.000000
6139.0,2025-12-08T04:19:58.247985,0.132582,0.989752,-0.116778,-0.080152,0.018153,0.026611,-0.043335,1.019897,0.583765,0.133158,-0.089482,0.000000,0.000000,0.000000
6170.0,2025-12-08T04:19:58.277480,0.162078,0.989948,-0.113634,-0.082163,0.018405,0.002319,-0.137939,0.991577,0.553937,-0.582700,0.012783,-28.000000,31.000000,41.000000
6188.0,2025-12-08T04:19:58.290227,0.174824,0.990551,-0.108976,-0.081423,0.017421,-0.086426,-0.125854,1.005859,0.843689,-0.013848,-0.285491,0.000000,0.000000,0.000000
6211.0,2025-12-08T04:19:58.322182,0.206780,0.991288,-0.103382,-0.079916,0.016528,-0.020386,-0.169678,0.984131,1.059938,0.125701,-0.270577,0.000000,0.000000,0.000000
6240.0,2025-12-08T04:19:58.347892,0.232490,0.991916,-0.097085,-0.079759,0.017740,-0.024658,-0.152832,0.991455,1.220793,-0.188552,0.110787,0.000000,0.000000,0.000000
6270.0,2025-12-08T04:19:58.377822,0.262420,0.992907,-0.085841,-0.080036,0.018980,-0.019653,-0.178467,0.997925,2.229598,-0.290817,0.096939,-35.000000,22.000000,37.000000
6299.0,2025-12-08T04:19:58.409238,0.293836,0.993535,-0.078059,-0.079882,0.020367,-0.060669,-0.358887,0.947021,1.708684,-0.157659,0.104396,0.000000,0.000000,0.000000
6326.0,2025-12-08T04:19:58.442166,0.326764,0.993810,-0.074822,-0.079301,0.021352,-0.059570,-0.356567,0.916260,0.804275,-0.045806,0.107592,0.000000,0.000000,0.000000
6350.0,2025-12-08T04:19:58.467813,0.352410,0.994226,-0.069381,-0.078827,0.022093,-0.043701,-0.327271,0.947266,1.146224,-0.118244,0.121440,-40.000000,26.000000,28.000000
6375.0,2025-12-08T04:19:58.487505,0.372103,0.994657,-0.056462,-0.083057,0.023916,0.010864,-0.281616,0.944702,2.727077,-1.051416,0.056459,0.000000,0.000000,0.000000
6395.0,2025-12-08T04:19:58.497584,0.382181,0.995119,-0.043492,-0.084550,0.026425,-0.088013,-0.488770,0.921265,2.785666,-0.484695,0.224771,0.000000,0.000000,0.000000
6418.0,2025-12-08T04:19:58.508802,0.393399,0.995312,-0.031031,-0.086884,0.029023,-0.071899,-0.501953,0.869995,2.687662,-0.640224,0.247141,0.000000,0.000000,0.000000
6442.0,2025-12-08T04:19:58.547259,0.431856,0.995372,-0.024097,-0.087663,0.031118,-0.130615,-0.658936,0.781250,1.592570,-0.286556,0.254598,0.000000,0.000000,0.000000
6467.0,2025-12-08T04:19:58.575407,0.460005,0.995444,-0.018790,-0.087632,0.032529,-0.107300,-0.596313,0.814331,1.213336,-0.176834,0.221575,-45.000000,33.000000,30.000000
6490.0,2025-12-08T04:19:58.592650,0.477247,0.995486,-0.012459,-0.087769,0.033888,-0.099976,-0.646118,0.883545,1.464738,-0.149137,0.123571,0.000000,0.000000,0.000000
6514.0,2025-12-08T04:19:58.637839,0.522436,0.995734,-0.004244,-0.084787,0.036144,-0.111450,-0.745483,0.768921,1.882322,0.472977,0.275903,0.000000,0.000000,0.000000
6539.0,2025-12-08T04:19:58.647788,0.532386,0.996078,0.004862,-0.079184,0.039181,-0.132202,-0.789185,0.779297,2.092179,0.989631,0.419714,0.000000,0.000000,0.000000
6560.0,2025-12-08T04:19:58.667557,0.552155,0.996420,0.010688,-0.074466,0.038562,-0.173828,-0.869629,0.749512,1.352886,0.792557,-0.197074,-48.000000,32.000000,22.000000
6584.0,2025-12-08T04:19:58.697598,0.582196,0.996678,0.010831,-0.072208,0.036067,-0.160889,-0.865356,0.734863,0.197074,0.388821,-0.533697,0.000000,0.000000,0.000000
