t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_raw,ay_raw,az_raw,gx_rad_s,gy_rad_s,gz_rad_s,mx_uT,my_uT,mz_uT
120005.0,2025-12-08T19:15:48.636969,110.787182,0.853361,0.002487,0.020148,-0.520924,-0.036499,-0.015137,1.002319,-0.010653,0.000000,0.001065,0.000000,0.000000,0.000000
120030.0,2025-12-08T19:15:48.696248,110.846461,0.853374,0.003488,0.020219,-0.520896,-0.038574,-0.014771,1.003296,0.000000,0.001065,0.002131,0.000000,0.000000,0.000000
120050.0,2025-12-08T19:15:48.698249,110.848462,0.853187,0.003351,0.021157,-0.521165,-0.039307,-0.015625,1.002319,0.001065,0.002131,0.001065,-35.000000,-12.000000,37.000000
120075.0,2025-12-08T19:15:48.699262,110.849474,0.853190,0.002423,0.020862,-0.521177,-0.038086,-0.017822,1.002319,0.004261,0.003196,0.002131,0.000000,0.000000,0.000000
120095.0,2025-12-08T19:15:48.700269,110.850482,0.853204,0.001891,0.020022,-0.521190,-0.036499,-0.017700,1.003662,-0.002131,0.001065,0.001065,0.000000,0.000000,0.000000
120144.0,2025-12-08T19:15:48.754240,110.904453,0.853024,0.001780,0.019983,-0.521486,-0.036987,-0.015869,1.002319,-0.008522,0.000000,0.002131,-36.000000,-9.000000,36.000000
120187.0,2025-12-08T19:15:48.755236,110.905449,0.853041,0.002795,0.019733,-0.521463,-0.037109,-0.014404,1.002930,0.007457,0.006392,0.002131,0.000000,0.000000,0.000000
120212.0,2025-12-08T19:15:48.757238,110.907450,0.853045,0.001877,0.019389,-0.521473,-0.034790,-0.017334,1.002075,0.002131,0.003196,0.002131,0.000000,0.000000,0.000000
120233.0,2025-12-08T19:15:48.815280,110.965493,0.853056,0.002839,0.019412,-0.521450,-0.037231,-0.013794,1.002808,-0.007457,-0.002131,0.001065,0.000000,0.000000,0.000000
120259.0,2025-12-08T19:15:48.815280,110.965493,0.852810,0.002840,0.020296,-0.521820,-0.040405,-0.013794,1.002563,0.000000,0.001065,0.001065,-37.000000,-2.000000,34.000000
120284.0,2025-12-08T19:15:48.874555,111.024768,0.852804,0.003537,0.021034,-0.521796,-0.040161,-0.015869,1.002563,0.000000,0.003196,0.001065,0.000000,0.000000,0.000000
120309.0,2025-12-08T19:15:48.875556,111.025769,0.852826,0.003376,0.020067,-0.521799,-0.036499,-0.014771,1.002686,0.003196,0.005326,0.002131,0.000000,0.000000,0.000000
120329.0,2025-12-08T19:15:48.877554,111.027767,0.852840,0.002706,0.019329,-0.521807,-0.033325,-0.015991,1.002319,-0.004261,0.001065,0.002131,0.000000,0.000000,0.000000
120357.0,2025-12-08T19:15:48.934162,111.084375,0.852642,0.002443,0.020247,-0.522098,-0.035889,-0.014893,1.003662,-0.009587,-0.003196,0.000000,-35.000000,-18.000000,30.000000
120377.0,2025-12-08T19:15:48.935533,111.085746,0.852652,0.003436,0.020306,-0.522074,-0.040283,-0.012573,1.003418,-0.002131,0.001065,0.001065,0.000000,0.000000,0.000000
120402.0,2025-12-08T19:15:48.994596,111.144809,0.852652,0.004299,0.020859,-0.522045,-0.041504,-0.013916,1.003418,0.003196,0.004261,0.002131,0.000000,0.000000,0.000000
120429.0,2025-12-08T19:15:48.995596,111.145809,0.852652,0.003329,0.020864,-0.522051,-0.038452,-0.017334,1.002563,0.004261,0.004261,0.003196,0.000000,0.000000,0.000000
120455.0,2025-12-08T19:15:48.997602,111.147814,0.852504,0.003041,0.021811,-0.522256,-0.035156,-0.016113,1.003052,-0.007457,0.000000,0.001065,-34.000000,-20.000000,39.000000
