qw,qx,qy,qz,ax,ay,az
0.2809934914112091,0.007567938417196274,0.010518623515963554,-0.9596222043037415,-0.018798828125,-0.0162353515625,1.0032958984375
0.28101617097854614,0.007963764481246471,0.009611150249838829,-0.9596219658851624,-0.0206298828125,-0.0147705078125,1.0020751953125
0.28101393580436707,0.007542644161731005,0.01052859053015709,-0.9596163630485535,-0.0206298828125,-0.014892578125,1.00341796875
0.2807714343070984,0.007569645065814257,0.010770238935947418,-0.9596843719482422,-0.0194091796875,-0.0159912109375,1.002685546875
0.2807847857475281,0.006958790589123964,0.009986932389438152,-0.9596936106681824,-0.0196533203125,-0.0157470703125,1.00146484375
0.28078708052635193,0.007163006812334061,0.010972799733281136,-0.9596806168556213,-0.019775390625,-0.0167236328125,1.0030517578125
0.2808043956756592,0.007534397300332785,0.01005481369793415,-0.959682822227478,-0.020263671875,-0.013916015625,1.0032958984375
0.2810347378253937,0.007476230151951313,0.009916223585605621,-0.9596171975135803,-0.021240234375,-0.0147705078125,1.0035400390625
0.2810278832912445,0.007128273136913776,0.010859144851565361,-0.959611713886261,-0.0198974609375,-0.016357421875,1.0035400390625
0.2810465693473816,0.0065503716468811035,0.010046565905213356,-0.9596192836761475,-0.0184326171875,-0.0157470703125,1.0037841796875
0.2810685336589813,0.007310972549021244,0.009411009959876537,-0.9596136808395386,-0.0194091796875,-0.013916015625,1.00244140625
0.28107282519340515,0.007730960845947266,0.010322516784071922,-0.9595997333526611,-0.020263671875,-0.0150146484375,1.0010986328125
0.281116247177124,0.007714461535215378,0.010299471206963062,-0.9595874547958374,-0.0186767578125,-0.015380859375,1.0029296875
0.2811260223388672,0.006889924872666597,0.009728450328111649,-0.9595968723297119,-0.02001953125,-0.0152587890625,1.002685546875
0.2811416983604431,0.007870825938880444,0.009919545613229275,-0.9595828056335449,-0.0206298828125,-0.0146484375,1.002197265625
0.28115081787109375,0.007283095736056566,0.009114965796470642,-0.9595927596092224,-0.020263671875,-0.0142822265625,1.0029296875
0.2809969484806061,0.00730950478464365,0.00926357414573431,-0.9596361517906189,-0.0201416015625,-0.015625,1.002197265625
0.2810049057006836,0.007579389493912458,0.010227781720459461,-0.9596219658851624,-0.020263671875,-0.0152587890625,1.0018310546875
0.2810218036174774,0.007236169651150703,0.009296794421970844,-0.9596290588378906,-0.0201416015625,-0.01513671875,1.001953125
0.2810175120830536,0.007267466280609369,0.010301055386662483,-0.9596198201179504,-0.019775390625,-0.015625,1.00341796875
0.2810334265232086,0.008196594193577766,0.00996120274066925,-0.9596112966537476,-0.020263671875,-0.015380859375,1.0025634765625
0.28128597140312195,0.008119507692754269,0.009807581081986427,-0.9595394730567932,-0.0206298828125,-0.01513671875,1.003173828125
0.28127914667129517,0.0072949351742863655,0.010380363091826439,-0.9595421552658081,-0.019775390625,-0.0159912109375,1.0023193359375
0.28130707144737244,0.007935595698654652,0.009618769399821758,-0.9595368504524231,-0.020263671875,-0.0150146484375,1.00244140625
0.2813057005405426,0.0077367257326841354,0.01060387771576643,-0.9595285058021545,-0.020751953125,-0.0147705078125,1.001953125
0.28130924701690674,0.006742311641573906,0.01048589963465929,-0.9595361948013306,-0.019775390625,-0.0162353515625,1.0035400390625
0.28138023614883423,0.006734673399478197,0.010442293249070644,-0.9595158696174622,-0.019287109375,-0.0155029296875,1.00146484375
0.28139767050743103,0.007378275506198406,0.00968334823846817,-0.9595139622688293,-0.01904296875,-0.015869140625,1.0025634765625
0.28141263127326965,0.008348490111529827,0.00992264598608017,-0.9594992995262146,-0.0206298828125,-0.014404296875,1.0015869140625
0.281415194272995,0.007341667078435421,0.009975764900445938,-0.9595062136650085,-0.01953125,-0.01513671875,1.0035400390625
0.2812950611114502,0.007360086310654879,0.01008443534374237,-0.9595401287078857,-0.0189208984375,-0.014892578125,1.00244140625
0.2813172936439514,0.008148090913891792,0.009477700106799603,-0.9595335125923157,-0.0203857421875,-0.0145263671875,1.0029296875
0.28131499886512756,0.007714377716183662,0.010384289547801018,-0.9595283269882202,-0.0208740234375,-0.0145263671875,1.0020751953125
0.2813173532485962,0.006809059530496597,0.009962300769984722,-0.9595389366149902,-0.0191650390625,-0.015380859375,1.0018310546875
0.28132662177085876,0.007755211554467678,0.010285954922437668,-0.9595255851745605,-0.020263671875,-0.015380859375,1.0018310546875
0.28117093443870544,0.007781019899994135,0.010426411405205727,-0.9595694541931152,-0.0201416015625,-0.015625,1.002685546875
0.28118202090263367,0.007014844100922346,0.009783584624528885,-0.9595789313316345,-0.0196533203125,-0.01513671875,1.0028076171875
0.2812042236328125,0.007663432043045759,0.009028779342770576,-0.9595749378204346,-0.019775390625,-0.01318359375,1.00244140625
0.2811988890171051,0.007581727113574743,0.010035619139671326,-0.9595670700073242,-0.0203857421875,-0.015625,1.0029296875
0.2810589373111725,0.0076120467856526375,0.010171834379434586,-0.9596065282821655,-0.0201416015625,-0.0146484375,1.00146484375
0.28106987476348877,0.006856436375528574,0.009517401456832886,-0.9596156477928162,-0.019775390625,-0.0150146484375,1.003662109375
0.2810696065425873,0.007289709523320198,0.010418247431516647,-0.9596031308174133,-0.019287109375,-0.0152587890625,1.00244140625
0.28109005093574524,0.008252380415797234,0.010168684646487236,-0.9595921039581299,-0.02001953125,-0.015869140625,1.00244140625
0.2811218798160553,0.008230495266616344,0.010157845914363861,-0.959583044052124,-0.019775390625,-0.017333984375,1.0025634765625
0.2811325490474701,0.0074275583028793335,0.009568673558533192,-0.9595924615859985,-0.0208740234375,-0.0146484375,1.0023193359375
0.2811306118965149,0.006818708498030901,0.010374187491834164,-0.9595892429351807,-0.0191650390625,-0.015625,1.0029296875
0.2811490297317505,0.007714095059782267,0.010825133882462978,-0.9595720767974854,-0.0203857421875,-0.016357421875,1.00244140625
0.2811654508113861,0.007837479002773762,0.009838282130658627,-0.9595769047737122,-0.0206298828125,-0.014404296875,1.0032958984375
0.28094714879989624,0.007867359556257725,0.010042711161077023,-0.9596384167671204,-0.0203857421875,-0.0145263671875,1.0018310546875
0.2809516489505768,0.0068792006932199,0.00988706573843956,-0.959646463394165,-0.018798828125,-0.01513671875,1.0020751953125
0.28095537424087524,0.007585747167468071,0.010597817599773407,-0.9596323370933533,-0.0198974609375,-0.0157470703125,1.0029296875
0.28097063302993774,0.007579682394862175,0.009603184647858143,-0.9596384763717651,-0.0201416015625,-0.0146484375,1.0030517578125
0.28080445528030396,0.0076088616624474525,0.009768578223884106,-0.9596850275993347,-0.020263671875,-0.0147705078125,1.003173828125
0.28080323338508606,0.006754428148269653,0.010295303538441658,-0.9596864581108093,-0.0189208984375,-0.015869140625,1.0025634765625
0.280815452337265,0.007612921297550201,0.010810157284140587,-0.9596707224845886,-0.0191650390625,-0.01611328125,1.003173828125
0.28082188963890076,0.006686285603791475,0.010436655953526497,-0.959679901599884,-0.020263671875,-0.0164794921875,1.003173828125
