mass_kg,chord_m,span_m,wing_area_m2,Vstall_m_s
0.1,0.02,0.5,0.01,8.682257222994718
0.1,0.02,0.525,0.0105,8.473015457278473
0.1,0.02,0.55,0.011000000000000001,8.278207452332786
0.1,0.02,0.575,0.0115,8.096246606821767
0.1,0.02,0.6,0.012,7.925780218493945
0.1,0.02,0.625,0.0125,7.765646939501894
0.1,0.02,0.65,0.013000000000000001,7.6148433231138934
0.1,0.02,0.675,0.013500000000000002,7.472497251588353
0.1,0.02,0.7,0.013999999999999999,7.33784663266138
0.1,0.02,0.725,0.014499999999999999,7.210222172971961
0.1,0.02,0.75,0.015,7.08903333731024
0.1,0.02,0.775,0.015500000000000002,6.973756820012689
0.1,0.02,0.8,0.016,6.863927014027936
0.1,0.02,0.825,0.0165,6.759128081040143
0.1,0.02,0.8500000000000001,0.017,6.658987314204143
0.1,0.02,0.875,0.0175,6.5631695516395085
0.1,0.02,0.9,0.018000000000000002,6.471372449584912
0.1,0.02,0.925,0.018500000000000003,6.3833224631252925
0.1,0.02,0.95,0.019,6.298771412628771
0.1,0.02,0.9750000000000001,0.019500000000000003,6.217493537622817
0.1,0.02,1.0,0.02,6.139282958385447
0.1,0.02,1.025,0.020499999999999997,6.063951480203757
0.1,0.02,1.05,0.021,5.991326686940044
0.1,0.02,1.0750000000000002,0.021500000000000005,5.921250279909029
0.1,0.02,1.1,0.022000000000000002,5.8535766256135275
0.1,0.02,1.125,0.0225,5.788171481996478
0.1,0.02,1.15,0.023,5.724910877842247
0.1,0.02,1.175,0.0235,5.663680124030473
0.1,0.02,1.2000000000000002,0.024000000000000004,5.604372938691265
0.1,0.02,1.225,0.0245,5.546890671072782
0.1,0.02,1.25,0.025,5.491141611222348
0.1,0.02,1.275,0.0255,5.437040374488785
0.1,0.02,1.3,0.026000000000000002,5.384507351446938
0.1,0.02,1.3250000000000002,0.026500000000000003,5.333468215181956
0.1,0.02,1.35,0.027000000000000003,5.2838534789959635
0.1,0.02,1.375,0.0275,5.235598098550274
0.1,0.02,1.4,0.027999999999999997,5.188641113261735
0.1,0.02,1.425,0.0285,5.142925322456693
0.1,0.02,1.4500000000000002,0.029000000000000005,5.098396992370077
0.1,0.02,1.475,0.029500000000000002,5.055005590576597
0.1,0.02,1.5,0.03,5.012703544869573
0.1,0.02325,0.5,0.011625,8.052600754594629
0.1,0.02325,0.525,0.01220625,7.858533663834312
0.1,0.02325,0.55,0.0127875,7.6778535656368065
0.1,0.02325,0.575,0.013368749999999999,7.509088922499071
0.1,0.02325,0.6,0.013949999999999999,7.350985133124336
0.1,0.02325,0.625,0.014531249999999999,7.202465073175878
0.1,0.02325,0.65,0.015112500000000001,7.062598068095054
0.1,0.02325,0.675,0.01569375,6.930575248044952
0.1,0.02325,0.7,0.016274999999999998,6.805689789375715
0.1,0.02325,0.725,0.01685625,6.687320937358996
0.1,0.02325,0.75,0.0174375,6.574920983702541
0.1,0.02325,0.775,0.01801875,6.4680045740252545
0.1,0.02325,0.8,0.018600000000000002,6.366139868127408
0.1,0.02325,0.825,0.01918125,6.268941185206202
0.1,0.02325,0.8500000000000001,0.019762500000000002,6.176062847939997
0.1,0.02325,0.875,0.02034375,6.08719400112813
0.1,0.02325,0.9,0.020925,6.002054227646565
0.1,0.02325,0.925,0.02150625,5.920389820661602
0.1,0.02325,0.95,0.0220875,5.841970599076363
0.1,0.02325,0.9750000000000001,0.02266875,5.766587175066375
0.1,0.02325,1.0,0.02325,5.694048599761772
0.1,0.02325,1.025,0.02383125,5.624180326745856
0.1,0.02325,1.05,0.0244125,5.556822443880007
0.1,0.02325,1.0750000000000002,0.024993750000000006,5.4918281326492
0.1,0.02325,1.1,0.025575,5.429062321219099
0.1,0.02325,1.125,0.02615625,5.368400503063087
0.1,0.02325,1.15,0.026737499999999997,5.309727697631879
0.1,0.02325,1.175,0.02731875,5.252937533313409
0.1,0.02325,1.2000000000000002,0.027900000000000005,5.197931436033713
0.1,0.02325,1.225,0.028481250000000003,5.144617909411341
0.1,0.02325,1.25,0.029062499999999998,5.092911894501927
0.1,0.02325,1.275,0.029643749999999996,5.0427341989377625
0.1,0.02325,1.3,0.030225000000000002,4.994010986745023
0.1,0.02325,1.3250000000000002,0.030806250000000004,4.946673321360871
0.1,0.02325,1.35,0.0313875,4.9006567554162235
0.1,0.02325,1.375,0.03196875,4.855900961731482
0.1,0.02325,1.4,0.032549999999999996,4.812349400719614
0.1,0.02325,1.425,0.03313125,4.769949020026149
0.1,0.02325,1.4500000000000002,0.033712500000000006,4.728649982777325
0.1,0.02325,1.475,0.034293750000000005,4.688405421270937
0.1,0.02325,1.5,0.034875,4.649171213341793
0.1,0.026500000000000003,0.5,0.013250000000000001,7.542663084396146
0.1,0.026500000000000003,0.525,0.013912500000000001,7.3608854542884075
0.1,0.026500000000000003,0.55,0.014575000000000003,7.191647074255495
0.1,0.026500000000000003,0.575,0.015237500000000001,7.033569593136122
0.1,0.026500000000000003,0.6,0.0159,6.88547785830877
0.1,0.026500000000000003,0.625,0.0165625,6.746362955235207
