PLA_total_kg,reserved_mass_kg,chord_m,span_m,wing_area_m2,wing_mass_kg,feasible,total_mass_kg,Vmin_m_s,sink_rate_m_s,glide_ratio
0.8,0.36,0.02,0.45,0.009000000000000001,0.04464000000000001,True,0.40464,22.23725606566024,1.2216431419659721,18.20274293020968
0.8,0.36,0.02,0.46,0.0092,0.045632,True,0.405632,21.900493794062005,1.1899930154123004,18.403884317315992
0.8,0.36,0.02,0.47000000000000003,0.0094,0.046624,True,0.406624,21.57641501697127,1.1598445315675365,18.60285101125633
0.8,0.36,0.02,0.48,0.0096,0.047616,True,0.407616,21.264288693029705,1.1310965096415564,18.7997120597325
0.8,0.36,0.02,0.49,0.0098,0.048608,True,0.40860799999999997,20.963439962463475,1.1036565119732913,18.994532932154524
0.8,0.36,0.02,0.5,0.01,0.049600000000000005,True,0.40959999999999996,20.67324479133751,1.0774399289846894,19.18737577399666
0.8,0.36,0.02,0.51,0.0102,0.050592000000000005,True,0.410592,20.39312522151668,1.0523691759383533,19.378299638368812
0.8,0.36,0.02,0.52,0.010400000000000001,0.05158400000000001,True,0.411584,20.122545147481674,1.028372985954638,19.567360697249285
0.8,0.36,0.02,0.53,0.0106,0.052576,True,0.412576,19.861006552709288,1.0053857861571094,19.754612434520386
0.8,0.36,0.02,0.54,0.0108,0.05356800000000001,True,0.413568,19.608046148010093,0.9833471458160891,19.940105822687055
0.8,0.36,0.02,0.55,0.011000000000000001,0.054560000000000004,True,0.41456,19.363232362355593,0.9622012870251938,20.123889484933304
0.8,0.36,0.02,0.56,0.011200000000000002,0.055552000000000004,True,0.415552,19.126162643590817,0.941896649836628,20.30600984397625
0.8,0.36,0.02,0.57,0.011399999999999999,0.056544,True,0.41654399999999997,18.896461032236076,0.9223855049466317,20.48651125900922
0.8,0.36,0.02,0.58,0.0116,0.057536,True,0.41753599999999996,18.67377597651074,0.9036236080027461,20.665436151878392
0.8,0.36,0.02,0.59,0.0118,0.058528000000000004,True,0.418528,18.457778360908694,0.8855698904314596,20.842825123509854
0.8,0.36,0.02,0.6,0.012,0.05952,True,0.41952,18.248159724237752,0.8681861823845408,21.01871706149223
0.8,0.36,0.02,0.61,0.0122,0.06051200000000001,True,0.420512,18.04463064610347,0.8514369639962394,21.193149239622596
0.8,0.36,0.02,0.62,0.0124,0.061503999999999996,True,0.421504,17.846919283451584,0.8352891416490255,21.36615741013734
0.8,0.36,0.02,0.63,0.0126,0.062495999999999996,True,0.422496,17.654770041050355,0.8197118463769557,21.537775889274588
0.8,0.36,0.02,0.64,0.0128,0.063488,True,0.423488,17.46794236175079,0.8046762519049866,21.70803763674803
0.8,0.36,0.02,0.6499999999999999,0.012999999999999998,0.06447999999999998,True,0.42447999999999997,17.286209624055203,0.7901554101393399,21.876974329653542
0.8,0.36,0.02,0.6599999999999999,0.013199999999999998,0.06547199999999999,True,0.42547199999999996,17.10935813599212,0.7761241021965131,22.044616431277976
0.8,0.36,0.02,0.6699999999999999,0.013399999999999999,0.066464,True,0.42646399999999995,16.937186215571277,0.7625587032934931,22.210993255233365
0.8,0.36,0.02,0.6799999999999999,0.0136,0.067456,True,0.427456,16.769503349203326,0.7494370600247762,22.376133025298923
0.8,0.36,0.02,0.69,0.0138,0.068448,True,0.428448,16.606129420438837,0.7367383787277056,22.540062931316854
0.8,0.36,0.02,0.7,0.013999999999999999,0.06943999999999999,True,0.42944,16.446894002229552,0.7244431237903397,22.702809181455397
0.8,0.36,0.02,0.71,0.014199999999999999,0.070432,True,0.430432,16.29163570665829,0.7125329248889043,22.864397051123536
0.8,0.36,0.02,0.72,0.0144,0.071424,True,0.431424,16.140201586737216,0.7009904922577155,23.02485092879599
0.8,0.36,0.02,0.73,0.0146,0.07241600000000001,True,0.432416,15.9924465854484,0.6897995391956111,23.184194358983635
0.8,0.36,0.02,0.74,0.0148,0.073408,True,0.433408,15.84823302770752,0.6789447111015043,23.342450082563733
0.8,0.36,0.02,0.75,0.015,0.07440000000000001,True,0.4344,15.707430151378466,0.6684115204092957,23.499640074665628
0.8,0.36,0.02,0.76,0.0152,0.075392,True,0.435392,15.569913673862613,0.658186286860628,23.655785580290537
0.8,0.36,0.02,0.77,0.0154,0.07638400000000001,True,0.436384,15.435565391136981,0.6482560826139865,23.810907147828974
0.8,0.36,0.02,0.78,0.015600000000000001,0.077376,True,0.437376,15.304272806426772,0.6386086817415935,23.96502466062541
