# source_file=20251217_003319_glider_ble.csv
# total_time_full_s=14.249000
# cut_tail_seconds=0.000000
# cut_time_s=14.249000
# note=BOOST: LPF+Hampel + online bias + adaptive leak + soft-ZUPT damping (no z=0)
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_clean,ay_clean,az_clean,bias_x,bias_y,bias_z,ax_used,ay_used,az_used,p_stationary,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,7855.0,0.04099999999999998,0.9994381330547079,-0.0007060000939894458,0.02881500383612731,0.01710600227731368,-0.02441348910037793,3.3033145618212916,1.960410019010342,-0.048819,-0.007597,0.015557,-0.10893777083333334,-0.04063895833333333,-0.0016322916666666656,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,-0.10880424897928362,-0.04058914834528412,-0.0016302910142940675,0.7473602960815448,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044,7899.0,0.044,0.9989430110712855,-0.0023900000264883707,0.04200100046549709,0.01852200020527933,-0.1850932119986357,4.818623878021635,2.1166793943229085,0.208254,0.033472,0.010769,0.060553069777176005,-0.013561749396443775,-0.004789068709931102,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,0.06058921546409106,-0.01349025849281208,-0.004779386849457537,0.9116901477406711,3.9015708279620283,0,-0.004787386955088479,-0.0017859225271925011,-7.173280462893897e-05,0.005110160342508337,-0.00010532251301194653,-3.929029559823502e-05,-1.5781217018366572e-06,0.0
0.083,7938.0,0.03900000000000001,0.999373845070083,-0.0010669998345862297,0.03010799533244817,0.018554997123474685,-0.058281384774296584,3.4523191279730523,2.1255774350734242,0.009071,0.001642,0.013909,-0.009947175502189945,-0.024830464744066923,-0.0038359472904137422,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,-0.009895846223606614,-0.024721043357334545,-0.0038204036322273803,0.9820444256182663,1.8308081893572379,0,-0.002045304879331977,-0.002170619320600164,-0.00025244852829288584,0.002993090467028879,-0.00023856000378314547,-0.000116442861630192,-7.899657693812242e-06,0.00019929625335782515
0.127,7982.0,0.044,0.9988932124830884,-0.002999000637942985,0.04241300902203261,0.020112004278195837,-0.24642145894218612,4.867558366243925,2.2964341548419225,0.232798,0.039567,0.014761,0.11046026847286598,-0.004157460813963603,-0.002907865636723923,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,0.11036263364086639,-0.0040425828723976015,-0.002888423273063939,0.7658806941259416,2.776653981035617,0,-0.0023413995225781215,-0.0031104864371997625,-0.000403349935963856,0.003914073168858085,-0.00033506750062516766,-0.00023262718830179037,-2.2327223907460564e-05,0.00033099223390709585
0.165,8020.0,0.038000000000000006,0.9993234923273328,-0.0008350004113718216,0.030742015145380285,0.02016900993647697,-0.024614933608044624,3.5245445514710956,2.311691612806564,-0.013414,-0.002947,0.008435,-0.00465575981442691,-0.02407297274139333,-0.006565706970180162,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,-0.004746284073288158,-0.023922256036585186,-0.006536472090491099,0.9841405966932786,3.0758764923379385,0,0.0020337048242851886,-0.0030232201612461393,-0.00048187351781814206,0.003675325501620287,-0.0003409136998927334,-0.00034916761367226253,-3.914646952931853e-05,0.00047972701432370314
0.206,8061.0,0.04099999999999998,0.9994624076178331,-0.010756004386697457,0.023761009690620886,0.019865008101686964,-1.17923414123609,2.7468840868111135,2.249012881972045,-0.135658,0.184902,0.03211,-0.12759899066220937,0.08910021051461538,0.007255951374280288,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,-0.1275591907343984,0.08915983474008564,0.007277750749387076,0.6223374529394626,4.089586146261986,0,0.0017337265522062457,-0.0038473782482710004,-0.0007248995997634899,0.004281776100268562,-0.000263681356674659,-0.0004900148810673638,-6.388531843974197e-05,0.0006304153598901349
0.247,8102.0,0.04100000000000001,0.9990580044398139,-0.012586000055932184,0.03519600015641103,0.022044000097963538,-1.3555192160070257,4.064566544519378,2.479925180421077,0.083925,0.22268,0.021871,-0.030203906815884557,-0.0001814073033314656,0.0056000070343346885,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,-0.03011578140486072,-0.00012158797093804414,0.0056127997939871025,0.9768815024416547,3.2228135133556313,0,-0.003639301757833199,0.00012573691163138626,-0.0003666787313794589,0.003659888023910084,-0.00030274564839001154,-0.0005663085284684759,-8.626267422817243e-05,0.0008059681800011459
0.283,8138.0,0.035999999999999976,0.9992688227966775,-0.0015139997315179094,0.030949994511545106,0.022396996028273854,-0.09411201563765262,3.550171881696932,2.565038054789169,0.000698,0.00284,0.022121,-0.04811114557368662,0.04101358179496449,0.005190401664189106,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,-0.04796018879104185,0.04101966235538507,0.005196386775314772,0.908582942330333,1.2477956190277704,0,-0.004479567455434165,0.00011293298023151767,-0.00014004348999931547,0.004483178629599771,-0.00044888529422882397,-0.0005620124704149436,-9.538367421299036e-05,0.0009377241488619089
0.324,8179.0,0.041000000000000036,0.9988237980578248,-0.0014799997007736907,0.04287799133092859,0.02258999543275518,-0.05861682184357913,4.917542968405322,2.5887123625003348,0.251587,0.010016,0.012713,0.10600410433024404,-0.0001814073033314656,-0.0010279335328372127,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,0.10601915442060171,-0.00017510227808133967,-0.0010206400561166634,0.7806498668328059,3.893832359210052,0,-0.006155387109985205,0.0017874142194825831,8.209169299002933e-05,0.0064101777753693,-0.0006669018628199212,-0.0005230553528208045,-9.657168605168072e-05,0.0011215344726754996
0.366,8221.0,0.04199999999999998,0.9992636897601493,-0.0008999997205784801,0.030994990377033325,0.022595992984657042,-0.022844722337594082,3.553757602671652,2.590067785864155,0.005107,0.000409,0.01723,0.0015394658666359612,-0.021235477546333925,-0.00033461502568274523,0.004347128277904333,-0.0036248750959174134,0.0019087826791992044,0.001551933705049855,-0.021193908121409654,-0.00032677782555926547,0.9887674176139342,2.537319551539074,0,-0.001174835022898094,0.0016268114683893702,3.218647278401729e-05,0.0020069351892229655,-0.0008208365276104704,-0.0004513566133754935,-9.417184457042575e-05,0.0013907619392410102
