# source_file=20251214_175643_glider_ble.csv
# note=ZUPT + bias tracking; rotate accel to world if ACCEL_IN_BODY_FRAME
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_body,ay_lin_mps2_body,az_lin_mps2_body,ax_lin_mps2_world_raw,ay_lin_mps2_world_raw,az_lin_mps2_world_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
2069.431,2069431.0,0.02500000000009095,0.1411340097556065,0.16120901114325087,0.5651690390661809,-0.7966660550679496,-70.11858671834754,24.606796193793645,-177.3110968765994,-0.907027,-9.431108,-7.130193,-2.321614681619695,9.814394112335139,6.236659505014787,0.11545455340826605,0.460147203930644,0.9138154668093756,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069.455,2069455.0,0.023999999999887223,0.14131801732975885,0.16090501973170332,0.5642640691954248,-0.7973360977769329,-69.97173221422194,24.58685115398847,-177.24103980924764,-0.867309,-9.456066,-7.163701,-2.364648051783936,9.866631881893941,6.2085454023971165,0.09335613692325147,0.48697224653253324,0.8993783649422303,1.5681026398221907,0,0,0.0027709092817853644,0.011043532894283562,0.0,0.01138584898174077,3.3250911381268124e-05,0.00013252239473078,0.0,0.0
2069.483,2069483.0,0.028000000000247383,0.14143698781760847,0.1606839861598068,0.5630959514988585,-0.7981849312499403,-69.7883811861919,24.56947099163439,-177.17489975517458,-0.877857,-9.43268,-7.099979,-2.349006626011774,9.817821904950035,6.184523232143764,0.09043478811488007,0.47405996391710553,0.8785732553400325,0.880713059573333,0,0,0.0053848811156595,0.02467875579731496,0.0,0.025259412747197688,0.00014743197694650504,0.0006326344364175778,0.0,0.00031880377149155824
2069.51,2069510.0,0.027000000000043656,0.14156101850124775,0.16046002097124357,0.5619870734486244,-0.7989891044234883,-69.61404179040788,24.55222774472118,-177.11008924775115,-0.881002,-9.398509,-7.048401,-2.334959067338281,9.775550021098672,6.146111009633527,0.09677290504650263,0.44542028759199037,0.8485495895361524,1.5545955126266195,0,0,0.00782662039476521,0.0374783748230975,0.0,0.03828687198223881,0.000325787247337527,0.0014717556997945029,0.0,0.0010008079156669986
2069.536,2069536.0,0.02599999999983993,0.14196895597174242,0.1600849503535024,0.5612288259483762,-0.7995247520466253,-69.48534977424926,24.540597546492318,-177.01775408084671,-0.89337,-9.417032,-7.010735,-2.3409308100483224,9.757726295151254,6.159206716585296,0.09643442139118075,0.423045574552133,0.8420480925613986,0.8962543833670171,0,0,0.010342715925958788,0.049059302300417953,0.0,0.05013767959258661,0.0005619886195054847,0.0025967455023932777,0.0,0.0019962665871990793
2069.561,2069561.0,0.02500000000009095,0.14214301117762934,0.1597700125637551,0.5602070440527229,-0.8002730629306752,-69.32149084321924,24.517950372347688,-176.94444345205196,-0.909038,-9.416114,-6.976143,-2.328975916741653,9.741476103403164,6.151068086840818,0.10254029233168555,0.4042882089903035,0.8348083143176049,0.8405091902205977,0,0,0.012753576460747077,0.059635441664259756,0.0,0.06098392915376517,0.0008506922743403583,0.003955429801956692,0.0,0.0032497085770183043
2069.584,2069584.0,0.022999999999683496,0.1423060148693428,0.1594710166628882,0.5591550584252764,-0.8010390836993767,-69.15385798222665,24.49584737010326,-176.87250391417567,-0.895367,-9.407771,-6.99284,-2.335325292029366,9.77007177211123,6.1073399992904704,0.10213982297960099,0.4100897792905929,0.8095071623436391,1.128733573489909,0,0,0.01511200318434339,0.06893407047090877,0.0,0.07057108977429653,0.0011711464402544888,0.0054339791914907835,0.0,0.004652338947535602
2069.61,2069610.0,0.026000000000294676,0.14247799364156347,0.15920699289499007,0.5581509750911179,-0.8017609642194133,-68.994423963759,24.47778308432357,-176.8038379512388,-0.891379,-9.385538,-6.983126,-2.3302267202200246,9.76866913710337,6.065482299466193,0.10464862412726914,0.41240106279469596,0.7738338114408322,1.3783104738012335,0,0,0.017767638581843114,0.07959640473258503,0.0,0.0815553592790105,0.0015985817832197577,0.007364875369158088,0.0,0.006487187281688107
2069.636,2069636.0,0.02599999999983993,0.14290396233044902,0.15878895814315674,0.5574698530506873,-0.8022417885286911,-68.87658271368477,24.462877156066025,-176.70942889136862,-0.852828,-9.38707,-6.959465,-2.3749861027732266,9.75448614496435,6.040529192714941,0.0819407030560734,0.4059129481724247,0.7438795171578529,1.4670972511340028,0,0,0.02048850280913536,0.09031883236518111,0.0,0.09261355315054937,0.002095911621299416,0.009573773451415447,0.0,0.008607626622929326
2069.655,2069655.0,0.01900000000023283,0.14309299495554273,0.1584999944123998,0.5564239803843858,-0.8029909716921597,-68.71039262555291,24.443069409555164,-176.6360967822296,-0.869598,-9.395414,-6.901375,-2.36828775207062,9.71949465805762,6.048274011567825,0.07595012745731464,0.38740060898054013,0.7354805857591877,1.115411737188519,0,0,0.022045376167219834,0.09803117838055168,0.0,0.10047940358617664,0.002499983471579742,0.011363098553521836,0.0,0.010367284132811327
2069.684,2069684.0,0.028999999999996362,0.14330201964463038,0.15817502168350342,0.5553800761345606,-0.8037401101811225,-68.54355016407096,24.42095008793796,-176.55837813349476,-0.897263,-9.365211,-6.857077,-2.3351942439809292,9.684872069220862,6.023444512513001,0.09048188357192588,0.35557606482568693,0.715929112668077,1.381994649419621,0,0,0.024247929863481683,0.10926579604098594,0.0,0.1119239754794953,0.00317123640902483,0.014368904682633755,0.0,0.013281186836810083
2069.709,2069709.0,0.024999999999636202,0.14349804279392092,0.15782504706651362,0.5543361653138787,-0.8044942399159057,-68.37644655516206,24.395379740862676,-176.48030317209043,-0.89051,-9.353017,-6.868187,-2.335147725609767,9.706438789765164,5.981309125056126,0.09647292025855822,0.35380373699209533,0.6858346767608303,1.229444582977645,0,0,0.026509976952746914,0.11815519766149875,0.0,0.12109264887871192,0.003805710244218455,0.017211667103873445,0.0,0.016079286223756747
2069.737,2069737.0,0.028000000000247383,0.14393701632368205,0.15730601783984052,0.5536830627923692,-0.8049670912901155,-68.26071973646486,24.370992001103982,-176.3786757387598,-0.846118,-9.34924,-6.871708,-2.3809137225796038,9.714804494580854,5.941245539656789,0.07422287958043662,0.35753099594165866,0.6486202084906105,1.5542377134693814,0,0,0.02921121872001041,0.12806170229736494,0.0,0.13135103689886582,0.00458580698364395,0.02065870370332799,0.0,0.019469880392390636
2069.762,2069762.0,0.02500000000009095,0.14407796629656572,0.15706196325928456,0.5525308707492312,-0.8057808115077458,-68.08118197338167,24.351291115929005,-176.31032337624433,-0.814463,-9.347553,-6.847743,-2.4093352356307363,9.707190429707438,5.9073885045738805,0.04987622782422187,0.35512849351464615,0.6150631562811198,1.6611356224598308,0,0,0.031066790709528076,0.13699997719593893,0.0,0.14047825182809404,0.005339282101515921,0.02397197469700634,0.0,0.022753656314874228
2069.781,2069781.0,0.018999999999778083,0.14422306562799983,0.15683007136475607,0.5513852509051587,-0.8065843670322668,-67.90310057479896,24.33294272836537,-176.2427264605868,-0.832846,-9.345875,-6.809734,-2.3937275442398285,9.689193822722268,5.899244073249145,0.0469014589683653,0.34594107397363005,0.5974622385279597,1.0566374216385892,0,0,0.032014439038177224,0.1437474185726384,0.0,0.14726929297455893,0.0059385537841121225,0.026639074956776674,0.0,0.02542274309957684
2069.814,2069814.0,0.032999999999901775,0.14469409704072037,0.1563311048452103,0.5506843693226536,-0.8070755412742712,-67.78087791539136,24.311895874630377,-176.13803666253753,-0.884799,-9.324841,-6.750765,-2.3512353555918226,9.6391955128819,5.904740400556116,0.0699522732340363,0.3098291120388242,0.5882461118054676,1.3279335648590758,0,0,0.03356218718412867,0.1551634740137342,0.0,0.15875176873532232,0.007020568116776949,0.03157110468443714,0.0,0.03028262976772282
2069.838,2069838.0,0.02400000000034197,0.14489495588601292,0.15599995250504167,0.5495068326999226,-0.807905754029091,-67.59536063449393,24.287031298126962,-176.05708213843246,-0.888769,-9.327832,-6.711874,-2.3518578158078007,9.621541953950015,5.894260597400186,0.07778812159829764,0.2879870970492556,0.5796038311420764,1.0317554766563608,0,0,0.035241041741769466,0.16259937270277194,0.0,0.16637453839569347,0.007846206863899492,0.03538425884508955,0.0,0.034092672217424846
2069.863,2069863.0,0.024999999999636202,0.1450699877434725,0.1556929868459672,0.5483429536721509,-0.8087239316733442,-67.4130287965655,24.262735147573544,-175.98097982231045,-0.851736,-9.317956,-6.682984,-2.3831008443614152,9.605870121756734,5.853214753059502,0.06531351064549398,0.2689429985599399,0.55381999783823,1.375848634447575,0,0,0.03718574478169861,0.16979905012889857,0.0,0.17382317750992193,0.008751541695429669,0.039539239130424966,0.0,0.03825203567725666
2069.884,2069884.0,0.021000000000185537,0.14523500870894496,0.15534600931524606,0.5472410328150359,-0.8095070485416869,-67.23929792979038,24.23401675956371,-175.90521210053723,-0.827577,-9.317724,-6.693538,-2.4029674757106987,9.630169717569368,5.8132515608767115,0.050327218414066836,0.27229434787531565,0.5233725591804014,1.6238493347173208,0,0,0.0385573285052661,0.1754468530987072,0.0,0.1796336990759316,0.009546843964949824,0.04316432111434686,0.0,0.04190232240499727
2069.908,2069908.0,0.023999999999887223,0.14539998205669824,0.15501098087063858,0.5460939326084633,-0.8103159000017571,-67.05940700844064,24.206079928715283,-175.82898186744032,-0.843546,-9.306907,-6.689728,-2.3831982734236594,9.64044242227972,5.784875484140442,0.052146994848839785,0.27943284887398046,0.4918727844015009,1.3479057791367242,0,0,0.03976518174719803,0.18198191744768405,0.0,0.18627583836161732,0.010486714087974977,0.0474534663608834,0.0,0.04621353118279937
2069.942,2069942.0,0.0340000000001055,0.14589303929986983,0.15455604163346207,0.5454151469209523,-0.8107712184011211,-66.94213719868391,24.18999338566954,-175.72630538473086,-0.864632,-9.30589,-6.653611,-2.375278069155139,9.616533912274477,5.787749660715345,0.057926383330930364,0.2691579896988992,0.47571237989983567,0.5883328859850645,0,0,0.041538179572064085,0.19148263430942886,0.0,0.19593626413770246,0.011868871230406721,0.05380236374077402,0.0,0.05254690968711401
2069.962,2069962.0,0.01999999999998181,0.14612897303526148,0.1542289715405932,0.5443658995498029,-0.811495850257119,-66.77643546716682,24.167626624049536,-175.64677188921436,-0.868841,-9.281732,-6.596009,-2.3677746069101913,9.569408534535606,5.764792454305208,0.06324655037783715,0.2438885061952806,0.4599113542401956,1.513706862180486,0,0,0.04269670723868164,0.19686579410340194,0.0,0.20144267099348323,0.012711220098513411,0.057685848024898796,0.0,0.056465634969864495
2069.992,2069992.0,0.03000000000020009,0.14633907212864403,0.15390807585930846,0.5432962677837335,-0.8122354003403685,-66.60840145216225,24.143922922539435,-175.56974236479783,-0.809134,-9.246035,-6.566198,-2.4105406920225763,9.539639845010928,5.69590927121984,0.04235889414423865,0.21061231731153787,0.4105074770911809,2.1040548173206726,0,0,0.04459410375002941,0.20418244928930915,0.0,0.20899547049409872,0.01402058226335281,0.06370157167582959,0.0,0.0625089150997093
2070.018,2070018.0,0.02599999999983993,0.1468519862002461,0.15358998556707293,0.5427159490007133,-0.8125909236404282,-66.50900371263216,24.142627472298688,-175.47774033271128,-0.778359,-9.271861,-6.547374,-2.4598304268017626,9.536295048416704,5.696460870839126,0.007618504544030645,0.19537384466521765,0.3908269846135123,1.6437201196928455,0,0,0.04569543499777284,0.20965836953937542,0.0,0.21458029895017153,0.015194346267067014,0.06908150232056937,0.0,0.06794279733252241
2070.043,2070043.0,0.02500000000009095,0.146963037540684,0.15324603914563298,0.5416101383505363,-0.8133732077705188,-66.3367061485034,24.10974974693554,-175.40820981220935,-0.831166,-9.236391,-6.5791,-2.3923974448681102,9.57225405187888,5.651079477985944,0.027023649123910636,0.2072271102639914,0.35804722009936585,1.5957806882463181,0,0,0.04588589761137429,0.21454271565602362,0.0,0.21939483230163587,0.01633911292468552,0.07438401588553115,0.0,0.07330730480629621
