# source_file=20251214_023521_glider_ble.csv
# total_time_s=52.960000
# distance_path_m=13084.874052
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
523.985,523985.0,0.02500000000009095,-0.563335,0.488021,-0.52983,0.404684,-92.21006021351467,11.65130458736763,-83.49108289145933,0.020849455696202668,0.041095759493670725,-0.799205354430379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524.007,524007.0,0.021999999999934516,-0.564147,0.487627,-0.529158,0.404907,-92.08181954192641,11.66321801148105,-83.42825261790081,0.013165455696201533,0.08247775949367064,-0.7665213544303793,0.0004586880253150934,0.0009041067088580648,-0.017582517797416004,0.017611721543961,0.0,0.0,0.0,0.0
524.033,524033.0,0.026000000000067303,-0.564645,0.486945,-0.528695,0.405638,-91.94659322929036,11.654124322359586,-83.4405682593656,0.023693455696202292,0.06741475949367082,-0.7459643544303791,0.0008009898734172194,0.0030485284556990523,-0.03751207301265745,0.03764426559556538,1.1925888658223299e-05,2.3506774430370534e-05,-0.00045714546273399945,0.0004579047601441714
524.055,524055.0,0.021999999999934516,-0.565254,0.486542,-0.528167,0.405961,-91.83536285271252,11.657615754198334,-83.40563651955529,0.007884455696201442,0.06727775949367076,-0.742729354430379,0.0013222458987321183,0.004531653164555395,-0.05392328881007694,0.054129523281805356,2.954766587334967e-05,9.057440045555004e-05,-0.001282411069010007,0.0012860786032441447
524.079,524079.0,0.02400000000000091,-0.56581,0.486148,-0.527697,0.406269,-91.73243600619993,11.662055570897605,-83.37654101101943,0.019177455696201662,0.06699675949367079,-0.7227213544303801,0.0015114728354409602,0.006146319392403555,-0.07174879331640671,0.07202743320823088,6.128156744292172e-05,0.00019933407640488365,-0.0025765700004519027,0.0025851871620075225
524.101,524101.0,0.022000000000048203,-0.566335,0.48578,-0.527215,0.406605,-91.63103918541253,11.660926733119727,-83.34885415033803,0.015785455696201822,0.08005975949367061,-0.6933013544303801,0.001933376860758321,0.007620248101267542,-0.08764866311390991,0.08800053563965539,9.45339698226957e-05,0.00033455310303805814,-0.004155043453416309,0.004169790692592074
524.132,524132.0,0.03099999999994907,-0.566691,0.48502,-0.526874,0.407456,-91.5025382635812,11.648139938998515,-83.38841637331444,0.02285845569620193,0.0800127594936707,-0.6807233544303788,0.0024227259873397734,0.010102100645567253,-0.10914100510121638,0.10963430591364476,0.0001544686525061052,0.0005707807941769638,-0.006872152009943052,0.0068978072974169085
524.151,524151.0,0.019000000000005457,-0.567168,0.484522,-0.526483,0.407891,-91.39783598040788,11.650679134805012,-83.38162500597075,0.02674045569620276,0.06741875949367071,-0.6714233544303791,0.002857036645567735,0.011622343075947433,-0.12207474883539729,0.12266004166065847,0.0002005004462655741,0.0007627207064427968,-0.008945831106866758,0.008980859109776758
524.179,524179.0,0.02800000000002001,-0.567656,0.483971,-0.526086,0.408377,-91.28648962786019,11.653148161133212,-83.37906689054839,0.027563455696201444,0.07093475949367078,-0.6561913544303799,0.0036057694050619475,0.01351006834177156,-0.14087460275946134,0.14156686484568998,0.00028049747234152786,0.0010881463125695574,-0.012363924074260325,0.012415340276277649
524.203,524203.0,0.02400000000000091,-0.568195,0.483399,-0.52564,0.40888,-91.16684642657067,11.655556955039255,-83.37218412765219,0.03138545569620277,0.048372759493670814,-0.6462823544303795,0.004267292341770808,0.015212502569619724,-0.15662319526579105,0.15741809080797206,0.0003670359380630179,0.0014123879527720871,-0.015744914540487525,0.015812945032574337
