# source_file=20251214_160720_glider_ble.csv
# total_time_s=39.690000
# distance_path_m=3.745289
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
442.433,442433.0,0.02400000000000091,0.363611,-0.09251,0.175369,-0.910206,-22.75816720731841,-2.342567115945248,-135.9768468463492,0.0017336626506024091,-0.007726048192771085,0.004056433734939746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442.457,442457.0,0.02400000000000091,0.363657,-0.092137,0.174411,-0.910409,-22.637874673857333,-2.344805059473603,-135.98272898695444,-0.004937337349397591,0.0018479518072289144,0.010524433734939748,4.16079036144594e-05,-0.00018542515662651305,9.73544096385576e-05,0.00021352186639599495,0.0,0.0,0.0,0.0
442.483,442483.0,0.02600000000001046,0.363581,-0.092096,0.174276,-0.910469,-22.62124121677224,-2.3483073546009905,-135.99320692687976,-0.01021033734939759,0.026351951807228918,-0.0030865662650602504,-8.67628674699296e-05,-0.00013737840963854196,0.0003709896867471011,0.0004050110742672746,1.0818054939763796e-06,-4.821054072291279e-06,2.531214650603516e-06,5.551568526298102e-06
442.504,442504.0,0.021000000000015007,0.363572,-0.092216,0.175127,-0.910298,-22.71871754810676,-2.3237249189813602,-135.98969657056136,-0.015499337349397593,0.023913951807228915,-0.004254566265060253,-0.0003011799518074322,0.0004160125783136608,0.00030617179518078953,0.0005979272504662539,-7.40214722893444e-07,-7.706000674702722e-06,1.0321998072298207e-05,1.4056801085916947e-05
442.531,442531.0,0.026999999999986812,0.363621,-0.092148,0.176106,-0.910096,-22.821763986782223,-2.2726814103293993,-135.98371592688144,7.066265060240928e-05,-0.0014520481927710852,-0.005172566265060255,-0.0007196620602409629,0.0010616892771085262,0.00019129850602421882,0.0012968009563863647,-8.87207342169014e-06,3.5263389397606334e-06,1.8588636542175488e-05,3.0200836848497917e-05
442.555,442555.0,0.02400000000000091,0.363677,-0.091766,0.175308,-0.910267,-22.718426664838677,-2.266762424034093,-135.98842999982455,-0.005478337349397591,-0.0004090481927710851,-0.0015315662650602496,-0.000717966156626505,0.001026840120482019,6.715691566276799e-05,0.0012547454269348417,-2.6143962867473904e-05,2.900688159036623e-05,2.3179800686756913e-05,6.132405980177185e-05
442.579,442579.0,0.02400000000000091,0.363678,-0.091708,0.175372,-0.91026,-22.722760517413192,-2.2579448190645017,-135.98969231412192,-0.006227337349397591,-0.005484048192771086,-0.005031566265060253,-0.0008494462530120521,0.0010170229638555126,3.03993253013206e-05,0.0013254504007108082,-4.337515062651068e-05,5.3651044481935617e-05,2.4791566662663408e-05,9.14379500482092e-05
442.603,442603.0,0.02400000000000091,0.363543,-0.09243,0.175976,-0.910124,-22.820134966778678,-2.309406647749722,-135.98604025814538,-0.0007893373493975906,-0.006665048192771085,0.0003094337349397458,-0.0009989023493976,0.0008854058072290015,-9.035826506013003e-05,0.0013378766621671674,-6.37618606988007e-05,7.805959561446884e-05,2.552115046989513e-05,0.0001232487596652698
442.627,442627.0,0.02400000000000091,0.363459,-0.092816,0.175173,-0.910273,-22.750283781670642,-2.3864513092841726,-135.98756859734885,0.0006796626506024093,-0.008934048192771086,0.01420743373493974,-0.0010178464457831428,0.0007254446506024894,-8.293185542157585e-05,0.0012526607764773386,-8.773551708434401e-05,9.930933498796568e-05,2.335255210845193e-05,0.00015535779955728302
442.649,442649.0,0.02199999999999136,0.363609,-0.091969,0.17472,-0.910386,-22.663689272766458,-2.3150958465644265,-135.99235549873802,-0.005873337349397591,-0.004623048192771085,0.00942043373493974,-0.0010028938674698958,0.0005288955903616027,0.00022963168674697564,0.0011568307423607544,-0.00011012813889156436,0.00011526911730121418,2.1528051289177977e-05,0.00018291633663977366
442.676,442676.0,0.026999999999986812,0.36355,-0.091962,0.174695,-0.910415,-22.660530288708713,-2.3168954215117994,-135.9997182293325,-0.0022013373493975905,0.011998951807228916,-0.003027566265060261,-0.0011614739759035532,0.00040407328915684443,0.00048398339759022437,0.0013215660970432828,-0.00013720627331323832,0.00012954929824097048,2.772810683134329e-05,0.00021415076668349878
442.698,442698.0,0.02199999999999136,0.363559,-0.091995,0.175557,-0.910242,-22.755334110993232,-2.282394879097322,-135.99617329749705,-0.0006843373493975908,-0.0013060481927710853,0.0020684337349397425,-0.001209903397590281,0.0006680502289157769,0.00041737693975892477,0.0014437315712061756,-0.00016275870078310645,0.00013843891060241756,3.837574157832404e-05,0.0002432252208184396
442.721,442721.0,0.023000000000024556,0.363356,-0.092965,0.175561,-0.910224,-22.79870833259527,-2.3873844453406856,-135.9953784881352,-0.0018433373493975907,-0.0036860481927710855,-0.0034345662650602515,-0.0012256431566264425,0.0006380111204820099,0.00046495091566258964,0.0014578884357931577,-0.00019058647892771261,0.00015380406586749682,4.797541119278956e-05,0.00027643104695621707
442.738,442738.0,0.016999999999995907,0.363537,-0.092065,0.175781,-0.910201,-22.782674725243083,-2.2803732843579976,-135.9966634141606,0.0024516626506024095,-0.0012590481927710851,0.00823743373493975,-0.001256979891566194,0.0005753483012049165,0.0004065632891565794,0.0014409433797311262,-0.00021142241259035713,0.00016465025491568837,5.587957675905168e-05,0.0003012151503646948
442.761,442761.0,0.023000000000024556,0.363648,-0.091573,0.176522,-0.910063,-22.841153384940736,-2.194429309858772,-135.99479119913264,0.0002586626506024093,-0.004962048192771086,0.005089433734939738,-0.0012005916506022784,0.0005463901927711506,0.000596024265060396,0.0014474831531984004,-0.00024033295009641046,0.00017788326584341558,6.5230532409663e-05,0.0003343568480985461
442.787,442787.0,0.025999999999953616,0.363594,-0.091596,0.176506,-0.910085,-22.840322201782158,-2.1988209642898697,-136.00071111246777,-0.0029623373493975905,-0.012968048192771087,-0.0013215662650602616,-0.0011938664216866277,0.00041737693975933254,0.0007283495421685931,0.0014594566106092013,-0.000271548333012014,0.00019208941085544016,8.072716330120565e-05,0.0003719914100816374
442.811,442811.0,0.02400000000000091,0.363407,-0.092344,0.175851,-0.910211,-22.802430858328357,-2.3093059402451708,-136.00495715391293,0.004936662650602409,0.004622951807228915,0.0002914337349397417,-0.0012649625180721725,0.00010614378313281468,0.0006966319518071457,0.0014479961157074527,-0.00030020112713249414,0.00020210645740966453,9.820755231325255e-05,0.00040701836873625956
442.832,442832.0,0.021000000000015007,0.363316,-0.092758,0.176598,-0.910061,-22.901635746779526,-2.321636782892429,-136.00378634634134,0.0001096626506024093,-0.004808048192771085,-0.0038625662650602494,-0.0011612926024094478,0.00020322577108469126,0.0007027520602408846,0.0013725019783653075,-0.00032676534001202875,0.00020433547685545523,0.00011283682330121307,0.0004374262871661378
442.861,442861.0,0.028999999999996362,0.363486,-0.091969,0.177192,-0.909958,-22.93105684785548,-2.2100011007946523,-136.00290716451184,-0.005300337349397591,-0.014868048192771086,-0.004842566265060258,-0.0011581123855419783,6.379237349434728e-05,0.0005907376385541514,0.0013016392442095118,-0.00036044282548189854,0.00021022902421691052,0.00013321663304819616,0.0004772288445387267
442.884,442884.0,0.023000000000024556,0.363409,-0.091973,0.177251,-0.909976,-22.93743683874089,-2.2097141792149553,-136.0119168874226,0.008201662650602409,-0.022944048192771085,0.009853433734939743,-0.001280020144578253,-0.0002781727349397528,0.0004793586144576466,0.001394853512826615,-0.00038707941034939246,0.00021169624880728208,0.00014680359873495616,0.0005071665471555774
442.906,442906.0,0.02199999999999136,0.36337,-0.09206,0.176352,-0.910158,-22.84389569568255,-2.25896930433667,-136.01601007263213,0.0010186626506024092,-0.008834048192771084,0.0031074337349397407,-0.0010995835662650708,-0.0007829417951805185,0.0006961341566262358,0.0015187773496672988,-0.00041523985353010296,0.00020557644863860992,0.00015734948825302025,0.0005378533244377509
442.926,442926.0,0.01999999999998181,0.363295,-0.092218,0.175403,-0.910355,-22.748029542147737,-2.3186005092856066,-136.02263679621234,-0.0029943373493975904,0.009997951807228914,0.0004244337349397498,-0.001079210313253041,-0.0009596227590357796,0.0007582828313249741,0.0016311234141454128,-0.00043723152485538436,0.00018991761273501377,0.0001712721713855323,0.0005682288714310693
