# source_file=20251215_013848_glider_ble.csv
# total_time_full_s=24.569000
# cut_tail_seconds=5.000000
# cut_time_s=19.569000
# note=NO_ZUPT; cut last N seconds to remove end-peak region
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,1243298.0,0.02500000000000213,-0.05692699510934513,0.02573299778925252,-0.08945199231509023,0.9940299146018996,-10.423214954889971,-2.34831031330261,-173.23040594469194,0.579878,-1.91512,-0.191904,0.3805336455696203,-1.1971774177215189,-0.1558484683544304,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1243318.0,0.02,-0.0569420149752679,0.025157006616079773,-0.08715002291971827,0.994248261478876,-10.154569403491378,-2.298155414875361,-173.24012566717957,0.564149,-1.862502,-0.178384,0.3731727108739046,-1.172552987572166,-0.1495213123314107,-0.007269582428705007,0.02431883070974625,0.0062486333801317065,1.3069982544903513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047,1243345.0,0.027,-0.056951014363617145,0.02452700618595701,-0.08488702140935837,0.9944592508125992,-9.890076361814637,-2.2416052598752536,-173.25072059712485,0.551967,-1.812008,-0.175505,0.3620168665592525,-1.1299450884280864,-0.1440536935328839,-0.018118061078418308,0.06581028467672231,0.011520806304234913,1.6003369195371895,0,-0.0001962787255750352,0.0006566084291631487,0.00016871310126355608,0.0007057790574247897,-2.649762795262975e-06,8.864213793702507e-06,2.277626867058007e-06,0.0
0.071,1243369.0,0.023999999999999994,-0.05520902101413085,0.02425800923329142,-0.08454303217949365,0.9945933785706578,-9.84479967046887,-2.23043681012145,-173.4535240790923,0.545271,-1.803985,-0.166373,0.3537542460996285,-1.1074002703397607,-0.13699989263912213,-0.025988779968956384,0.08704253230092111,0.018298669758869013,0.9848646163648174,0,-0.0006303286446930312,0.0022334340735584396,0.0004445389480671416,0.0023628704656838556,-1.2569051238479769e-05,4.354472382636156e-05,9.636651459026376e-06,1.693869737819495e-05
0.098,1243396.0,0.02700000000000001,-0.0552230098718318,0.023710004238471864,-0.08229701471166255,0.9947941778324074,-9.583025553252149,-2.182567131857456,-173.46234436011275,0.533747,-1.775023,-0.161299,0.343249002463877,-1.0800835473302086,-0.1306177796348548,-0.03588524476947166,0.11245155954635333,0.024269067728751308,1.0338604344110018,0,-0.0013291955974689064,0.004573554571990138,0.0009366071005033054,0.004854008160274953,-3.9022628507665936e-05,0.00013543907054126738,2.8282123114727415e-05,8.073619995165908e-05
0.118,1243416.0,0.01999999999999999,-0.05526397908938534,0.023184991227334233,-0.08011196968747898,0.994982623521531,-9.328537106458299,-2.136637364648523,-173.46747099481792,0.519272,-1.715299,-0.15249,0.3323349592879533,-1.041368498782076,-0.12398020394001008,-0.04621848927986875,0.14929056749412684,0.030523079099342293,1.938427911292585,0,-0.002042477217088684,0.006807365961438773,0.0014188716290060568,0.0072474230740919125,-7.273935665324182e-05,0.00024924827587555643,5.183691040982103e-05,0.0001778163631571581
0.146,1243444.0,0.027999999999999997,-0.055273005537388155,0.022608002264926298,-0.07789900780411774,0.9951710996987336,-9.070479555380082,-2.0852380772403714,-173.4765582821603,0.501582,-1.692657,-0.154451,0.31572510039809154,-1.0045839906625063,-0.12089814582406717,-0.06174212399208731,0.1828580684524966,0.03302414609265297,1.3238470587327231,0,-0.0033270855623303603,0.010955808152935242,0.002266911868782575,0.01167210863742352,-0.00014791323556510844,0.0004979327134767926,0.00010343787937886186,0.00038074420923173163
0.176,1243474.0,0.03,-0.053472975525023655,0.022460989719438898,-0.07764596446086786,0.9952925444472419,-9.03670315163422,-2.08640501034116,-173.6844859106731,0.497209,-1.698056,-0.154983,0.30556488018658734,-0.9906634935547969,-0.11977709279100321,-0.07057209161617252,0.19313800002810214,0.03351348481948639,0.4520137336053992,0,-0.0051627553736231305,0.016386907885386395,0.003246329981448255,0.01748494928332545,-0.0002752608496044108,0.0009080734540516172,0.0001861365071323243,0.0007309074683544373
0.199,1243497.0,0.02300000000000002,-0.053467996268976616,0.021803998478506136,-0.0753359947430168,0.9954849305345661,-8.7671150424431,-2.026113068537131,-173.69580585344693,0.48955,-1.633985,-0.145179,0.2978410051483003,-0.9531379345453602,-0.11441958208783129,-0.07718060456113075,0.22737765043897468,0.03831726029479831,1.5304732964642884,0,-0.006766160802018415,0.02076638565036431,0.0040047196884275965,0.02220498783519835,-0.00041244338562428865,0.0013353363297127507,0.00026952357833589667,0.001133061301870923
0.223,1243521.0,0.023999999999999994,-0.05348400989791224,0.021116003907791392,-0.07305101351904097,0.9956691842615434,-8.500304688412534,-1.9619036025092715,-173.70462192817746,0.470334,-1.590994,-0.13583,0.28405234474602986,-0.9120120548650827,-0.1068990504279436,-0.08961785948032679,0.2645147417853684,0.04515684280769103,1.6565467514794208,0,-0.008591484725463627,0.026140549628096664,0.0049083470518322255,0.027950560198824092,-0.000596735131954073,0.001898219553054282,0.00037648037921901453,0.0016659810099156833
