# source_file=20251215_011446_glider_ble.csv
# total_time_full_s=18.282000
# cut_tail_seconds=5.000000
# cut_time_s=13.282000
# note=BOOST: LPF+Hampel + online bias + adaptive leak + soft-ZUPT damping (no z=0)
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_clean,ay_clean,az_clean,bias_x,bias_y,bias_z,ax_used,ay_used,az_used,p_stationary,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,41935.0,0.025000000000000355,0.9605279055469733,-0.2689069735571685,0.012449998775735655,-0.07014399310242585,-31.223735083104856,-0.7911237394044036,-8.132326994554328,0.023,-0.002932,0.046714,0.010380506329113921,-0.0034971518987341778,-0.00476162025316456,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,0.01037016890637735,-0.003493669261528917,-0.00475687839569563,0.9958495673354436,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024,41959.0,0.024,0.9601392752858917,-0.2702390774814731,0.010748003081608773,-0.07062502024922027,-31.367975005530557,-1.0045679988663159,-8.131789892538402,-0.027146,0.024777,0.050543,-0.015370374646062463,0.010731922423069404,-0.0027953592701559383,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,-0.015366082793179506,0.01072519414163764,-0.0027879631330219165,0.99077524513668,1.2285949301002663,0,0.0002488840537530564,-8.384806227669402e-05,-0.00011416508149669512,0.0002863694040802154,2.986608645036677e-06,-1.0061767473203282e-06,-1.3699809779603415e-06,0.0
0.051,41986.0,0.026999999999999996,0.9606872277083581,-0.2682990635939955,0.01156400274097542,-0.07044101669638962,-31.1442783373301,-0.892689358893907,-8.138472574842137,0.002422,-0.005468,0.055703,-0.012562215452268452,0.0016308049186583677,0.0010170170885534986,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,-0.01254441974947182,0.0016223302269236697,0.0010233116484769421,0.995671349322094,0.37996879408946427,0,-0.00018006203695940435,0.0002104695634853708,-0.00018298980198320092,0.00033197144747333846,3.91570587175098e-06,7.032135189968079e-07,-5.381571904938938e-06,7.731973910165814e-06
0.082,42017.0,0.031000000000000007,0.960704736429731,-0.26823192641031285,0.013962996169238562,-0.07002198078940218,-31.155908189049796,-0.6151180189040395,-8.16589360412387,0.034145,-0.028335,0.052213,0.007102648089755683,-0.015982196720816643,0.0008556971211644397,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,0.007111684787580686,-0.0159710009573827,0.0008609313273177924,0.9920327851173651,0.8516072268936299,0,-0.0005573628888512114,0.0002472307450286757,-0.00013950275498072207,0.0006254897679444591,-7.5143804783135675e-06,7.79756830096453e-06,-1.0380206537879744e-05,1.802308878183931e-05
0.102,42037.0,0.01999999999999999,0.9606544952151018,-0.26834985899305425,0.011736993832686707,-0.0706649628684337,-31.15151099163671,-0.8809844747342982,-8.168529596402413,0.005222,-0.000688,0.050555,0.0003168005102080554,-0.009089225961987787,2.440738937596089e-05,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,0.0003255771989130765,-0.009070786180421795,2.961794235227189e-05,0.9974655808598054,0.48541687206230044,0,-0.00039157192777276406,-8.263862475585919e-05,-0.00011638796369387087,0.00041677796848444884,-1.7003728644553317e-05,9.443489503692694e-06,-1.2939113724625673e-05,3.053288414072848e-05
0.133,42068.0,0.031000000000000014,0.9612159149126903,-0.2663389764235417,0.01220999891916484,-0.07055799375417139,-30.916792367581504,-0.8085732539381146,-8.172918345154939,0.005609,-0.034692,0.054674,-0.0039102417405938485,-0.02418523900809766,0.0018554400907073486,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,-0.003896700024728198,-0.024137283274660165,0.001858378150982667,0.9849540590801533,0.5091362754344824,0,-0.00035653275967419774,-0.00035856825261485414,-0.00010805495995184404,0.000517071247387015,-2.8599351299981233e-05,2.6047829044466344e-06,-1.6417979041134255e-05,4.3453001163746405e-05
0.158,42093.0,0.024999999999999994,0.9606600175896851,-0.26832000491293934,0.011672000213714326,-0.07071400129477337,-31.147409073887314,-0.8893988265254467,-8.171988098393745,0.005713,-0.019697,0.060134,-0.00547940628129897,-0.022130682406940917,0.005418201810784657,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,-0.005460475365377941,-0.02206095368034066,0.005415794768388004,0.9859739462739323,0.1760761256148546,0,-0.0004354924285312913,-0.0009434371245039955,-5.6001461260991636e-05,0.001040607239482705,-3.849966615254984e-05,-1.3670284309538983e-05,-1.84686843062947e-05,5.6379782348421774e-05
0.181,42116.0,0.022999999999999993,0.9606770470741371,-0.2682480131444212,0.014071000689493122,-0.07031800344565257,-31.158536736098576,-0.6125009501341195,-8.201970366570281,0.045957,-0.000158,0.047262,0.014040901198328633,-0.01136523122091319,0.0005745366237982635,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,0.014047007896469456,-0.011285199669731042,0.0005716077320444646,0.9914319772190631,0.9918366570249756,0,-0.000540150099273473,-0.0014054898961400478,7.125369827298616e-05,0.0015073954582041445,-4.9719555222304625e-05,-4.068294504694547e-05,-1.8293283580656762e-05,8.031374885652398e-05
0.201,42136.0,0.020000000000000018,0.9604275325466497,-0.2690861492053511,0.01200900665886394,-0.07090403931552075,-31.240903815123804,-0.8646850662742821,-8.20269823123697,0.003327,-0.000453,0.045821,0.0031212244317421825,-0.006522954205085711,-0.0023406148149894505,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,0.003124834051863335,-0.006437778177711782,-0.0023416724589491395,0.9980866735735401,0.6147867420817662,0,-0.00023636141375246847,-0.0015717412027446706,7.96717979443684e-05,0.0015914096649524338,-5.748467035256405e-05,-7.045525603579268e-05,-1.6784028618483215e-05,0.0001104616580206069
0.233,42168.0,0.032,0.9609283176454781,-0.26725308834346273,0.01105700365501479,-0.07120602353793824,-31.015475720639742,-0.9631922077076355,-8.208628027654367,-0.017798,-0.028903,0.039777,-0.01648617719634252,-0.019937173115852972,-0.00781149090818519,0.0009992569082592907,-0.0012396758536162072,9.469120618165348e-05,-0.016461851562025596,-0.01982704622741947,-0.007802729398304741,0.981909281767145,0.7618349769135905,0,-0.00012089919470600006,-0.0016748951043026072,-4.75456167100131e-07,0.0016792529445428903,-6.320084008789955e-05,-0.00012240143694854913,-1.551688715004692e-05,0.0001613867672990848
