# source_file=corredor.csv
# total_time_full_s=69.494000
# cut_tail_seconds=5.000000
# cut_time_s=64.494000
# note=BOOST: LPF+Hampel + online bias + adaptive leak + soft-ZUPT damping (no z=0)
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_clean,ay_clean,az_clean,bias_x,bias_y,bias_z,ax_used,ay_used,az_used,p_stationary,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,122385.0,0.030000000000001137,0.6566879839922456,-0.013232999677425788,0.00969199976374297,0.7539839816205097,-0.15848929464112682,1.8729990963246124,97.88845079946715,-0.109829,-0.013693,0.039579,-0.09642818181818182,-0.024166742424242424,-0.02519657575757575,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,-0.09633657476402938,-0.024143783948408878,-0.025172638937069974,0.7916690987457761,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,122425.0,0.04,0.6565042924750252,-0.004763002121934588,0.01858200827835157,0.7540783359446128,1.248091440657233,1.809798471618568,97.933734204684,0.129955,0.012312,0.054506,0.05645526184136211,-0.007586261856871623,-0.015679297025441782,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,0.056463668202797974,-0.007552175053460988,-0.01563232556412884,0.91959880296718,3.851853310056653,0,-0.003853462990561175,-0.0009657513579363551,-0.001006905557482799,0.004098257130375099,-7.70692598112235e-05,-1.93150271587271e-05,-2.0138111149655983e-05,0.0
0.087,122472.0,0.04699999999999999,0.6560762537237625,-0.005767002230267437,0.018274007067089842,0.75445129176825,1.1469777970277368,1.8727669023861082,97.99783600823818,0.110742,0.01685,0.054063,0.10207439640335272,0.0018240062523468183,-0.0123318940742843,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,0.101931038431219,0.0018553306682966872,-0.012266658879582224,0.7907865689338711,0.9936110279535404,0,-0.0009108157208852575,-0.0012483110445118725,-0.0016661474069685446,0.002272424459252729,-0.00018902980953021463,-7.134549361626044e-05,-8.295485581426255e-05,0.00019261808512762961
0.119,122504.0,0.032,0.6562567118564443,-0.013616994021167322,0.009365995887659039,0.7543566687835587,-0.21451037378832835,1.88176757545558,97.9528433882233,-0.111402,-0.014837,0.056276,0.09136587106209777,-0.01403950748574479,-0.010091444568359937,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,0.09112651107426444,-0.013993440943477226,-0.010015657852140926,0.8221827290744265,0.6021958492962941,0,0.002399957770898524,-0.0011218109652524825,-0.0019690813168505373,0.003300839041247962,-0.00016520353673000235,-0.00010926744577249012,-0.00014111851539536785,0.00026533566782371696
0.161,122546.0,0.04200000000000001,0.6560641172829526,-0.00482000086165958,0.018412003291468092,0.754465134873858,1.2301533985957753,1.801215012399526,98.00051800677257,0.135488,0.01161,0.071909,0.09136587106209777,-0.004193703095662452,0.0010837870109711937,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,0.09099992688645771,-0.004141875055470305,0.0011579629588558522,0.8268475326124228,0.3546145946469863,0,0.006058342059064832,-0.0016305730108905872,-0.0022511384719812043,0.006665575839228939,1.2420759699228215e-05,-0.0001670675092714946,-0.00022974313096083443,0.0004039709075561314
0.206,122591.0,0.044999999999999984,0.656167084346019,-0.005356000688479119,0.017568002258252644,0.7543920969722068,1.1165883515137187,1.7842577181465265,97.9841692794238,0.118019,0.012739,0.033732,0.11797530227552847,9.724154414274874e-05,-0.020259698740965636,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,0.11745352050228687,0.00014887206054704782,-0.020158776083216843,0.7361356656536698,0.7640109945066652,0,0.009747950660577237,-0.001707849169997461,-0.0020483973818908193,0.010106197242417465,0.0003680623458911746,-0.00024218200834147564,-0.00032648268767295494,0.0007039218203214335
0.241,122626.0,0.035,0.6563359127526166,-0.013742998173129631,0.009085998792189175,0.7542888997316289,-0.24840222999151518,1.8715738145493188,97.94036294189966,-0.124991,-0.009372,0.058707,-0.021188017546024646,-0.011992258178104617,-0.01165699527201419,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,-0.021679952018922262,-0.011924211319251766,-0.011540184969932882,0.982021986116607,3.998631612292937,0,0.013163197312227301,-0.001580764287346688,-0.002607778216461151,0.013511812847987055,0.000769007435415254,-0.0002997327438449983,-0.0004079657606441144,0.001057638723806045
0.282,122667.0,0.04099999999999998,0.6564978698499667,-0.013094997403930117,0.00946199812416852,0.7541548504895699,-0.1675082260481756,1.8438027526952785,97.91763776113049,-0.102729,-0.015082,0.079498,-0.0650208326899803,-0.020717298747339685,0.005312206835614236,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,-0.06541660454876136,-0.020618941979027337,0.0054210481798472755,0.8950276847441647,1.1659954594213278,0,0.011290545597208285,-0.001951515874702544,-0.0028860291107972876,0.011815836750743672,0.0012703091650586834,-0.0003721444871670075,-0.0005205888108529124,0.0016116230505735139
0.323,122708.0,0.041000000000000036,0.6563312185744123,-0.005405001799998322,0.018517006166617746,0.754226251175862,1.194592825481252,1.8601343977594034,97.95950679172547,0.1292,0.020297,0.077886,0.06853683538662972,-0.0010713443531427218,0.010328599527005957,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,0.06804130692809504,-0.0009715631583826469,0.010422160751476575,0.8926657704257933,3.2948302322310457,0,0.007767042979361639,-0.00265145682605521,-0.0024486863698957003,0.008564650890830207,0.0016609897308783672,-0.0004665054275325416,-0.0006299504782071188,0.002096072357354005
0.365,122750.0,0.04199999999999998,0.6565258237372835,-0.013589996351385447,0.00929799750369256,0.7541237975343782,-0.21902681742475452,1.8742402772217925,97.91199742949297,-0.118531,-0.015616,0.054495,-0.04413567064374256,-0.002391023692377904,-0.003042318358884336,0.0031804897640813658,-0.0005274322065880306,-9.551081952397524e-05,-0.04455974081068053,-0.002287574026283722,-0.0029440359270207464,0.9530260946276847,2.701685101708698,0,0.009987704093830936,-0.0024747828512713997,-0.0018101077696343936,0.010447740108012117,0.002033839419415411,-0.0005741564607564003,-0.0007193851551372507,0.0024557876947688736
