# source_file=20251214_125037_glider_ble.csv
# total_time_s=16.917000
# distance_path_m=0.632003
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
325.662,325662.0,0.02400000000000091,0.19245898854878674,-0.1830739891071895,-0.673910959902636,0.6894109589803938,-88.58714544427897,-0.3995848442781374,149.19417014404874,-0.006041,-0.00387,19.652149,-0.00304643373493976,0.00026157831325301136,-0.00010416867469587032,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325.684,325684.0,0.022000000000048203,0.19254992964775625,-0.1829769331454557,-0.6734447539425251,0.6898667479423977,-88.51106883829299,-0.39443163621502225,149.19422533536806,-0.006143,-0.011433,19.634665,-0.0030965942077233813,-0.003457673212850203,-0.008702263833019334,0.4258258586050388,0,0,-6.702154216882156e-05,5.754722891578859e-06,-2.2917108433141684e-06,6.730717561178268e-05,-1.474473927717305e-06,1.266039036150123e-07,-5.041763855302217e-08,0.0
325.707,325707.0,0.022999999999967713,0.19192195126929545,-0.18361395337877062,-0.6735468289804198,0.689772824860494,-88.55361403491577,-0.29983091412324964,149.19503496634698,-0.005078,0.000826,19.650888,-0.0025870945431461937,0.0007742011496605227,-0.005012574368659902,0.24511159786876838,0,0,-0.00013824320894635937,-7.377176100386417e-05,-0.00020244377900247788,0.0002560018382711385,-4.654067733479107e-06,-1.5701465994714818e-06,-4.706624555603477e-06,1.5480650390688286e-06
325.727,325727.0,0.01999999999998181,0.19212897155271413,-0.1833989728453082,-0.674145900183606,0.6891868979565833,-88.6371080283973,-0.358305995488051,149.19546271194835,-0.000524,-0.006758,19.674608,-0.0002201855901122797,-0.0008172390323944844,0.00779495860255979,0.6560637176643059,0,0,-0.00018998509980923617,-5.82877380106678e-05,-0.00030269526637558474,0.00036209974156040467,-8.453769729660375e-06,-2.7359013596837774e-06,-1.0760529883109665e-05,6.668101804486941e-06
325.754,325754.0,0.027000000000043656,0.19198807771352577,-0.18334007421296025,-0.6743692729732726,0.6890232789049663,-88.6691594274867,-0.3604250646502088,149.21243293708218,-0.009552,-0.015356,19.65321,-0.003660435177656226,-0.006466900370550179,0.004082800895061295,0.28093051659034357,0,0,-0.00019593011074227733,-8.035319188535455e-05,-9.223138410613014e-05,0.00023098024148350478,-1.3743882719710417e-05,-4.905437540591858e-06,-1.3250777253979206e-05,1.6444794826633676e-05
325.774,325774.0,0.01999999999998181,0.1921800160356934,-0.18314601528188731,-0.6738890562299791,0.6894910575318257,-88.58678988253227,-0.37018715467642094,149.211951583839,-0.024195,-0.028744,19.620552,-0.01186888987554229,-0.0149587305840525,-0.012663556988869328,1.0246101835328008,0,0,-0.0002691388142953353,-0.0002096911992962405,-1.0575366204978505e-05,0.0003413472407870965,-1.9126659005612226e-05,-9.099261526512854e-06,-1.3462284578078585e-05,2.106439965629957e-05
325.794,325794.0,0.01999999999998181,0.19228095574413961,-0.1830439578701499,-0.6733178450274993,0.690047841176882,-88.49429403494482,-0.36178065177722346,149.2115402072566,-0.00493,-0.010166,19.635853,-0.007220182268339268,-0.010782288661652536,-0.014412234883370446,0.3244650363569264,0,0,-0.0005065166118059652,-0.0005088658109770185,-0.00026384650598213475,0.0007649303695995305,-2.9256991241722315e-05,-1.927657774604397e-05,-1.873921469771648e-05,2.7891344472035292e-05
325.816,325816.0,0.02199999999999136,0.1918559339679953,-0.18347093685390117,-0.6734817682044524,0.6898927625561992,-88.53754971301899,-0.30208791666605994,149.21247597520957,-0.011029,-0.000618,19.655891,-0.007620606175490092,-0.0037520195801615704,-0.005535765718649412,0.5150157012288575,0,0,-0.0006653606217093668,-0.0007460761615332811,-0.0005809156734161601,0.0011561995568889743,-4.389492491932263e-05,-3.569025329976971e-05,-3.151935951286698e-05,4.471981260321835e-05
325.84,325840.0,0.02400000000000091,0.19176595931397952,-0.18334296110104478,-0.6735298571005529,0.6899048536263522,-88.5395933816291,-0.306064100060484,149.2307532723761,-4.4e-05,0.027952,19.679096,-0.002192117297320718,0.014650210229347017,0.011091231422140614,1.0578473190003652,0,0,-0.0008482551699211359,-0.0008361246314571622,-0.000713774050663751,0.001388565672925933,-6.425304899743066e-05,-5.5757244454742366e-05,-4.864993672879765e-05,7.24686019685548e-05
325.862,325862.0,0.022000000000048203,0.1916389915322397,-0.18347099189315091,-0.6740509702163844,0.6893969695383062,-88.62547324037611,-0.30826451107563,149.23115760153638,0.003109,0.006966,19.661119,0.0018874455414277591,0.012903134773097432,0.009996847883021607,0.20776646206684413,0,0,-0.0008964817504622973,-0.0005138200064108216,-0.00046976695937612286,0.001135064546191735,-8.397564750764442e-05,-6.706128459580522e-05,-5.8984809835094996e-05,0.00010301704677299225
