mass_kg,chord_m,span_m,wing_area_m2,Vmin_theo_m_s,sink_rate_m_s,CL_at_Vmin,CD_at_Vmin,glide_at_Vmin,Vstall_m_s
0.1,0.02,0.5,0.01,10.214771901068582,0.5323694090002639,1.534990061919733,0.08000000000000002,19.187375773996656,11.552895210946131
0.1,0.02,0.525,0.0105,9.847742834740629,0.5008716702065172,1.5728967590728777,0.07999999999999999,19.661209488410975,11.274471279129088
0.1,0.02,0.55,0.011000000000000001,9.51007975887225,0.4725766242153346,1.6099111587946655,0.08000000000000004,20.123889484933308,11.0152533811117
0.1,0.02,0.575,0.0115,9.198251774033945,0.4470342431254219,1.6460934553424347,0.08,20.576168191780432,10.773130333303762
0.1,0.02,0.6,0.012,8.909282677111232,0.42387376218283396,1.6814973649193792,0.08000000000000004,21.01871706149223,10.546302185881002
0.1,0.02,0.625,0.0125,8.640645016632048,0.40278712116158344,1.7161710616195671,0.08000000000000002,21.452138270244586,10.333223611442929
0.1,0.02,0.65,0.013000000000000001,8.390177696948314,0.38351636613549867,1.7501579463722834,0.08,21.876974329653542,10.132559390974077
0.1,0.02,0.675,0.013500000000000002,8.156021215153139,0.36584395339092035,1.7834972839227052,0.08000000000000002,22.29371604903381,9.943149056105286
0.1,0.02,0.7,0.013999999999999999,7.9365662599072575,0.34958520756057704,1.8162247345164326,0.08000000000000004,22.702809181455393,9.763978541963827
0.1,0.02,0.725,0.014499999999999999,7.730412547922468,0.3345823978595447,1.8483728008112712,0.08000000000000004,23.10466001014088,9.59415726492996
0.1,0.02,0.75,0.015,7.536335584516989,0.32070004308881833,1.8799712059732505,0.08000000000000002,23.499640074665628,9.432899439553816
0.1,0.02,0.775,0.015500000000000002,7.3532596155233945,0.30782115924528497,1.9110472154811182,0.08000000000000002,23.88809019351397,9.279508738217045
0.1,0.02,0.8,0.016,7.18023545920506,0.2958442370499248,1.9416259125556996,0.08000000000000002,24.270323906946242,9.133365608960302
0.1,0.02,0.825,0.0165,7.01642221603461,0.28468078966676874,1.971730435129856,0.08000000000000003,24.64663043912319,8.993916723730278
0.1,0.02,0.8500000000000001,0.017,6.861072083502623,0.27425334949326924,2.001382180725857,0.07999999999999999,25.017277259073214,8.860666146618138
0.1,0.02,0.875,0.0175,6.7135176748943115,0.2644938213456395,2.0306009843976254,0.08000000000000003,25.382512304970305,8.733167900272157
0.1,0.02,0.9,0.018000000000000002,6.573161370838853,0.2553421205240344,2.0594052739434803,0.07999999999999999,25.74256592429351,8.61101967620244
0.1,0.02,0.925,0.018500000000000003,6.439466331481784,0.24674504013218804,2.087812205840324,0.08000000000000002,26.097652573004044,8.49385748660512
0.1,0.02,0.95,0.019,6.311948873291178,0.2386553040612898,2.1158377847475593,0.08000000000000004,26.447972309344475,8.38135109555111
0.1,0.02,0.9750000000000001,0.019500000000000003,6.1901719735237215,0.23103077123813565,2.1434969689446897,0.07999999999999999,26.793712111808624,8.273200098777455
0.1,0.02,1.0,0.02,6.073739711440314,0.2238337638095303,2.1708037636748037,0.08000000000000004,27.135047045935032,8.169130545997598
0.1,0.02,1.025,0.020499999999999997,5.962292491562294,0.21703049741643704,2.1977713040474227,0.08000000000000002,27.472141300592774,8.068892019176051
0.1,0.02,1.05,0.021,5.855502922895311,0.21059059598940055,2.22441192889355,0.07999999999999999,27.80514911116938,7.972255095765147
0.1,0.02,1.0750000000000002,0.021500000000000005,5.753072250839151,0.204486676857306,2.2507372467512825,0.08000000000000002,28.134215584391026,7.879009138360802
0.1,0.02,1.1,0.022000000000000002,5.6547272567471225,0.19869399461768836,2.2767581949832,0.07999999999999999,28.45947743729,7.788960362272129
0.1,0.02,1.125,0.0225,5.560217554786071,0.19319013432854648,2.302485092879599,0.07999999999999999,28.781063660994995,7.701930140630754
0.1,0.02,1.15,0.023,5.469313227633784,0.18795474626991235,2.3279276894788623,0.08000000000000002,29.09909611848577,7.617753513285581
0.1,0.02,1.175,0.0235,5.381802752217307,0.18296931588036344,2.353095206733466,0.08000000000000002,29.41369008416832,7.536277871144831
0.1,0.02,1.2000000000000002,0.024000000000000004,5.297491174595583,0.17821696356982525,2.3779963785636076,0.08000000000000003,29.72495473204508,7.457361792078964
0.1,0.02,1.225,0.0245,5.216198499575235,0.1736822699997769,2.4026394862673945,0.08000000000000002,30.032993578342424,7.38087400817352
0.1,0.02,1.25,0.025,5.137758265995818,0.1693511231475696,2.4270323906946243,0.08000000000000002,30.3379048836828,7.306692487168241
0.1,0.02,1.275,0.0255,5.062016283048645,0.16521058406588607,2.4511825615385083,0.08000000000000002,30.63978201923135,7.23470361345576
0.1,0.02,1.3,0.026000000000000002,4.988829506674039,0.1612487687372359,2.475097104054728,0.08000000000000002,30.938713800684095,7.164801456133204
0.1,0.02,1.3250000000000002,0.026500000000000003,4.918065038153584,0.15745474382713012,2.4987827834787315,0.08000000000000002,31.23478479348414,7.096887113378548
0.1,0.02,1.35,0.027000000000000003,4.849599229586627,0.15381843447433602,2.5222460473790678,0.08,31.528075592238345,7.0308681239206665
0.1,0.02,1.375,0.0275,4.7833168831028,0.15033054253520076,2.545493046156078,0.08,31.818663076950973,6.9666579376367475
0.1,0.02,1.4,0.027999999999999997,4.7191105324861224,0.14698247393170746,2.568529651870613,0.08000000000000004,32.106620648382645,6.904175438382561
0.1,0.02,1.425,0.0285,4.6568797974294425,0.14376627394793212,2.5913614755661136,0.08000000000000002,32.392018444576415,6.843344513072332
