t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,vx_mps,vy_mps,vz_mps,px_m,py_m,pz_m,roll_deg,pitch_deg,yaw_deg
24943.0,2025-12-16T03:14:13.648712,0.032710,0.449608,-0.455987,-0.422411,0.641481,-9.397045,-0.744376,-8.040812,-0.055507,0.003029,0.004199,-7.171581,-2.250842,6.825006,-132.496811,-24.911045,221.426727,-76.571623,11.839769,100.589260
24977.0,2025-12-16T03:14:13.690714,0.074712,0.451359,-0.452854,-0.419934,0.644091,-9.350242,-0.727604,-7.971404,-0.051833,-0.001178,0.004906,-7.135277,-2.259534,6.883178,-132.765625,-24.995792,221.684296,-75.979680,11.787108,100.738438
25019.0,2025-12-16T03:14:13.736408,0.120406,0.453081,-0.449746,-0.417646,0.646543,-9.288807,-0.705085,-7.946794,-0.057178,0.001664,0.005091,-7.096889,-2.266956,6.940580,-133.034027,-25.081156,221.944992,-75.412980,11.718579,100.884348
25053.0,2025-12-16T03:14:13.767690,0.151688,0.454885,-0.446589,-0.415071,0.649117,-9.290849,-0.722094,-7.806559,-0.051485,0.003189,0.004352,-7.057735,-2.273694,6.997991,-133.299423,-25.166292,222.206345,-74.813853,11.663222,101.024205
25092.0,2025-12-16T03:14:13.803781,0.187779,0.456770,-0.443199,-0.412355,0.651843,-9.270571,-0.725298,-7.693199,-0.055572,0.001994,0.004156,-7.015787,-2.280689,7.061135,-133.580688,-25.257315,222.487320,-74.178219,11.600628,101.176461
25133.0,2025-12-16T03:14:13.847950,0.231948,0.458702,-0.439907,-0.409935,0.654238,-9.255449,-0.735258,-7.577754,-0.054999,0.000914,0.004895,-6.975855,-2.286972,7.121849,-133.843536,-25.343124,222.753769,-73.587451,11.509566,101.308500
25167.0,2025-12-16T03:14:13.871933,0.255931,0.460497,-0.436566,-0.407270,0.656874,-9.267719,-0.767559,-7.441414,-0.050913,-0.000943,0.004300,-6.936020,-2.293514,7.184375,-134.104965,-25.429199,223.022598,-72.967970,11.446030,101.458382
25208.0,2025-12-16T03:14:13.923564,0.307562,0.462389,-0.433090,-0.404702,0.659429,-9.206993,-0.744205,-7.373082,-0.054578,0.000938,0.004145,-6.895205,-2.299737,7.248172,-134.366547,-25.516069,223.295547,-72.347846,11.357180,101.607146
25243.0,2025-12-16T03:14:13.952311,0.336309,0.464228,-0.429760,-0.401938,0.662001,-9.189249,-0.754258,-7.269276,-0.053165,0.005363,0.004105,-6.853391,-2.305166,7.311828,-134.625015,-25.602640,223.569275,-71.725122,11.292725,101.743946
25281.0,2025-12-16T03:14:13.981026,0.365024,0.466073,-0.426342,-0.399123,0.664612,-9.164142,-0.764991,-7.153716,-0.051221,0.003367,0.004094,-6.810973,-2.310491,7.376657,-134.882233,-25.689524,223.845764,-71.090990,11.225039,101.885521
25322.0,2025-12-16T03:14:14.026579,0.410577,0.468053,-0.422817,-0.396495,0.667041,-9.146070,-0.775599,-7.049242,-0.051503,0.002057,0.003303,-6.767798,-2.315742,7.442881,-135.139175,-25.777061,224.126175,-70.469130,11.122650,102.017771
25358.0,2025-12-16T03:14:14.074820,0.458818,0.469908,-0.419320,-0.393591,0.669659,-9.107222,-0.764388,-6.948583,-0.051576,0.004082,0.004674,-6.723990,-2.320475,7.509641,-135.393692,-25.864519,224.408234,-69.823679,11.051936,102.158708
25397.0,2025-12-16T03:14:14.106409,0.490407,0.471964,-0.415605,-0.390841,0.672135,-9.054300,-0.748178,-6.871615,-0.053959,0.001456,0.005819,-6.678811,-2.324231,7.576607,-135.646515,-25.952135,224.692810,-69.176493,10.938760,102.293096
25434.0,2025-12-16T03:14:14.148934,0.532932,0.473783,-0.412028,-0.387906,0.674753,-9.029262,-0.761066,-6.748316,-0.054579,0.002349,0.005328,-6.632569,-2.327478,7.644163,-135.897552,-26.039860,224.979858,-68.525674,10.863438,102.438118
25470.0,2025-12-16T03:14:14.176395,0.560393,0.475652,-0.408369,-0.384880,0.677389,-8.999237,-0.763704,-6.643572,-0.052373,0.003371,0.004411,-6.585419,-2.330595,7.713224,-136.148376,-26.128254,225.271286,-67.860728,10.784246,102.581364
25509.0,2025-12-16T03:14:14.215229,0.599226,0.477679,-0.404405,-0.381914,0.680016,-8.965443,-0.778302,-6.523012,-0.051802,0.000483,0.004174,-6.537836,-2.333576,7.782809,-136.395737,-26.216167,225.563370,-67.175884,10.669232,102.730752
25546.0,2025-12-16T03:14:14.255181,0.639179,0.479499,-0.400660,-0.378871,0.682649,-8.921825,-0.770204,-6.427880,-0.054807,0.000520,0.004901,-6.489220,-2.336254,7.853265,-136.641586,-26.304298,225.858459,-66.506812,10.584384,102.879332
25583.0,2025-12-16T03:14:14.297846,0.681844,0.481339,-0.396874,-0.375773,0.685273,-8.875822,-0.771588,-6.333796,-0.053225,0.001317,0.004302,-6.439630,-2.338384,7.923723,-136.884674,-26.392189,226.155090,-65.831365,10.497170,103.025231
25622.0,2025-12-16T03:14:14.335282,0.719280,0.483439,-0.392810,-0.372786,0.687763,-8.834523,-0.780217,-6.219523,-0.052024,-0.000052,0.004934,-6.388784,-2.340303,7.995033,-137.126740,-26.480471,226.455460,-65.145320,10.362921,103.161042
25659.0,2025-12-16T03:14:14.372754,0.756752,0.485298,-0.388929,-0.369541,0.690405,-8.803207,-0.797463,-6.077575,-0.051711,0.002745,0.005098,-6.337190,-2.342300,8.067759,-137.366776,-26.568792,226.758423,-64.452292,10.274424,103.304717
25698.0,2025-12-16T03:14:14.409923,0.793921,0.487394,-0.384783,-0.366391,0.692926,-8.751766,-0.789219,-5.973163,-0.050842,0.003473,0.004353,-6.284662,-2.344063,8.141708,-137.604889,-26.657200,227.064209,-63.748620,10.142599,103.438959
25741.0,2025-12-16T03:14:14.451096,0.835094,0.489471,-0.380427,-0.362687,0.695810,-8.697920,-0.789589,-5.848595,-0.051417,0.005281,0.004961,-6.225487,-2.345387,8.223759,-137.864517,-26.754520,227.403839,-62.971901,10.041436,103.590809
25778.0,2025-12-16T03:14:14.485723,0.869720,0.491547,-0.376173,-0.358996,0.698568,-8.649159,-0.779373,-5.741708,-0.048355,0.008916,0.003507,-6.167180,-2.346045,8.303548,-138.112610,-26.848440,227.734711,-62.210085,9.941215,103.728019
25817.0,2025-12-16T03:14:14.533248,0.917246,0.493615,-0.372095,-0.355792,0.700929,-8.587910,-0.769298,-5.627364,-0.049970,0.009019,0.003939,-6.110786,-2.345926,8.379519,-138.344925,-26.937220,228.050385,-61.517718,9.809644,103.843956
25861.0,2025-12-16T03:14:14.570014,0.954012,0.495505,-0.367994,-0.352315,0.703512,-8.526052,-0.773509,-5.525782,-0.054332,0.005891,0.004051,-6.052984,-2.345362,8.455889,-138.574722,-27.025850,228.368454,-60.797659,9.708138,103.979262
25900.0,2025-12-16T03:14:14.613702,0.997700,0.497848,-0.362999,-0.348440,0.706377,-8.487561,-0.787191,-5.382076,-0.049037,0.004253,0.004081,-5.988580,-2.344725,8.540461,-138.823975,-27.122932,228.720276,-59.961768,9.548779,104.131071
25932.0,2025-12-16T03:14:14.642899,1.026897,0.499745,-0.358724,-0.344834,0.708986,-8.424807,-0.777336,-5.272538,-0.051725,0.003865,0.004088,-5.928739,-2.343877,8.618772,-139.049469,-27.211645,229.044952,-59.220047,9.439232,104.269359
25974.0,2025-12-16T03:14:14.689082,1.073080,0.501642,-0.354413,-0.341166,0.711584,-8.353087,-0.780011,-5.173773,-0.050845,0.004552,0.004090,-5.867529,-2.342585,8.697088,-139.271896,-27.300013,229.371460,-58.472319,9.328922,104.405559
26008.0,2025-12-16T03:14:14.802859,1.186857,0.503829,-0.349722,-0.337569,0.714071,-8.286850,-0.762612,-5.073096,-0.049040,0.005519,0.003302,-5.804664,-2.340719,8.775589,-139.492233,-27.388422,229.701294,-57.703159,9.166235,104.531113
26046.0,2025-12-16T03:14:14.802859,1.186857,0.505755,-0.345294,-0.333760,0.716651,-8.231672,-0.766186,-4.926907,-0.050148,0.006560,0.003886,-5.740432,-2.338308,8.855206,-139.710648,-27.476944,230.034851,-56.938035,9.050752,104.662228
26082.0,2025-12-16T03:14:14.802859,1.186857,0.507680,-0.340820,-0.329918,0.719206,-8.162138,-0.761264,-4.812709,-0.051224,0.006829,0.003249,-5.675035,-2.335605,8.935883,-139.926361,-27.565264,230.371048,-56.169238,8.931576,104.791451
26122.0,2025-12-16T03:14:14.867400,1.251398,0.509756,-0.335960,-0.326185,0.721722,-8.101996,-0.778793,-4.673426,-0.050712,0.002938,0.003875,-5.607078,-2.332817,9.019071,-140.143661,-27.655182,230.716873,-55.381914,8.765419,104.925851
26158.0,2025-12-16T03:14:14.867400,1.251398,0.511649,-0.331357,-0.322245,0.724276,-8.012791,-0.761172,-4.581329,-0.051370,0.005100,0.004035,-5.538882,-2.329822,9.101114,-140.354080,-27.743204,231.058945,-54.598948,8.640534,105.057300
26197.0,2025-12-16T03:14:14.919502,1.303500,0.513789,-0.326429,-0.318537,0.726635,-7.954570,-0.757053,-4.447877,-0.051541,0.004085,0.003288,-5.469169,-2.326176,9.183575,-140.561920,-27.831112,231.404175,-53.816345,8.457069,105.175480
26236.0,2025-12-16T03:14:14.983443,1.367441,0.515720,-0.321830,-0.314418,0.729109,-7.885375,-0.761587,-4.324373,-0.052374,0.013280,0.003882,-5.398405,-2.322309,9.266951,-140.766998,-27.918831,231.752350,-53.023363,8.336964,105.289898
