mass_kg,c_upper_m,c_lower_m,span_m,total_chord_m,wing_area_m2,Vstall_m_s
0.1,0.005,0.015,0.5,0.02,0.007853981633974483,13.3864489294193
0.1,0.005,0.015,0.525,0.02,0.008246680715673207,13.06383648674211
0.1,0.005,0.015,0.55,0.02,0.008639379797371933,12.763478257048012
0.1,0.005,0.015,0.575,0.02,0.009032078879070654,12.482927991946902
0.1,0.005,0.015,0.6,0.02,0.00942477796076938,12.220100072556388
0.1,0.005,0.015,0.625,0.02,0.009817477042468103,11.973203913404337
0.1,0.005,0.015,0.65,0.02,0.010210176124166827,11.740692383591195
0.1,0.005,0.015,0.675,0.02,0.010602875205865551,11.521220837443792
0.1,0.005,0.015,0.7,0.02,0.010995574287564275,11.31361426840472
0.1,0.005,0.015,0.725,0.02,0.011388273369263,11.116840748812097
0.1,0.005,0.015,0.75,0.02,0.011780972450961725,10.929989781634479
0.1,0.005,0.015,0.775,0.02,0.01217367153266045,10.752254525475745
0.1,0.005,0.015,0.8,0.02,0.012566370614359173,10.582917099621895
0.1,0.005,0.015,0.825,0.02,0.012959069696057897,10.421336357625076
0.1,0.005,0.015,0.8500000000000001,0.02,0.013351768777756623,10.266937653857967
0.1,0.005,0.015,0.875,0.02,0.013744467859455345,10.119204230145801
0.1,0.005,0.015,0.9,0.02,0.01413716694115407,9.977669927836947
0.1,0.005,0.015,0.925,0.02,0.014529866022852793,9.84191299082107
0.1,0.005,0.015,0.95,0.02,0.014922565104551517,9.711550771604298
0.1,0.005,0.015,0.9750000000000001,0.02,0.015315264186250245,9.586235188926404
0.1,0.005,0.015,1.0,0.02,0.015707963267948967,9.465648813999787
0.1,0.005,0.015,1.025,0.02,0.016100662349647687,9.349501485078678
0.1,0.005,0.015,1.05,0.02,0.016493361431346415,9.237527368087589
0.1,0.005,0.015,1.0750000000000002,0.02,0.01688606051304514,9.129482395474545
0.1,0.005,0.015,1.1,0.02,0.017278759594743866,9.025142027085707
0.1,0.005,0.015,1.125,0.02,0.017671458676442587,8.924299286279535
0.1,0.005,0.015,1.15,0.02,0.018064157758141308,8.826763032169026
0.1,0.005,0.015,1.175,0.02,0.018456856839840035,8.732356435156408
0.1,0.005,0.015,1.2000000000000002,0.02,0.018849555921538762,8.640915628082842
0.1,0.005,0.015,1.225,0.02,0.019242255003237486,8.552288509574526
0.1,0.005,0.015,1.25,0.02,0.019634954084936207,8.466333679697515
0.1,0.005,0.015,1.275,0.02,0.02002765316663493,8.382919490973162
0.1,0.005,0.015,1.3,0.02,0.020420352248333655,8.301923200262584
0.1,0.005,0.015,1.3250000000000002,0.02,0.020813051330032382,8.223230209089351
0.1,0.005,0.015,1.35,0.02,0.021205750411731103,8.146733381704259
0.1,0.005,0.015,1.375,0.02,0.021598449493429827,8.072332431661557
0.1,0.005,0.015,1.4,0.02,0.02199114857512855,7.999933368917858
0.1,0.005,0.015,1.425,0.02,0.02238384765682728,7.929448000520927
0.1,0.005,0.015,1.4500000000000002,0.02,0.022776546738526006,7.86079347885597
0.1,0.005,0.015,1.475,0.02,0.023169245820224726,7.793891892187246
0.1,0.005,0.015,1.5,0.02,0.02356194490192345,7.728669892893412
0.1,0.0055,0.0165,0.5,0.022,0.00863937979737193,12.763478257048018
0.1,0.0055,0.0165,0.525,0.022,0.009071348787240528,12.455879362130176
0.1,0.0055,0.0165,0.55,0.022,0.009503317777109124,12.16949902674482
0.1,0.0055,0.0165,0.575,0.022,0.009935286766977719,11.902004844567974
0.1,0.0055,0.0165,0.6,0.022,0.010367255756846317,11.651408256019865
0.1,0.0055,0.0165,0.625,0.022,0.010799224746714913,11.416002004839958
0.1,0.0055,0.0165,0.65,0.022,0.01123119373658351,11.194310959594866
0.1,0.0055,0.0165,0.675,0.022,0.011663162726452106,10.98505305093943
0.1,0.0055,0.0165,0.7,0.022,0.012095131716320703,10.787107954079042
0.1,0.0055,0.0165,0.725,0.022,0.012527100706189299,10.59949176459329
0.1,0.0055,0.0165,0.75,0.022,0.012959069696057895,10.421336357625076
0.1,0.0055,0.0165,0.775,0.022,0.013391038685926492,10.251872440087743
0.1,0.0055,0.0165,0.8,0.022,0.013823007675795088,10.090415539576947
0.1,0.0055,0.0165,0.825,0.022,0.014254976665663685,9.936354346940437
0.1,0.0055,0.0165,0.8500000000000001,0.022,0.014686945655532285,9.789140959070485
0.1,0.0055,0.0165,0.875,0.022,0.01511891464540088,9.648282666379766
0.1,0.0055,0.0165,0.9,0.022,0.015550883635269476,9.5133350040333
0.1,0.0055,0.0165,0.925,0.022,0.015982852625138072,9.38389584335809
0.1,0.0055,0.0165,0.95,0.022,0.016414821615006667,9.259600344283863
0.1,0.0055,0.0165,0.9750000000000001,0.022,0.01684679060487527,9.140116624350979
0.1,0.0055,0.0165,1.0,0.022,0.01727875959474386,9.025142027085709
0.1,0.0055,0.0165,1.025,0.022,0.017710728584612454,8.914399894118626
0.1,0.0055,0.0165,1.05,0.022,0.018142697574481056,8.807636762603815
0.1,0.0055,0.0165,1.0750000000000002,0.022,0.018574666564349654,8.704619923261212
0.1,0.0055,0.0165,1.1,0.022,0.01900663555421825,8.605135285454352
0.1,0.0055,0.0165,1.125,0.022,0.019438604544086843,8.508985504698678
