l_h [m],beta_from_VH,beta_from_trim(CLh=-0.40),VH_target
0.15,0.22633333333333336,1.8517376666666665,0.5
0.15117056856187291,0.22458075221238938,1.8373989900442473,0.5
0.1523411371237458,0.2228551042810099,1.8232806663007681,0.5
0.15351170568561873,0.22115577342047932,1.8093776546840954,0.5
0.15468227424749165,0.21948216216216215,1.7956850670270266,0.5
0.15585284280936454,0.2178336909871245,1.7821981620171672,0.5
0.15702341137123746,0.216209797657082,1.7689123397231092,0.5
0.15819397993311035,0.2146099365750529,1.755823136363636,0.5
0.15936454849498327,0.2130335781741868,1.7429262193074497,0.5
0.1605351170568562,0.21148020833333334,1.7302173822916662,0.5
0.16170568561872908,0.20994932781799383,1.7176925408479833,0.5
0.162876254180602,0.2084404517453799,1.7053477279260778,0.5
0.1640468227424749,0.20695310907237516,1.6931790897043832,0.5
0.16521739130434782,0.2054868421052632,1.6811828815789471,0.5
0.16638795986622074,0.20404120603015075,1.6693554643216078,0.5
0.16755852842809363,0.2026157684630739,1.6576933003992016,0.5
0.16872909698996655,0.20121010901883055,1.646192950445986,0.5
0.16989966555183947,0.19982381889763778,1.6348510698818894,0.5
0.17107023411371236,0.19845650048875857,1.6236644056695988,0.5
0.17224080267558528,0.19710776699029128,1.612629793203883,0.5
0.1734113712374582,0.19577724204435873,1.6017441533269041,0.5
0.1745819397993311,0.19446455938697318,1.5910044894636013,0.5
0.175752508361204,0.19316936251189343,1.5804078848715506,0.5
0.1769230769230769,0.1918913043478261,1.5699515,0.5
0.17809364548494983,0.19063004694835683,1.5596325699530513,0.5
0.17926421404682275,0.18938526119402985,1.5494484020522385,0.5
0.18043478260869564,0.1881566265060241,1.5393963734939757,0.5
0.18160535117056856,0.18694383057090241,1.5294739290976056,0.5
0.18277591973244145,0.1857465690759378,1.5196785791399816,0.5
0.18394648829431437,0.18456454545454548,1.510007897272727,0.5
0.1851170568561873,0.1833974706413731,1.5004595185185183,0.5
0.1862876254180602,0.18224506283662478,1.4910311373429082,0.5
0.1874581939799331,0.181107047279215,1.481720505798394,0.5
0.188628762541806,0.1799831560283688,1.4725254317375884,0.5
0.18979933110367891,0.178873127753304,1.4634437770925108,0.5
0.19096989966555183,0.177776707530648,1.4544734562171626,0.5
0.19214046822742475,0.17669364664926024,1.445612434290687,0.5
0.19331103678929765,0.17562370242214534,1.4368587257785466,0.5
0.19448160535117057,0.1745666380051591,1.4282103929492689,0.5
0.19565217391304346,0.17352222222222224,1.4196655444444444,0.5
0.19682274247491638,0.17249022939677147,1.411222333899745,0.5
0.1979933110367893,0.1714704391891892,1.4028789586148647,0.5
0.1991638795986622,0.17046263643996643,1.3946336582703607,0.5
0.2003344481605351,0.16946661101836394,1.386484713689482,0.5
0.201505016722408,0.16848215767634858,1.3784304456431533,0.5
0.20267558528428092,0.1675090759075908,1.3704692136963694,0.5
0.20384615384615384,0.16654716981132076,1.3625994150943392,0.5
0.20501672240802676,0.1655962479608483,1.354819483686786,0.5
0.20618729096989966,0.16465612327656123,1.3471278888888887,0.5
0.20735785953177255,0.16372661290322582,1.3395231346774192,0.5
0.20852842809364547,0.16280753809141943,1.3320037586206894,0.5
0.2096989966555184,0.16189872408293463,1.3245683309409886,0.5
0.2108695652173913,0.161,1.3172154536082472,0.5
0.2120401337792642,0.16011119873817037,1.3099437594637222,0.5
0.21321070234113712,0.1592321568627451,1.3027519113725488,0.5
0.21438127090301,0.15836271450858036,1.295638601404056,0.5
0.21555183946488293,0.15750271528316526,1.2886025500387894,0.5
0.21672240802675585,0.1566520061728395,1.2816425054012341,0.5
0.21789297658862875,0.1558104374520338,1.2747572425172675,0.5
0.21906354515050167,0.15497786259541985,1.2679455625954195,0.5
0.22023411371237456,0.15415413819286258,1.2612062923310552,0.5
0.22140468227424748,0.1533391238670695,1.2545382832326282,0.5
0.2225752508361204,0.15253268219383923,1.2479404109691958,0.5
0.22374581939799332,0.15173467862481316,1.2414115747384153,0.5
0.2249163879598662,0.15094498141263943,1.234950696654275,0.5
0.2260869565217391,0.15016346153846155,1.2285567211538462,0.5
0.22725752508361202,0.1493899926416483,1.2222286144223693,0.5
0.22842809364548494,0.14862445095168375,1.2159653638360175,0.5
0.22959866220735786,0.1478667152221413,1.209765977421704,0.5
0.23076923076923075,0.14711666666666667,1.203629483333333,0.5
0.23193979933110367,0.1463741888968998,1.1975549293439074,0.5
0.23311036789297657,0.14563916786226688,1.191541382352941,0.5
0.2342809364548495,0.14491149179157745,1.1855879279086365,0.5
0.2354515050167224,0.14419105113636363,1.1796936697443179,0.5
0.2366220735785953,0.14347773851590107,1.1738577293286216,0.5
0.23779264214046822,0.14277144866385374,1.168079245428973,0.5
0.2389632107023411,0.14207207837648708,1.1623573736878936,0.5
0.24013377926421403,0.14137952646239554,1.156691286211699,0.5
0.24130434782608695,0.1406936936936937,1.151080171171171,0.5
0.24247491638795987,0.1400144827586207,1.145523232413793,0.5
0.24364548494983276,0.13934179821551135,1.1400196890871652,0.5
0.24481605351170566,0.13867554644808744,1.1345687752732239,0.5
0.24598662207357858,0.13801563562202585,1.1291697396329026,0.5
0.2471571906354515,0.1373619756427605,1.1238218450608928,0.5
0.24832775919732442,0.13671447811447812,1.118524368350168,0.5
0.2494983277591973,0.1360730563002681,1.1132765998659515,0.5
0.25066889632107026,0.1354376250833889,1.1080778432288187,0.5
0.2518394648829431,0.1348081009296149,1.10292741500664,0.5
0.25301003344481604,0.1341844018506279,1.0978246444150692,0.5
0.25418060200668896,0.13356644736842105,1.0927688730263156,0.5
